Subject,Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
29,,1a,PE,0,0.5,0,1.1,"I would say .50 cents for the eraser, so 1 dollar plus 50 cents would be equal to $1.10.",1,0.9,1,0.9,"The banana is $.90 because $2 for the magazine, leaves you with $0.90 left to pay.",0.99,"I’m about 99 percent sure that my answer was right.  My logic makes sense and the numbers work out as well, so I am almost positive it’s right.",0.009,"Yes, definitely. It has to be correct since 2 dollars is how much the magazine cost and they ask me to find out the price for a banana which equals up to be $2.90 total minus the 2 dollar magazine is .90 cents for the banana. I am very positive it's correct.",0.8,"Based on other situations similar to this question where many people do get confused or unsure, I’d have to estimate about 70-80% would answer correctly. But most likely around 80% would answer with my reasoning.",-0.9,"Since the previous one was fairly simple, but if some people were to mess up that one as well then probably an estimate could be around 75%. Although more than likely this question will yield higher percentages like 85-90%. But again there could be a small fraction who didn't know due to confusion."
30,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
31,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
32,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
33,,1b,BM,1,45,1,45,45 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.7,70%
34,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85%,0.95,95%,0.6,60%,0.75,75%
35,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85,0.95,95,0.6,60,0.75,75
36,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,1,100%,0.75,75%,0.9,90%
37,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,"$.10, I am not sure if this question was asking for a price reduction or an additional item but I assumed it was asking how much the eraser would cost by itself.",0.6,"60%, I felt less confident with this question because there were multiple answers to this question that could have been correct depending on context",1,"100%, because that was the answer given in class",0.3,30%,0.5,50%
38,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.95,95%
39,,1b,BM,0,2,0,90,"Okay, let me think... If a magazine is $2 more than the banana, then the difference between a magazine's price and the banana's price should equal two dollars. This means that if I subtract the banana cost from the magazine cost and get two dollars as a result, I will have solved the task. Alright, here we go: 2.9 minus X equals 2. Let me solve this equation for X: X = 0.9. So, the banana costs 90 cents.",0,1,0,1.1,"It doesn't make sense.  1 dollar for a pencil already makes up all 1.10 dollars, so an eraser can't be purchased with this setup.",1,100%.,1,100%.,0.3,Maybe about 30% or even less.,0.5,About 50%.
40,,1b,BM,0,2,0,2,"If we assume the wording was ‘$2 less’, then the answer is obvious; otherwise, I will need some time to solve it.",1,0.1,1,0.1,"It's a trick question, right? Erasers are usually free when you buy pencils. Otherwise, if you must pay for it, then it would be .10 cents since that's the only option left.",0.7,I’m about 70% sure.,0.95,95%,0.1,"It depends on whether they assumed that it said “less” instead of “more”. If so, maybe around 30%. Otherwise, only 10%.",0.25,Less than 50%. Most probably under 25% because it’s considered a trick question and many people fall for it.
41,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85,0.95,95,0.6,60,0.75,75
42,,1b,BM,0,2,0,2.9,Seventy cents. I added $2 to seventy cents to determine the price of the magazine and then subtracted $2 from $2.90 to get this amount.,0,,0,,Ten cents.,0.9,"85%, maybe even 90%, as this one required slightly more effort.",1,I am 100% certain that this answer is correct.,0.75,"About 65%, given my initial calculations; however, after checking them, I am raising this to about 75%.",0.9,"About 90%. It may take a minute for some individuals, but I believe that most people would solve this correctly."
43,,1b,BM,0,2,0,90,"Well I would guess, after seeing how easy the last question was supposed to be yet some made it complicated, that most likely the magazine is $2 and therefore the banana is .90 cents because thats simply all that's left. However, to actually answer it without prior knowledge to what they might expect, it would probably require working it out since no combination of prices with the given difference exists between a magazine and banana that equal two dollars ninety cents. And by figuring out, that means assuming one to have one price (the magazine due to it having an exact amount already given) and then finding the banana’s value. Therefore you know the magazine costs two dollars more so it will end up being the bananas total plus said difference; in other words $2 + X = $2.90 meaning the actual equation being $X = 90$ cents making the Banana equal to 90 cents as well.",1,10,1,0.1,"10 cents, since that would make sense due to it being a combination, but if they wanted me to figure it out by adding their numbers I can as well (1 + .1)",0.85,85% because there still remains a slight chance I made an error in calculation or someone will look at this and go “nope” but overall quite certain.,0.6,60%,-0.85,"Maybe 70-85%, like previously mentioned it seems simple enough even for people who don't necessarily get math that easily as long as they realize one of the values has been set before them, or just calculate normally instead.",0.7,"70%. Because although people can still forget or calculate something wrong, they could use logic when solving it, even if not knowing how the sum equals one dollar exactly."
44,,1b,BM,0,3,0,0.9,"OK. So the mag costs two dollars plus the price of the banana which must be one dollar so... $3! No wait, but that would mean... oh never mind then it must be the other way around and the magazine actually costs two bucks, the banana's .90.",1,0.1,1,0.1,$.10,0.78,"Um well, like 78% confident! It's kind of a weird scenario so I'm not really sure...",0.001,I am completely sure that the eraser costs .10 cents!,0.1,"Yeah, like probably only around 10%, it's a tricky question.",0.6,"Probably about 50%, or maybe 60% of people know their math!"
45,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
46,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
47,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
48,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.8,80,0.95,95
49,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,0.95,95%,0.6,60%,0.75,75%
50,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.75,75%
51,,1b,BM,1,0.45,1,0.45,$.45 cents,1,0.1,1,0.1,.10 cents,0.95,95%,0.95,95%,0.6,60%,0.7,70%
52,,1b,BM,1,0.45,1,0.45,Banana costs $.45,1,10,1,10,10 cents,0.85,85%,0.95,95%,0.3,30%,0.5,50%
53,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.7,70%,0.9,90%
54,,1b,BM,0,,0,,Fifty cents,0,,0,,Ten cents,1,100%,1,100%,0.85,85%,0.9,90%
55,,1b,BM,0,2,1,0.45,"This requires some simple algebra. Let X equal the cost of the banana.  The magazine then would cost X + $2, or $2.90 - X. So X plus 2 equals 2.90 minus X, which yields X = .45. Therefore, the banana costs $.45.",1,0.1,0,1.1,The eraser costs $0.10. It is not necessary for them both to add up to $1.10 as they can be bought separately.,1,"I am totally sure, so 100%.",1,"I am totally sure, so 100%.",0.4,"Based on responses to similar questions, I would guess that around 40% answer it correctly.",0.3,"I think about 30%.  Some people may automatically assume that the two items must be sold together, even though there is no statement to support that assumption."
56,,1b,BM,1,45,1,45,"45 cents, because it says that the magazine is two dollars more expensive.",1,10,1,10,"10 cents, because it's a dollar for both items.",0.98,I am extremely confident with my answer. 98%.,0.95,I feel very confident about my answer. 95%.,0.6,Around 60%.,0.45,About 45%.
57,,1b,BM,1,0.45,0,1.95,$.45 (costs $1.95 less the cost of the magazine).,1,0.1,1,0.1,$.10 (the price of an eraser),1,100%,1,100%,0.85,85%,0.95,95%
58,,1b,BM,1,0.45,1,0.45,$.45 (free response),1,0.1,1,0.1,$.10 (this was a free response question),0.99,99%,1,100% (again this was a free response question),0.7,70%,0.85,85%
59,,1b,BM,1,0.45,1,0.45,"$.45, Because the magazine which cost $2 needs to be subtracted from the total ($2.90) then divide that by two because you also need the cost for the banana, so basically do that math to find out that each part costs $.45 cents",1,0.1,1,0.1,".10cents, because since they say ""together"", this must mean that there's an additional amount needed for just the eraser, not both.",0.8,"80% - Not quite sure why though. Maybe its due to how unspecific ""two dollars MORE"" is instead of saying just ""how many does the Magazine Cost"", or maybe I'm paranoid",1,100%. I thought about it very carefully.,0.5,"Hard to say with only one participant...But i think %50 seems plausible based on how hard some can misinterpret something as simple sounding as this one, although its not my first language either",0.005,Well...I was looking through other participants answers and only %5 seem to get this question right so I suppose...5%.
60,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
61,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
62,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
63,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.8,80%
64,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,0.9,90,0.3,30,0.6,60
65,,2a,BM,0,50,0,50,50 cents,1,10,1,10,10 cents,1,100%,1,100%,0.4,40%,0.6,60%
66,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70%,1,100%,0.3,30%,0.8,80%
67,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.6,60,1,100,0.75,75,0.98,98
68,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.9,90%
69,,2a,BM,1,0.45,0,2.9,"$.45, because I subtracted $2 from $2.90 so that the magazine would be two dollars more expensive than the banana",1,0.1,0,1.1,"$.10, because I just subtracted one dollar from $1.10",0.98,98%,1,"100%, I know its right!",0.7,70%,0.99,99%
70,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.76,76,0.92,92,0.33,33,0.66,66
71,,2a,BM,0,15,0,0.15,"15 cents, because 25 - 2 = 23; thus, 2.90 - 2.75 = .15.",0,1,1,0.1,"Ah! So that's what this survey is for. It's so that people can be tricked into thinking they should double the price difference or some nonsense like that! But no, it should be obvious if you pay attention: the pencil is $1 and there's only $.10 left over...",1,I am completely sure about this. 100%.,1,You can probably tell by my last two responses just how certain I am! 100%.,0.6,I think about 60 percent of the population might get this correct. It seems like such an odd answer that many would second guess themselves or round up when they shouldn't have.,0.35,My guess for this one is closer to 35%. More than half the responders will have gotten stuck on their incorrect logic about the previous question and carried that thought process over to this one.
72,,2a,BM,1,0.45,0,2.45,"$.45 (the magazine would cost $2.45, but I thought that might not be possible. So it took me longer to answer because I thought through alternatives)",1,0.1,1,0.1,"$.10 (quick, immediate answer - no second guessing)",0.85,85%,1,100%,0.75,75% or greater,,More than half
73,,2a,BM,1,0.45,0,0.05,$.45 ($.95/.05),1,0.1,1,0.1,$.10,0.87,"87%. I would be less unsure if it did not specify an actual price for both. I would have been able to provide more certain answer, if just provided percentages of total value and asked for the relative part assigned to banana and magagine as variables. I don't think that the actual value matters in this question; just proportions/percentage ratio.",0.18,96%. In this question the specific amount for both items makes it simple and direct to get final answer immediately upon receiving data from stimulus (which is what we want from a clear task that doesn't require extra calculations based on relative amounts). Participant: 18 female,0.02,"62%. The fact that 2 items must equal some total makes it simple enough but only when explicitly presented as equation. With dollar amounts I had trouble concentrating on one variable, despite knowing the other value, thus overlooking solution due to bias and having to recalculate my initial results after giving incorrect response. However, without explicit prompting that would likely stump many who also overlooked basic solution, perhaps even those that consider themselves good at solving similar problems, because of inherent assumptions or contextual influence on focus points. This would be interesting to test against same problem framed with variables and no numbers at all, asking people to solve equations rather than given dollars amount (in which case participants might expect ""trick"" questions). It will also be insightful to observe whether they use different reasoning in different settings of the same problem - as variables or prices are introduced and switched between.",0.95,"75% if same problem is repeated. Since in this form there aren't additional contextual hints like $2 total value, many people who previously were unsure should get it right if tested again, but overall, if not aware that first one was a trap (even unknowingly) I would think slightly over half will miss due to distractions or preconceptions about prices being rounded whole dollars etc. But if presented with new problems they won't repeat these mistakes and probably be closer to 95% accurate since framing remains consistent throughout the survey."
74,,2a,BM,0,0.9,0,0.9,0.90 cents (correct answer),1,0.1,0,0.2,"$.10 (incorrect response, as this ignores regression towards average when computing difference between price of pencil + eraser versus only the eraser. Correct response:  $.05 - http://rationalwiki.org/wiki/Lateral_thinking#A_pencil_.2B_an_eraser)",1,100%.,0.9,"90%, although my initial guess was lower before reading the previous questions again.",,I would say maybe half,,Probably at least two thirds since this question seems more straight forward.
75,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
76,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
77,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
78,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.8,80
79,,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,1,100,1,100,0.75,75,0.85,85
80,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.8,80
81,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90,1,100,0.6,60,0.7,70
82,,2a,BM,1,45,1,45,45 cents,1,10,1,10,10 cents,1,100,1,100,0.8,80,0.9,90
83,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.6,60,0.8,80
84,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70%,1,100%,0.4,40%,0.8,80%
85,,2a,BM,1,0.45,0,2,$.45 cents ($.95 / 2),1,0.1,1,0.1,$.10 cents,0.75,75%,1,100%,0.029,"60%. I know people don't understand fractions well but maybe they solve it as .45 X 2 = 2.90, which means that they have only two possible solutions and thus a higher probability of success?",0.99,99% or more. It is very straight forward if one can read properly and knows basic arithmetic operations.
86,,2a,BM,1,0.45,1,45,"$.45, because I solved it by setting up a simple equation where Banana=x (unknown). Then Magazine=Banana+2=(x+2), so .95 = x + 2; thus, -1.05 = x; ergo, 45 cents.",1,10,1,10,"The answer provided here was incorrect or incomplete. However, if the participant used the same methodology as before, then the solution is negative 10 cents for the eraser.  That makes no sense. Ergo, 10 cents must be the correct amount.",1,"100%, because that's how equations work!",0.95,95%. I am never absolutely certain about anything involving money.,0.5,50%.,0.2,20%. Most people just blurt out answers without thinking.
87,,2a,BM,0,90,0,90,90 cents,1,10,1,10,10 cent(s).,0.6,60 percent,0.9,90 percent,0.35,35%,0.75,75%
88,,2a,BM,0,0.9,0,2,0.90 (I would think that the banana cost .90 because the magazine was .90+2),1,0.1,1,0.1,.10 cents.,0.8,80 ( I feel like i can be this sure because this answer is right.),1,100%. (Yes very confident).,0.5,50 (Half because I believe some people might give in the same answer as me or others may not),0.99,"99%, i think that there may be some small mistake but still its most likely going to be that one."
89,,2a,BM,1,0.45,0,2.45,$0.45 for a banana and $2.45 for a magizine.,0,95,0,100,"Yeah! Here goes one... An error - if we just switched magazine with pencl the price of a banana should be 95 cents so my mistake was only here... Let me change it: $0.95 for a banana, $0.10 for a pencil and $1 for an eraser. But, hey... My confidence level is still at 100%, since I am positive in the process I have undertaken, although it didn't bring me results :/",,I am totally sure!,1,"100%, although this answer didnt turned out right :c",0.25,I'd say that less then a half will solve it correcttly - like about 25%.,0.75,"Hm.. Hard question but maybe something near 75% as some folks will switch order in their heads like in first exercise.. Maybe it was only that group? Who knows, its hard for me to estimate."
90,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
91,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
92,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
93,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.5,50%,0.75,75%
94,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.3,30,0.5,50
95,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
96,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.6,60,0.75,75
97,,2b,PE,1,0.05,1,0.05,0.05 dollars,1,0.9,1,0.9,0.90 dollars,1,100%,1,100%,0.85,85%,0.75,75%
98,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,0.9,90%,1,100%,0.3,30%,0.75,75%
99,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
100,,2b,PE,1,0.05,0,1.05,Eraser - $.05 Pencil - $1.05,1,90,1,90,90 cents,1,100%,0.95,95%,0.4,40%,0.6,60%
101,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,1,I am 100% certain in my answer,0.99,I am 99% confident,0.7,"I believe that 60% of people answered this question incorrectly, but I will be generous and say 70%.",0.8,I believe that 80% of people answered correctly
102,,2b,PE,0,10,0,10,"Let's see, the eraser is less by one dollar. So the eraser is 10 cents and the pencil would be $1.10 or one dollar plus the ten cent eraser, so either way you look at it the answer is that the pencil costs one dollar and the eraser is 10 cents.",1,90,1,90,The banana costs 90 cents.,1,100,1,100,0.95,"I don’t know – maybe 85% to 95%. Most people would realize that the eraser price must be less than the total minus the pencil, but some might get confused about the difference being the actual eraser cost.",,I have no idea.
103,,2b,PE,1,0.05,1,0.05,$0.05 or 5 cents. Because $1 plus anything will equal above $1.10 unless it's 0.05 because of subtraction rather than addition.,1,90,1,90,90 cents (0.9) or just 90 if that’s possible.,0.93,93% confident after I had double checked my math.,0.85,"I was very unsure but after checking other places, i feel quite confident with my answer now. It is an easy problem, so probably at least 85%.",0.95,"This seems like an obvious answer when explained. If it was only obvious due to my explanation, maybe about 35%. If the thought process was simple to arrive at, maybe 85% or even 95%, as the first question with the magazine and banana proved difficult for so many people.",0.45,"After some searching around on other blogs, etc., i have learned that most people do not think of change. Most get caught up in rounding, as the title of the problem seems to lead one there. So maybe 60-75%, unless those blogs are cherry-picked answers and then probably closer to 45%."
104,,2b,PE,1,0.05,0,1.05,"Well, let me do some quick calculations first. So the Eraser costs $0.05 and the pencil $1.05, that is exactly one dollar difference right there, no need for the extra calculations.",1,0.9,0,2,"The Banana costs $0.90, if we add the $0.40 difference between $2.90 and $2.50 (the price after rounding) to the cost of the magazine ($2).",0.95,My confidence is at about 95%. I would be wrong if the question specified something other than dollars and cents.,0.76,76%.,0.63,"Considering how tricky that one was, I would guess 63%.",0.75,"75%, since the vast majority of my friends are smart enough to answer this correctly."
105,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
106,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
107,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
108,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.75,75%
109,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.95,95%,0.6,60%,0.7,70%
110,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.95,95,0.95,95
111,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,1,100%,1,100%,0.9,90%,0.95,95%
112,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.5,50%
113,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,1,100%,0.95,95%,0.75,75%,0.95,95%
