Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
20,2b,90,90 cents.,100,100%.,,I think everyone who takes this test will get the right answer.,5,5 cents.,100,100%.,,I think most people will get this one wrong.
21,1b,10,10 cents,75,75%,60,60%,40,40 cents,85,85%,50,50%
22,2b,0.9,0.90,80,80,35,35,0.1,0.10,75,75,40,40
23,1a,20,20 cents,75,75 %,45,45 %,90,90 cents,60,60 %,53,53 %
24,2a,0.45,$0.45,76,76%,38,38%,0.1,$0.10,76,76%,53,53%
25,2b,90,90 cents,85,85%,70,70%,45,45 cents,95,95%,65,65%
26,1b,10,Eraser costs 10 cents,85,85%,75,75%,40,Banana costs 40 cents,63,63%,75,75%
27,2b,0.9,0.9 cents,75,75%,80,80%,0.05,0.05 cents,96,96%,65,65%
28,1b,0.1,.10,87,87%,65,65%,45,45 cents,34,34%,70,70%
29,2a,1.4,$1.40,75,75%,30,30%,0.1,$0.10,90,90%,80,80%
30,1a,5,5 cents,40,40%,80,80%,90,90 cents,60,60%,70,70%
31,1a,0.5,$0.50,100,100,75,75,0.9,$0.90,100,100,85,85
32,1b,10,10 cents,90,90%,60,60%,0.5,$0.50,70,70%,30,30%
33,2a,0.5,$.50,78,78%,36,36%,0.1,$.10,100,100%,90,90%
34,2b,90,90 cents,60,60%,40,40%,5,5 cents,80,80%,70,70%
35,1b,10,10 cents,75,75%,60,60%,0.45,$0.45,80,80%,70,70%
36,2a,0.6,$0.60,75,75%,80,80%,0.1,$0.10,40,40%,30,30%
37,1a,0.55,$0.55,60,60%,83,83%,0.4,$0.40,70,70%,95,95%
38,2b,90,90 cents,75,75%,60,60%,10,10 cents,80,80%,70,70%
39,1b,10,10 cents,83.4,83.4%,72.5,72.5%,0.9,$0.90,60,60.0%,54.2,54.2%
40,1b,10,10 cents,90,90%,50,50%,40,40 cents,70,70%,60,60%
41,2b,90,90 cents,85,85 percent,50,50 percent,10,10 cents,45,45 percent,75,75 percent
42,1a,0.1,Eraser costs $0.10,85,85%,40,40%,0.9,Banana costs $0.90,75,75%,60,60%
43,2a,0.5,$.50,87,87,64,64,0.1,$.10,82,82,67,67
44,2a,15,15 cents,70,70%,40,40%,10,10 cents,80,80%,30,30%
45,2b,0.9,$0.90,65,65%,30,30%,0.05,$0.05,85,85%,40,40%
46,1b,0.1,$0.10,95,95%,85,85%,0.45,$0.45,70,70%,30,30%
47,1a,6,6 cents,50,50%,75,75%,30,30 cents,80,80%,40,40%
48,2b,50,50 cents,70,70%,60,60%,30,30 cents,40,40%,80,80%
49,1a,0.5,$0.50,100,100%,32,32%,0.9,$0.90,86,86%,74,74%
50,1b,0.1,$0.10,75,75%,80,80%,0.4,$0.40,30,30%,35,35%
51,2a,10,10 cents,75,75,45,45,20,20 cents,65,65,85,85
52,1a,5,5 cents,80,80%,75,75%,90,90 cents,60,60%,40,40%
53,1b,,Nothing,50,50%,20,20%,4,$4,75,75%,80,80%
54,2b,0.9,0.9 cents,50,50%,60,60%,0.1,0.1 cents,70,70%,80,80%
55,2a,80,80 cents,75,75%,30,30%,10,10 cents,60,60%,40,40%
56,2a,,I don't know,25,25,75,75,,Don't Know,30,30,60,60
57,2b,0.9,0.90,75,75%,40,40%,0.6,0.60,90,90%,80,80%
58,1a,5,5 cents,70,70%,80,80%,90,90 cents,60,60%,40,40%
59,1b,0.9,Rational answer: $0.10 / Intuitive answer: $0.90,65,65,72,72,1.9,Rational answer: $0.40 / Intuitive answer: $1.90,80,80,83,83
60,1a,25,25 cents,60,60%,30,30%,90,90 cents,75,75%,40,40%
61,1b,10,10 cents,75,75%,90,90%,60,60 cents,80,80%,70,70%
62,2b,90,90 cents,75,75%,75,75%,90,90 cents,60,60%,60,60%
63,2a,1,$1,60,60%,50,50%,0.1,$0.10,40,40%,75,75%
64,2b,,I don't know/Refusal,0,0,50,50,,I don't know/Refusal,30,30,60,60
65,1b,10,Eraser costs 10 cents.,70,70%,50,50%,30,Banana costs 30 cents.,80,80%,60,60%
66,2a,0.5,$0.50,67,67%,30,30%,0.05,$0.05,85,85%,40,40%
67,1a,5,5 cents,90,90%,76,76%,90,90 cents,94,94%,89,89%
68,2b,0.9,$0.90,100,100%,60,60%,0.5,$0.50,100,100%,80,80%
69,1a,5,5 cents,86,86%,72,72%,90,90 cents,94,94%,93,93%
70,1a,0.5,$0.50,90,90%,40,40%,0.9,$0.90,93,93%,67,67%
71,1b,20,20 cents,90,90 percent,53,53,60,60 cents,70,70 percent,83,83
72,2a,1.5,$1.50,70,70%,60,60%,30,30 cents,80,80%,90,90%
73,2a,0.5,$0.50,80,80%,70,70%,0.1,$0.10,80,80%,60,60%
74,1b,10,10 cents,80,80%,50,50%,0.4,$0.40,60,60%,70,70%
75,2b,0.9,$0.90,67,67%,50,50%,0.1,$0.10,80,80%,90,90%
76,2b,,Answer,,Percentage,,Percentage,,Answer,,Percentage,,Percentage
77,1b,0.1,$.10,85,85,70,70,3.4,$3.40,65,65,70,70
78,2a,50,50 cents,78,78,85,85,10,10 cents,63,63,45,45
79,1a,5,I guess... 5 cents for the eraser?,60,60%,90,90%,90,Hmmm... I think the banana would be around 90 cents.,70,About 70%.,80,"Oh, I'd say about 80%."
80,1b,0.1,$0.10,100,100%,80,80%,0.5,$0.50,100,100%,70,70%
81,1a,5,5 cents,90,90%,20,20%,90,90 cents,100,100%,65,65%
82,2a,0.5,$0.50,87,87,63,63,0.1,$0.10,84,84,65,65
83,2b,0.9,.90 cents.,80,80%.,75,75%.,0.1,.10 cents,65,65%.,60,60%.
84,1a,0.5,$.50,42,42%,60,60%,0.9,$.90,38,38%,75,75%
85,1b,0.1,.10,85,85,67,67,0.9,.90,83,83,64,64
86,2b,90,90 cents,80,80%,60,60%,10,10 cents,100,100%,75,75%
87,2a,0.45,$0.45,70,70%,60,60%,0.1,$0.10,80,80%,80,80%
88,2a,0.5,$0.50,80,80,60,60,0.1,$0.10,80,80,70,70
89,1b,10,10 cents,95,95%,40,40%,60,60 cents,70,70%,30,30%
90,2b,0.9,$0.90,85,85%,60,60%,0.5,$0.50,75,75%,40,40%
91,1a,10,10 cents,90,90%,50,50%,90,90 cents,60,60%,75,75%
92,1b,0.1,$0.10,50,50%,92,92%,1.4,$1.40,60,60%,78,78%
93,1a,15,15 cents,60,60%,82,82,90,90 cents,70,70%,74,74
94,2a,0.5,$0.50,70,70%,40,40%,0.1,$0.10,60,60%,30,30%
95,2b,0.9,$0.90,75,75,60,60,0.5,$0.50,80,80,40,40
96,2a,0.3,$0.30,85,85,76,76,0.2,$0.20,95,95,94,94
97,2b,80,80 cents,95,95%,70,70%,60,60 cents,95,95%,70,70%
98,1a,5,5 cents,60,60%,40,40%,40,40 cents,60,60%,40,40%
99,1b,10,10 cents,85,85%,40,40%,60,60 cents,73,73%,60,60%
100,2a,0.45,$0.45,80,80%,70,70%,0.1,$0.10,95,95%,90,90%
101,2a,0.5,$0.50,68,68,73,73,0.1,$0.10,45,45,20,20
102,1b,0.1,$0.10,75,75%,83,83%,0.4,$0.40,60,60%,33,33%
103,2b,0.9,$0.90,75,75%,67,67%,0.45,$0.45,50,50%,38,38%
104,1a,,I don't know how much the eraser costs.,65,65%,78,78%,,I don't know how much the banana costs.,43,43%,74,74%
105,1b,10,10 cents,85,85%,75,75%,30,30 cents,65,65%,45,45%
106,2a,0.5,$0.50,30,30,60,60,0.1,$0.10,40,40,80,80
107,1a,0.5,$0.5,70,70%,56,56%,0.9,$0.9,80,80%,34,34%
108,2b,0.9,.90 cents,95,95%,70,70%,0.5,$0.50,85,85%,60,60%
109,1b,0.1,"I would guess that the eraser costs $0.10, since I don't know exactly how much it costs.",70,I'm about 70% sure.,50,"About 50%. I think most people would answer this question the same way I did, but some might give a different response.",1,"If the magazine costs $2 more than the banana, then the magazine must be at least $2. The cheapest combination would be if the magazine costs $3 and the banana costs $1. So the banana costs $1. But there could be other possibilities too.",80,I'm about 80% sure.,-80,I think most people would get this one right. Maybe around 70-80%.
110,1a,1.65,"Eraser = $0.65, Pencil = $1.65",80,80%,50,50%,0.9,Banana = $0.90,75,75%,30,30%
111,2a,1.35,$1.35,85,85,75,75,0.1,$0.10,68,68,60,60
112,2b,0.9,$0.90,80,80,65,65,0.5,$0.50,80,80,70,70
113,2b,0.9,0.90,100,100,50,50,0.1,0.10,70,70,80,80
114,1b,9,9 cents,87,87%,75,75%,60,60 cents,83,83%,72,72%
115,1a,5,5 cents,70,70%,40,40%,90,90 cents,60,60%,30,30%
116,2a,2,"The banana would cost 0.90, and then the magazine would be the other part which equals $2.00",85,85%,80,I believe that 80% of participants got this answer correct.,1,The eraser would cost $0.10 because the pencil costs $1.00.,90,90%,70,I think around 70% got this question right.
117,1b,45,Rs. 45,75,75,80,80,0,0,60,60,30,30
118,1a,0.55,"Answer $0.10, $0.55",30,30%,70,70%,1,"Answer $1.40, $1.00",30,30%,60,60%
119,2b,1.05,$1.05,80,80%,40,40%,60,60 cents,70,70%,30,30%
120,2a,0.5,I would say $0.50 but I am not sure.,76,76%,60,60%,0.1,$0.10,84,84%,90,90%
121,1a,0.5,$0.50,75,75%,60,60%,1.4,$1.40,90,90%,80,80%
122,2a,1,$1,50,50%,80,80%,0.1,$0.10,100,100%,70,70%
123,1b,0.1,$0.10,75,75%,25,25%,0.4,$0.40,95,95%,80,80%
124,2b,90,90 cents,75,75%,45,45%,10,10 cents,65,65%,35,35%
125,1b,10,10 cents,80,80,50,50,40,40 cents,60,60,75,75
126,2a,50,50 cents,65,65%,40,40%,10,10 cents,70,70%,80,80%
127,1a,5,5 cents,70,70%,28,28%,90,90 cents,65,65%,53,53%
128,1a,0.65,$0.65,90,90%,20,20%,0.9,$0.90,75,75%,40,40%
129,2a,1,$1.00,85,85,65,65,0.1,$0.10,75,75,70,70
130,1a,5,5¢,93,93%,80,80%,90,90¢,76,76%,45,45%
131,1a,5,5 cents,75,75%,90,90%,90,90 cents,85,85%,85,85%
132,1a,5,5 cents,80,80%,70,70%,40,40 cents,90,90%,30,30%
133,1a,5,5 cents,90,90%,80,80%,90,90 cents,90,90%,80,80%
134,1b,0.1,0.10,95,95,86,86,0.45,0.45,92,92,73,73
135,1b,10,10 cents,95,95%,80,80%,50,50 cents,90,90%,65,65%
136,2b,90,90 cents,85,85%,40,40%,10,10 cents,75,75%,60,60%
137,2b,1.15,$1.15,87,87%,35,35%,0.1,$0.10,100,100%,65,65%
138,1b,10,Eraser: 10 cents,90,90%,85,85%,45,Banana: 45 cents,90,90%,75,75%
139,1b,10,10 cents,75,75%,89,89%,0.4,$0.40,60,60%,75,75%
140,1a,15,15 cents,70,70%,60,60%,90,90 cents,90,90%,80,80%
141,1a,0.5,$0.5,90,90,50,50,0.9,$0.90,85,85,70,70
142,2b,90,90 cents.,100,100%.,50,50%.,10,10 cents.,100,100%.,75,75%.
143,2a,,[pause] It's not clear. I don't know how much the magazine costs so it seems that there's no way to calculate the price of a banana without additional information.,50,50%,70,"About 70%, since I didn't even try to solve the problem, but I assume most people would make an attempt at solving it.",0.1,The eraser should cost $0.10.,80,80%.,95,95%.
144,1a,1.55,"Eraser: $0.55, Pencil: $1.55",90,90%,80,80%,2,"Banana: $0.90, Magazine: $2",90,90%,80,80%
145,1b,10,10 cents,97,97,85,85,50,50 cents,87,87,65,65
146,2b,90,90 cents,60,60%,78,78%,30,30 cents,80,80%,85,85%
147,2b,0.9,$0.90,70,70%,60,60%,0.5,$0.50,70,70%,30,30%
148,2b,10,10 cents,60,60 percent,50,50 percent,50,50 cents,80,80 percent,70,70 percent
149,2b,0.9,$0.90,75,75%,60,60%,0.1,$0.10,90,90%,80,80%
150,1b,10,10 cents,90,90%,72,72%,30,30 cents,80,80%,65,65%
151,1b,10,10 cents,95,95%,26,26%,45,45 cents,75,75%,34,34%
152,1a,5,5 cents,80,80 percent,95,95 percent,90,90 cents,75,75 percent,65,65 percent
153,1a,0.55,$0.55,98,98%,60,60%,0.9,$0.90,98,98%,70,70%
154,2a,1.45,$1.45,75,75,80,80,0.1,$0.10,90,90,90,90
155,1b,0.1,.10 cents,82,82 %,78,78 %,1.4,1.40,62,62 %,70,70 %
156,2b,90,90 cents,65,65,45,45,30,30 cents,80,80,75,75
157,1b,0.1,Eraser cost $0.10,80,80%,75,75%,0.9,Banana cost $0.90,65,65%,40,40%
158,2a,1,$1,75,75%,45,45%,0.1,$0.10,80,80%,60,60%
159,2a,1.5,$1.50,80,80%,86,86%,0.05,$0.05,75,75%,73,73%
160,1b,0.1,Eraser = $0.10,65,65%,74,74%,0.9,Banana = $0.90,80,80%,70,70%
161,1b,10,10 cents,85,85%,60,60%,60,60 cents,70,70%,60,60%
162,1b,10,10 cents,95,95%,60,60%,0.9,$0.90,80,80%,70,70%
163,2a,1,1$,85,85%,60,60%,10,10 cents,75,75%,40,40%
164,1a,5,5 cents,80,80%,30,30%,90,90 cents,70,70%,40,40%
165,2a,0.9,$0.90,80,80 %,70,70 %,0.1,$0.10,95,95 %,95,95 %
166,2a,0.5,0.5$,60,60,80,80,10,10cents,40,40,70,70
167,1a,0,0,90,90%,63,63%,0.4,0.40,78,78%,50,50%
168,1a,15,15 cents,60,60%,80,80%,90,90 cents,80,80%,90,90%
169,1a,5,5 cents,62,62 percent,48,48 percent,90,90 cents,73,73 percent,60,60 percent
170,1b,10,10 cents,90,90%,75,75%,0.8,$0.80,80,80%,60,60%
171,2a,0.5,0.50,70,70%,60,60%,0.1,0.10,90,90%,80,80%
172,2b,40,40 cents,75,75%,60,60%,5,5 cents,85,85%,80,80%
173,2b,90,90 cents,83,83%,45,45%,60,60 cents,76,76%,50,50%
174,1a,50,50 cents,80,80%,70,70%,90,90 cents,90,90%,95,95%
175,1a,1,"Let x be the price of an eraser. Then, the price of a pencil would be x+1. The equation would be:",99,99%,75,75%,,"Let x be the price of the banana. Then, the equation would be:",98,98%,63,63%
176,1a,9,Answer: 9 cents,96,96%,40,40%,90,Answer: 90 cents,83,83%,75,75%
177,1b,10,10 cents,75,75%,99,99%,0.3,$0.30,80,80%,80,80%
178,2b,1.9,$1.90,80,80%,65,65%,0.5,$0.50,70,70%,60,60%
179,2a,10,10 cents,70,70%,85,85%,10,10 cents,60,60%,90,90%
180,1b,10,10 cents,95,95%,45,45%,60,60 cents,85,85%,70,70%
181,2b,1.9,$1.90,85,85%,75,75%,0.45,$0.45,65,65%,55,55%
182,2b,90,90 cents,85,85%,30,30%,10,10 cents,60,60%,40,40%
183,1b,10,10 cents,95,95%,75,75%,45,45 cents,85,85%,70,70%
184,2a,10,10 cents,85,85%,36,36%,5,5 cents,85,85%,40,40%
185,1b,10,10 cents,63,63,90,90,40,40 cents,87,87,50,50
186,2b,90,90 cents,85,85%,75,75%,10,10 cents,60,60%,45,45%
187,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,50,50%
188,2b,90,90 cents,80,80%,95,95%,55,55 cents,76,76%,90,90%
189,2a,,I don't know,10,10,50,50,10,10 cents,90,90,80,80
190,1b,0.1,$0.10,95,95%,80,80%,0.9,$0.90,95,95%,75,75%
191,2b,0.8,$0.80,75,75%,30,30%,0.4,$0.40,80,80%,60,60%
192,1a,10,10¢,80,80,30,30%,90,90¢,60,60,50,50%
193,1a,0.2,$0.20,78,78,35,35,0.9,$0.90,92,92,62,62
194,1b,10,10 cents,50,50%,80,80%,0.4,$0.40,70,70%,60,60%
195,2a,1,$1,85,85,90,90,10,10 cents,60,60,70,70
196,2a,0.45,$0.45,80,80%,75,75%,0.1,$0.10,100,100%,100,100%
197,1b,0.1,$.10,65,65%,68,68%,1.45,$1.45,80,80%,70,70%
198,1a,5,5 cents,75,75%,95,95%,90,90 cents,85,85%,90,90%
199,2b,0.9,$0.90,58,58,40,40,0.1,$0.10,30,30,67,67
200,2a,1.8,1.80,70,70,60,60,0.1,0.10,75,75,80,80
201,2a,0.4,$0.40,80,80,67,67,0.1,$0.10,100,100,100,100
202,1a,1.55,"Eraser costs $0.55, pencil costs $1.55",80,80,70,70,2,"Banana costs $0.90, magazine costs $2",60,60,50,50
203,1a,5,5 cents,90,90,80,80,90,90 cents,70,70,60,60
204,1a,,"I'm sorry, I don't know.",0,0%,70,70%,,"I'm sorry, I don't know.",0,0%,85,85%
205,2b,1.4,$1.40,68,68,53,53,0.9,$0.90,72,72,60,60
206,1b,,"I'm sorry, but what does this have to do with decision making?",75,75%,85,85%,,Really? Another math question? Can we please get back to the topic at hand?,43,43%,65,65%
207,2a,0.6,$0.60,85,85,80,80,0.1,$0.10,70,70,80,80
208,1b,9,9 cents,75,75%,90,90%,0.8,$0.80,60,60%,80,80%
209,2a,1.5,$1.50,75,75%,45,45%,0.1,$0.10,100,100%,80,80%
210,1b,10,10 cents,50,50%,90,90%,1.4,$1.40,80,80%,70,70%
211,2b,0.9,$0.90,75,75,35,35,0.45,$0.45,65,65,40,40
212,2b,90,90 cents,70,70%,80,80%,10,10 cents,60,60%,75,75%
213,2a,1,$1,80,80%,47,47%,0.1,$0.10,75,75%,65,65%
214,2b,0.5,$0.50,86,86,90,90,0.4,$0.40,80,80,70,70
215,2a,,I have no idea,15,15 %,60,60 %,10,I know that the answer is 10 cents but just can't figure out how,30,30 %,80,80 %
216,1b,0.1,$0.10,95,95%,40,40%,0.8,$0.80,90,90%,60,60%
217,1a,0.5,$0.50,60,60,47,47,0.9,$0.90,100,100,83,83
218,2a,1.5,$1.50,85,85,85,85,0.1,$0.10,97,97,90,90
219,2b,1.1,"I would say that a banana probably costs about $0.8 or something like that, so I guess it's $1.10? But then again, magazines usually don't cost only $2, do they? So maybe...I don't know what the right answer is supposed to be. Ummm...I think that the magazine might be on sale or something, because otherwise the numbers wouldn't add up like this. Maybe if we assume the magazine was on sale for $1.50, then the banana would be worth $1.40. That seems more reasonable than $1.10, given the context.",,"Um...I don't really understand what that means, because I'm just making up numbers here. It's not really an educated guess, but more like a random one. So I don't feel like I can put any percentage on my confidence level at all.",50,"I have no idea. I mean, I could see someone coming up with the right answer, but also someone getting confused by the strange math and giving up or guessing randomly like me. So I guess maybe around 50%, since some people will get it and others won't. But again, I'm just guessing here.",0.43,"Okay, so if we assume that the eraser is worth $x, then the pencil would be worth $x+1. And since they add up to $1.10, we can say that x + (x+1) = 1.1. Solving for x gives us that the eraser must cost about $0.43. That seems kinda expensive for an eraser though...I don't know. Maybe I'm wrong.",90,"Well, I feel pretty good about my answer this time, since I actually did some math to figure it out. So I would give myself maybe 90% confidence level.",85,"Again, I think that most people should get the correct answer here, since it's not too difficult once you work through the steps. So I would say around 85%."
220,1b,20,20 cents,95,95%,75,75%,80,80 cents,90,90%,60,60%
221,1a,5,5 cents,90,90,70,70,90,90 cents,80,80,80,80
222,2a,75,I think it's about 75 cents,80,Maybe 80% sure,40,Hmm... maybe 40%,60,"It's gotta be less than 10 cents right? Oh wait, I forgot my answer for the last one... I'm pretty sure I said 80% so that means I should say about 60% now.",90,I guess like 90% because I can figure out the first step easily but I always mess up on these math problems at the end.,50,This time I'll go with about 50%
223,1b,10,10 cents,95,95 percent,80,80 percent,1,$1,100,100 percent,70,70 percent
224,2a,,I don't know,25,25,35,35,0.1,$0.1,80,80,60,60
225,1a,25,25 cents.,95,95%.,40,"I guess around 40%, so 40%.",70,70 cents.,80,80%.,60,"I think around 60%, so 60%."
226,1a,0.1,0.10,80,80,45,45,0.9,0.90,90,90,76,76
227,2b,0.5,$0.50,70,70%,80,80%,0.4,$0.40,80,80%,60,60%
228,2b,0.9,.90 cents,80,80%,75,75%,0.4,.40 cents,80,80%,60,60%
229,1a,5,5 cents,60,60%,23,23%,90,90 cents,80,80%,47,47%
230,2a,0.45,.45,85,85%,33.33,33.33%,10,10 cents,75,75%,86.67,86.67%
231,1a,0.1,Eraser costs .10,90,90%,50,50%,0.9,.90,75,75%,80,80%
232,1b,10,10 cents,95,95%,60,60%,70,70 cents,90,90%,80,80%
233,1b,0.1,$0.10,95,95,70,70,0.6,$0.60,93,93,80,80
234,1b,10,10 cents,90,90%,50,50%,0.8,$0.80,60,60%,30,30%
235,2b,90,90 cents,50,50%,60,60%,10,10 cents,40,40%,40,40%
236,1a,5,5 cents,85,85 %,95,95%,90,90 cents,95,95%,70,70%
237,2b,1,$1,100,100%,85,85%,0.1,$0.10,80,80%,65,65%
238,2a,1.35,$1.35,80,80,60,60,0.1,$0.10,70,70,40,40
239,2a,0.5,$0.5,80,80,30,30,0.1,$0.1,60,60,70,70
240,1a,5,5 cents,90,90%,60,60%,40,40 cents,80,80%,70,70%
241,1b,10,10 cents,75,75%,60,60%,1,$1,80,80%,40,40%
242,1b,10,10 cents,80,80%,40,40%,65,65 cents,70,70%,30,30%
243,1a,0.5,$0.50,75,75,60,60,0.8,$0.80,90,90,90,90
244,1b,10,10 cents,65,65%,90,90%,0.4,$0.40,70,70%,80,80%
245,2a,1.5,$1.50,60,60%,55,55%,0.1,$0.10,80,80%,75,75%
246,2a,1,$1,50,50,75,75,0.1,$0.10,80,80,90,90
247,1a,0.6,$0.60,95,95%,80,80%,0.9,$0.90,95,95%,70,70%
248,2a,1.45,$1.45,70,70%,80,80%,0.1,$0.10,80,80%,90,90%
249,1b,0.1,$0.10,95,95%,80,80%,0.7,$0.70,95,95%,85,85%
250,2b,70,"I am not sure, but probably around 70 cents.",65,About 65%.,80,About 80%.,30,"Erm, I would guess maybe around 30 cents or so.",55,About 55%.,55,"Around 50-60%, say 55%."
251,2a,,I don't know,50,50%,60,60%,,I don't know,50,50%,80,80%
252,1a,0.25,$0.25,90,90,80,80,0.9,$0.90,70,70,60,60
253,1a,0.5,$0.5,67,67%,83,83%,0.4,$0.4,82,82%,89,89%
254,2b,,,,,,,,,,,,
255,1b,0.1,$0.10,85,85%,50,50%,0.9,$0.90,100,100%,75,75%
256,1a,0.05,$0.05,85,85,20,20,0.75,$0.75,70,70,40,40
257,2b,90,90 cents,85,85%,60,60%,5,5 cents,75,75%,30,30%
258,2b,90,90 cents,80,80%,65,65%,10,10 cents,74,74%,30,30%
259,2a,0.45,$0.45,75,75%,80,80%,0.1,$0.10,90,90%,96,96%
260,1b,0.1,$0.10,95,95%,75,75%,0.45,$0.45,80,80%,65,65%
261,1a,0.1,.10$,95,95%,30,30%,0.9,.90$,80,80%,70,70%
262,2b,90,90 cents,100,100%,65,65%,10,10 cents,80,80%,70,70%
263,1a,5,5 cents. (correct),80,80%,30,30%.,90,90 cents. (correct),100,100%,70,70%.
264,2a,1.45,1.45,80,80,75,75,0.99,0.99,60,60,85,85
265,2b,90,90 cents,60,60%,85,85%,40,40 cents,70,70%,75,75%
266,1a,5,5 cents,60,60 percent,80,80 percent,90,90 cents,70,70 percent,40,40 percent
267,1b,10,10 cents,65,65%,80,80%,1.4,$1.40,70,70%,50,50%
268,1b,2,Eraser costs 2 cents,75,75 percent,80,80 percent,60,Banana cost is 60 cents,75,75 percent,40,40 percent
269,1b,0.05,$0.05,97,97%,48,48%,0.6,$0.60,83,83%,52,52%
270,2a,75,75 cents,80,80 %,60,60 %,10,10 cents,100,100 %,80,80 %
271,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,30,30%
272,1b,10,10 cents,80,80 percent,75,75 percent,1.4,$1.40,65,65 percent,60,60 percent
273,2a,1.5,$1.50,80,80,70,70,0.1,$0.10,95,95,95,95
274,2b,0.9,0.90 cents,85,85%,95,95%,0.1,0.10 cents,75,75%,65,65%
275,1b,0.1,$0.10,80,80%,50,50%,0.4,$0.40,70,70%,60,60%
276,1b,10,10 cents,85,85%,60,60%,0.7,$0.70,85,85%,40,40%
277,1b,1.1,"If pencils cost a dollar, and a pencil and an eraser cost $1.10 altogether, then an eraser must cost ten cents.",100,I am 100 percent sure.,68,I will say that 68% of people answered this correctly.,2.9,"If the magazine costs two dollars more than the banana, and they together cost $2.90, then one plus two equals three, so the banana must have cost ninety cents.",,One hundred percent.,54,I think that around 54% of people would get this correct.
278,1b,10,10 cents,60,60%,80,80%,50,50 cents,70,70%,90,90%
279,1b,10,10 cents,60,60%,85,85%,0.5,0.50$,70,70%,40,40%
280,2a,50,50 cents,80,80%,40,40%,10,10 cents,90,90%,60,60%
281,1a,,I do not know,50,50,60,60,40,40 cents,80,80,70,70
282,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,70,70%
283,1b,10,10 cents,85,85%,60,60%,40,40 cents,70,70%,30,30%
284,1b,,Can I just say the answer?,100,100%,50,50%,,Can I just say the answer?,100,100%,60,60%
285,2b,1.9,$1.90,85,85,70,70%,0.45,$0.45,60,60,35,35%
286,1a,30,30 cents,80,80%,50,50%,90,90 cents,70,70%,80,80%
287,2b,1.45,$1.45,60,60%,75,75%,0.15,$0.15,80,80%,90,90%
288,1a,0.5,$0.50,70,70%,60,60%,0.9,$0.90,90,90%,80,80%
289,1a,0.45,"Let x = cost of eraser. Then, we have the following equation: x + (x + 1) = 1.1 or 2x + 1 = 1.1 which means that x = .45. Therefore, the eraser costs $.45.",70,70%,60,60%,0.9,"Let x = cost of banana. We have the following equation: x + 2 = 2.9 or x = .9. So, the banana costs $.90.",80,80%,80,80%
290,2a,0.5,$0.50,65,65,80,80,0.1,$0.10,70,70,70,70
291,2b,90,90 cents,85,85%,60,60%,50,50 cents,70,70%,40,40%
292,2a,1,$1,70,70,50,50,0.1,$0.10,80,80,60,60
293,2b,0.5,$.50,100,100%,75,75%,0.35,$0.35,100,100%,85,85%
294,2a,0.5,$0.50,83,83,70,70,0.1,$0.10,86,86,75,75
295,2b,0.9,$0.90,65,65,74,74,0.05,$0.05,85,85,84,84
