Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
11,,2a,BM,1,0.45,1,0.45,"$.45 because if you add that number to 2 dollars it equals 2.45, and then if you take 2.45 from 2.90 it equals .45 cents.",1,0.1,1,0.1,$.10 cents because when you subtract 1 dollar from $1.10 it leaves .10 cents left for the eraser.,1,100%,1,100%,0.67,67%,0.83,83%
12,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.85,85%,1,100%,0.7,70%,0.8,80%
13,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,1,100,0.6,60,0.85,85
14,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90,1,100,0.1,10,0.5,50
15,,1a,PE,1,5,0,1.95,"5 cents, because if a pencil is one dollar more expensive than an eraser that is 95 cents, then the total would be $1.95 which is not what's presented in the question so I must have misunderstood it. But that seems like an appropriate price for an eraser anyway...I mean, really. Who can afford those prices these days!",1,90,1,90,"The banana costs 90 cents. It said ""together"" in the first question but did not specify whether this meant side by side, or simultaneously, or whatever.  So there's no way I could have gotten that first answer wrong due to misinterpretation. Unless the question itself was misinterpreted. Which makes sense because nothing adds up here.",0.6,60%.,0.85,85%.,0.1,I don't know; probably 10% or something.,0.75,"Let me think about this...well, maybe around 75%. Most people would assume the word ""and"" implies addition when dealing with math problems involving money. But who knows anymore."
16,,2a,BM,0,60,0,2,"60 cents, since if it was .50 or .40 or .30 then the mag would have to be more than 2.",1,10,1,10,This one seems too obvious.  10 cents... I don't understand why anyone would ask for such an easy question.,0.7,"70%.  I'm fairly certain, but i still did some quick adding up in my head just to make sure.",0.9,"90%, cause it was pretty straight-forward.",0.8,"Maybe about 80%, though i feel like most kids who learn that type of addition stuff wouldn't do something silly and try to figure out what the actual numbers were instead.",0.95,Probably 95% or so; it's just simple arithmetic.
17,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.90,0.9,90,1,100,0.9,90,0.9,90
18,,1b,BM,0,,0,,That doesn't make any sense...because the difference in the price between those two things should be at least a dollar!,1,10,1,10,10 cents,0,0%,1,100%,0.25,Uh.. 25% maybe?,0.95,I'm going to say 95%.
19,,1a,PE,1,0.05,1,0.05,Eraser costs $.05 (answer entered by typing .05),1,0.9,1,0.9,Banana costs $.90 (entered as $0.90),1,"100 (entered 100, typed as %100)",0.85,85% (entered as %85),0.9,90% (entered as %90),0.9,90% (entered as %90)
20,,2b,PE,1,0.05,0,1.05,Eraser costs $.05 cents & the pencil is $1.05 cents,1,0.9,1,0.9,$.90 cents.,0.9,90%,0.99,99%.,0.7,70%.,0.5,50%
21,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.8,80,0.9,90
22,,2b,PE,0,1,0,1,"If the pencil costs $1 more than the eraser, then the eraser must cost a certain amount less than the pencil. The total sum ($1.10) can be split into two portions -- one portion being the price for the eraser plus some quantity 'x' which equals the difference in value between the pencil and the eraser. Using basic algebra, x+$0.05=$1. Thus, the eraser costs five cents.",1,0.9,1,0.9,"The banana costs $0.90, because the total price ($2.90) minus the magazine's price ($2.00) leaves only the price for the banana ($0.90).",1,I am 100% confident that my answer (five cents) is correct.,0.009,I am 100% confident that my answer ($0.90) is correct.,0.3,Approximately 30% of people would solve this problem correctly because many individuals do not trust their algebraic abilities or they assume that there are errors with the wording of the problem.,0.98,Approximately 98% of people would solve this problem correctly if they had confidence in their basic arithmetic abilities.
23,,1a,PE,0,10,0,1,"Eraser is 10 cents and pencil would then be 1 dollar, as specified by the question.",1,90,1,90,The banana costs 90 cents; this seems to follow directly from information presented.,0.95,"95%. I’m quite certain about this answer but because people can be tricked sometimes, there remains some doubt.",1,100% - This answer strikes me as self-evident and therefore there is no room for doubt.,-0.6,"50-60%, although perhaps fewer if they were very hasty with their answers or did not think the logic through carefully enough.",,"Probably close to all, as long as they read the question slowly enough to comprehend it properly."
24,,2a,BM,0,0.6,0,0.6,0.60 cents,1,0.1,1,0.1,.10 cents,0.75,75%,1,100%,0.25,25%,0.5,50%
25,,2b,PE,1,0.05,0,1.05,The eraser costs $0.05 and the pencil costs $1.05.,1,0.9,1,0.9,$.90,0.6,I am about 60% confident. My first gut reaction was that both items were equal. I had to do the calculation over again after second guessing myself.,1,I am 100% sure in my answer,-0.75,55-75% maybe,0.85,85% or higher
26,,1b,BM,1,45,1,45,I think the banana costs 45 cents...,1,10,1,10,10 cents,0.7,"I think I might be missing something but if my calculation is right, which I believe it is, then I am pretty sure about the answer, like 70%.",1,I am 100% certain that my answer was correct!,0.6,"Honestly I am having hard time myself. This seems trickier, maybe only like 60%, but who knows?",-0.95,If someone fails this question they probably just didn't pay enough attention...I would say most people can solve it so around 80-95% of them will get it right!
27,,2b,PE,0,1,0,0.1,"If the pencil costs $1 more than the eraser then it will cost $1.10. However, the entire price of these two items is only $1.10. That would mean that the eraser costs zero dollars, which makes no sense, as an item cannot cost nothing when there are other things affecting its value. Therefore, I will enter -$0.10 for my response, meaning the pencil must also cost a negative amount. It is impossible for anything to cost a negative amount; thus, the problem is invalid.",1,0.9,0,2.9,"The banana costs $0.90, because $2 for the magazine plus $0.90 for the banana equals $2.90.",0,"0%. The question is ambiguous, because there is a contradiction between the overall cost and the individual items' values.",1,"100%, because I double checked my answer before submitting it.",0.05,"At most, 5%. This is just speculation based on the wording of the problem, but I am pretty confident in my guess.",0.8,"Approximately 80%, but that is just an estimate."
28,,1b,BM,1,0.45,1,0.45,"$.45 cents (answer was recorded as ""0.45"" because participant only typed in "".45"")",1,0.1,1,0.1,"$.10 cents (answer was recorded as ""0.1"" because participant only typed in $.10)",1,100%,0.85,85%,0.65,65%,0.75,75%
29,,2a,BM,1,0.45,1,0.45,"The banana costs $.45; many people make an initial mistake because they first try to subtract, but this leads to a non-integer answer, so you have to guess that the answer is really the reverse situation, where one value is three times another, giving you 3x + x = 2.90 => x = $.45 for the banana.",1,0.1,1,0.1,"This is similar to the previous question except that here you should automatically recognize that it can only cost ten cents, not a dollar, since if it were a dollar the pencil would have to cost zero. So this is basically just checking whether people are able to apply common sense and logical reasoning beyond mere computational abilities when solving these problems - which most can probably do unless they aren't really paying attention or are just guessing randomly at any old value (in other words, the problem requires both cognitive ability as well as motivation to engage in critical thinking processes). Answer: $.10",0.87,"87% I am slightly less sure than totally because there are two ways to do it - algebra or subtraction then division, which gave me an original wrong answer; and either method could be right, depending on interpretation.",0.98,"98%, although technically speaking there might be some slight chance of an error occurring in my calculations, even though I know for certain that the eraser must logically be worth ten cents, regardless of how one arrives at that answer.",0.0045,"60%, although I think about 25% will come up with the incorrect answer of $0.20 based on arithmetic manipulations, without thinking about the conceptual meaning behind the numbers and operations, and the remaining 15% will choose $0.45 because, as I did, after discovering their initial solution was incorrect, they guessed at the right one, but weren't fully confident in their responses, so they will round down a little to indicate their uncertainty.",0,"Over 90%.  The reason I didn't say 100% is because sometimes people misread or don't pay attention to what they're doing; also, there may be those who will make an arbitrary guess, or assume incorrectly that if the pencil were $1 then the eraser would be $0 (which, as we all know from elementary school days, makes no sense at all!)."
30,,1a,PE,1,0.05,0,1,"Eraser cost $0.05, Pencil cost $1.05 (I'm assuming that it isn't possible for a pencil to cost $1.10 because it's stated that the pencil costs $1 more than the eraser).",1,0.9,1,0.9,Banana costs $.90,0.95,95%,0.9,90%,0.7,70%,0.65,65%
31,,1a,PE,0,0.1,0,0.1,Eraser cost .10 cents.,1,0.9,1,0.9,Banana cost $.90 cents,0.75,75%,1,100%. I know my answer is correct.,0.3,30%,0.9,50%. Some people don't get that if the magazine is 2 dollars then the banana has to be 90 cents but some do. It depends on how many actually read carefully through.
32,,1b,BM,0,,0,,"I would need a calculator to solve this problem, as it involves algebra or manipulating variables.",1,0.1,0,1.1,"The eraser cost $0.10, because that is how much is remaining after the cost for the pen was deducted from the total price of $1.10.",0.4,40%,0.9,90%,0.5,"50%, because the problem is complicated by requiring algebraic manipulations.",0.75,"75%, based on my experiences of being wrong sometimes."
33,,2a,BM,0,0.85,0,0.85,.85 cents,1,0.1,1,0.1,.10 cents,0.96,96%,0.97,97%,0.95,95%,0.93,93%
34,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.90,0.67,67,1,100,0.1,10,0.85,85
35,,1b,BM,0,2,0,60,"Let x = cost of banana, then x + 2 = cost of magazine. So, 3x = $5.90, therefore x = 3/10 * $5.90 = $1.97 and thus the banana is 60 cents.",1,10,1,10,10 cents.,-0.95,"I think that I'm pretty accurate on my calculations, so I am around 90-95% sure.",0.8,I am about 80% sure that I’m correct.,0.5,Most likely around 50% of all participants because a lot of people forget about basic algebra.,0.75,"About 80% of participants answered it correctly, but if they are being honest on their confidence levels, probably more around 75%."
36,,2a,BM,0,0.9,0,0.9,"The banana cost .90 cents (I figured this out by setting the equation 2.90-x=2+x where x was the price of the banana). I knew that if it were one dollar then the magazine would be 1.90, which added to a banana at 1 dollar still totals 2.90, so logically, .90 cents has to be what the banana costs).",0,,0,,"Ten cents. This one was just basic subtraction after knowing that the pencil cost a dollar (I knew this wasn’t the correct way to solve such problems but given how easy the last question was, I thought there would be no harm in using this method).",0.02,"95%. It’s possible for me to be wrong if the magazine only cost $2.70 or $3.10 because the problem states that the difference between the two items must be $2, but if we consider that an unlikely possibility due to the question’s specificity then I am sure that my answer is right).",0.75,"About 75%. I know that isn’t the right way to solve such problems but considering how easy the first question was and also because many people would make the same mistake, I believe my answer is likely correct, even if it’s logically flawed).",0.01,"Probably around 85%, most of my classmates got it right and the ones who didn’t tried using simple math rather than actually solving the equation, resulting in answers like “The magazine costs $1” or similar incorrect responses).",0.6,"Probably around 60%, based on how common an error similar to mine tends to be."
37,,1a,PE,0,1,0,1.1,"The pencil costs $1 so the eraser must be ten cents but that makes $1.10, therefore I am confused!",0,,0,,That's easier -- twenty cents.,0.8,80%,0.95,95%,0.45,I would guess 45%.  It was confusing and if I could get it wrong then I'm thinking about half might too.,0.7,"At least 70%, maybe more, because the second one makes more sense."
38,,2b,PE,1,0.05,1,0.05,$.05,1,90,1,90,90 cents,1,100%,1,100%,0.6,60%,0.85,85%
39,,1b,BM,0,35,0,35,35 cents,1,10,1,10,10 cents,0.7,70%,0.85,85%,0.6,60%,0.5,50%
40,,1b,BM,1,45,1,45,Banana costs 45 cents.,1,10,1,10,10 cents.,0.9,I calculated this answer myself so I'm about 90% sure.,0.1,"I am totally sure that it was 10 cents, as this is a classic problem.",0.5,Maybe around 50%.  It can be difficult if one doesn't calculate properly.,0.9,90%.
41,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.65,65%,0.85,85%
42,,1a,PE,1,0.05,0,1,"Eraser is $0.05, Pencil would be $1.05 but it was stated that pencil was $1 more so there must have been an error in the question as written",1,0.9,1,0.9,Banana is $.90,,I am very unsure. I do not think it is possible for the problem to exist as presented. There is an inconsistency which renders the question useless.,,I feel very confident since this one made mathematical sense,0.8,"Since it appears the majority did solve it mathematically, I will go with 80%",0.0005,"Given that no mathematical impossibility was created like before, I would guess 95%. People might be confused if they were thinking about splitting costs for the items rather than just paying the actual total prices. But even then, that error would lead to an answer that is only off by $0.05 so maybe that would still count as correct to some folks"
43,,2a,BM,1,0.45,1,0.45,Banana Costs $.45,1,0.1,1,0.1,Eraser Costs $.10,1,100% Confident,1,100% Confident,0.85,"I think that most people will answer correctly, so approximately 85% correct answers.",0.9,"I believe many people should answer correctly, so about 90%."
44,,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,0.5,50%,0.9,90%,0.3,30%,0.7,70%
45,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.95,95%
46,,1b,BM,1,0.45,1,0.45,Um...$0.45,1,0.1,1,0.1,I don't know... $0.10?,0.7,70%,0.95,95%,0.35,35%,0.8,80%
47,,1a,PE,1,0.05,0,0.1,The eraser costs $.05 and the pencil costs $.105 (but since we can't have .05 cents I would round up to .10 cents),1,0.9,1,0.9,$.90,0.42,42%,0.85,85%,0.75,75%,0.93,93%
48,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,0.95,95,0.8,80,0.75,75
49,,1a,PE,0,0.1,0,0.1,.10,1,0.9,1,0.9,$0.90,0.9,90%,0.75,75%,0.5,50%,0.65,65%
50,,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,0.9,"Definitely, so around 90% or higher.",0.85,"I'm pretty sure, say around 85%",0.5,"That one is less straightforward...I will estimate that maybe around half can answer it, so approximately 50%.",0.7,"Probably about 65-75%, but most would likely be closer to 70%."
51,,2a,BM,0,2,0,2.9,"I think it would be easy just to add them together, but they asked for one first so let me try to think about that part first. Let me see, the difference between their values is $2. That must mean that if you subtract $2 from the price of the magazine then the banana costs the same amount as the magazine. If we add this back in later then the value of the magazine plus the banana should total $2.90 because the original statement said that a magazine and banana together cost that much. Now I think the magazine is worth $2 and therefore the banana must be worth ninety cents, which totals to two dollars and ninety cents, and now I am fairly confident that my answer is correct because when I subtract $1.80 from the combined sum of $2.90 I get the exact difference of one dollar. So yeah I'm pretty sure the banana costs ninety cents and the magazine costs",0,1.1,0,1.1,"Wait, hold on... Ummm... Oh wait, no... Okay, okay, hang on one second. Okay yeah I see the trick now because in my last answer I added them up first before subtracting and that isn't necessary. Here, let me try again by subtracting first. So, if the pencil is a dollar then the eraser must be worth ten cents which would equal $1.10 when you add them together, yes I am positive about this! I think most people would realize their mistake from the last time around and get it right this time, but just to make sure, I will check my work once more before submitting my final answer.",0.9,"I feel really sure of myself on this question actually! It feels like I made all these logical connections based on the information given and I checked it twice, so I would give myself at least a 90% chance of being right!",0.9,"Yes, I am very certain of myself on this question as well. Even though the values were different than the first one I still made all those same logical connections based on the information given and double-checked everything. Therefore, I give myself another 90% chance of being correct here!",0.85,"Well, considering the simplicity of the math involved I would hope that most people got it right... I guess maybe like 75% or even more probably did well on this question. Maybe 85%. I know some people can struggle with word problems though, especially if they don't enjoy doing math so maybe less than that for them, but still overall I think this was an easy problem for many people to solve.",0.6,"Well, since I was able to solve it relatively quickly I assume many others can do so too, especially since the math involved was even simpler than before. However, due to some possible confusion from the previous question's wording I think maybe only around 60% or so may have gotten it right. But I could also see other people solving it just like me by realizing their earlier mistake and thus getting it correct here, which would bring up that number significantly, perhaps even higher than before!"
52,,1a,PE,0,0.1,0,0.1,The eraser costs $.10,1,0.9,1,0.9,$.90,1,100%,1,100%,1,I think everyone who solved the previous question got it correct so 100%.,1,"Again, I'm going to assume most people get it right which is 100%."
53,,1b,BM,1,0.45,1,0.45,Huh... Let me just work out the algebra real quick here. [Participant solves the problem.] Okay. So the banana costs $0.45.,1,0.1,1,0.1,"$.10, or ten cents.",0.85,"I'd say I was about 85% sure on this one; I might be off by a penny or two, but I feel pretty good.",1,I'm 100% positive that's the right answer.,0.3,"Eh... maybe like 30% of people, tops. I know this type of thing is really common in these sorts of tests.",-0.75,"Maybe around 50-75%. It's a classic trick question, but I think a lot of people have heard it before so they won't fall for that one."
54,,2b,PE,1,0.05,0,1.1,"$0.05 (Given the phrasing of the second sentence, ""the pencil costs $1 more than the eraser"" I decided to work backwards from the total given, so instead I added $1 and $0.05 which total $1.05 and therefore, if true, contradicts the original statement of ""$1.10."")",1,0.9,1,0.9,"$0.90 (The answer seems straightforward enough, I do not believe I am being tricked into a more complicated situation.)",0.7,"70%, although mathematically straightforward I still can't account for any hidden variables that may influence the answer.",0.75,"75%, while I know that this question was easy, I can not be absolutely certain of my answer as there may be hidden information that would alter my calculation.",0.4,40% (The wording on this question seems confusing at best and I worry some participants will fall into the trap of viewing the cost as one unit rather than two separate entities.),0.6,"60% (I imagine some participants will jump at the initial solution rather than critically assessing it, or perhaps they could be unfamiliar with simple mathematics.)"
55,,2a,BM,1,0.45,1,0.45,$.45 cents,1,0.1,1,0.1,$0.10,1,100%,1,100%,0.8,80%,0.6,60%
56,,2a,BM,0,50,0,50,50 cents,0,,0,,Ten cents,1,I am 100% certain that my answer is correct,1,"Again, I am 100% positive of the solution.",0.8,I believe that at least 80% of people answered this problem correctly.,0.8,"As before, at least 80%."
57,,2b,PE,0,1,1,0.05,"Okay so, if the pencil costs $1 more than the eraser, let's say the eraser costs X. That means the pencil would cost X+1. Added together these equal $1.10, which means X=$.05. So the eraser costs five cents and the pencil costs sixty-five cents. This time there was extra information, but the basic idea is the same.",1,0.9,1,0.9,The banana costs $.90.  It's not a trick question.  If the magazine is $2 and they cost $2.90 then the banana must cost $.90.,1,Once again I am 100% certain about my answer. It makes sense logically.,0.009,I am 100% sure that the banana costs $.90.,0.6,"Hmm... maybe around 60%. There was an additional step involved with this one so I can imagine some people might get confused by that. However, if they followed the steps carefully they should still arrive at the correct answer.",0.8,"Since this is a pretty simple arithmetic problem, I think that probably around 80% of people answered it correctly.  Perhaps some people got confused if they weren't paying close attention, but overall it seems like something most adults could solve without too much difficulty."
58,,1a,PE,1,0.05,1,0.05,"$.05, because if the eraser costs .05 then the pencil would cost 1.05 and that's a dollar more than .05.",1,0.9,1,0.9,$.90 cents,0.9,90%.  I'm pretty sure it's right.,0.02,"100%, because if the magazine is $2 dollars then it's simple subtraction.",0.008,I don't know...80% or something.,-0.9,Like 80-90% maybe.
59,,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.95,95%
60,,1a,PE,0,0.1,0,0.1,.10,1,90,1,90,90 cents,0.5,50%,0.9,90%,0.99,99%,0.75,75%
61,,1b,BM,1,0.45,0,2.9,$0.45 ($0.95 + $1.45 = $2.40; then subtracting the $0.30 that exceeded the requested amount of $2.90),1,0.1,1,0.1,$0.10 (the difference between what was paid for the set and what the pencil cost).,0.95,"95%, as I did all the arithmetic right away.",0.011,"95%. I think about it this way: if you know how much more than $1 the eraser costs, you can work out that the total must be $1.10.",0.6,"This time around it could be less, perhaps 60%, but I hope that most will answer it right anyway.",0.7,"I think at least half would solve it correctly, so let’s say 70%."
62,,2b,PE,0,0.1,0,0.1,"This seems like there should be only one correct solution, right? Let me think about it again for a second...The eraser can only be ten cents. So, my new answer is $0.10, even though I still kind of feel like I've been tricked.",1,0.9,1,0.9,$0.90,0.6,Definitely less confident now. Maybe somewhere around a 60%? I guess this just means that I don't trust myself to avoid making math mistakes.,0.85,"I'm pretty sure about that answer, maybe around an 85%.",0.4,"At least 25%. And, if they got it wrong, then they probably made a mistake on paper or in their head, rather than simply misinterpreting the question. There really only IS one right way to solve this one. So maybe I'm being overly critical and will raise that percentage to something like 40%.",0.9,"Probably above 70%, but certainly below 90%"
63,,2a,BM,1,0.45,1,0.45,$.45 (entered in .45),1,0.1,1,0.1,$.10 (entered in .10),0.9,90%,0.9,90%,0.67,67%,0.33,33%
64,,2b,PE,0,1,0,0.5,"Ok, if the pencil costs $1 more than the eraser, then the eraser costs 1 - 1.10 = -.10, so the pencil would be $1 + -.10 = .90 cents. This doesn't make sense because things can't cost negative amounts! This is probably a trick question. The first one was easy because adding up numbers is simple. This seems different because it requires subtracting instead of adding and making an adjustment for negatives. Anyway, if I were to answer, I would say that they didn't give me enough information to solve the problem, or maybe say that the eraser is free or something like that. It could also be $0.50 for both. Ugh, this one has got my mind reeling.",1,0.9,1,0.9,$.90,0.75,"Well, since I said what the correct answer should be, even though the question didn't allow that, I guess I am pretty sure about this response. Maybe 75%.",0.009,I'm totally sure it's .90.,0.4,"Hmm... Not many people I think because it involves dealing with negative values which most people don't like. So, maybe just 40%.",0.65,Hmm... I think around 65% since most people can add decimals
65,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.5,50,0.5,50
66,,2a,BM,0,0.4,0,0,.40 cents ($.00),1,0.1,1,0.1,$.10,0.85,85%,1,100%,0.3,30%,0.65,65%
67,,1a,PE,1,0.05,1,0.05,"$.05, since it costs less by a dollar.",1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,I think most will answer right so 80%.,0.7,It seems simple so probably like 70%.
68,,2b,PE,0,10,0,10,Ah! This one seems tricky. Let me think... I guess the eraser would be 10 cents? Yeah.,1,0.9,1,0.9,$0.90,0.8,"Maybe 80%, as there is something strange about this question but it feels correct somehow.",0.75,"I am pretty sure, say like 75%",-0.5,"I have no idea; probably 30-50%, as many may not see through the hidden details here.",0.9,Maybe around 90%.  Some might still make calculation mistakes.
69,,1a,PE,1,0.05,0,0.5,$.05 (.5 cents),1,0.9,1,90,"$.90 (90 cents). If my calculations are correct, then the math works out with no change in tax rates or prices when selling them alone versus together.",0.5,"50% (very little confidence). I am never quite sure if there are any other factors influencing the price, such as taxes or fees for buying one at time.",0.8,80%. This question seems straightforward because it only asks for an object’s cost without mentioning additional charges that might affect the answer.,0.6,60%,0.75,75%
70,,1a,PE,0,0.1,0,0.1,.10,1,90,1,90,90,1,100,1,100,0.45,45,0.85,85
71,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,1,100%,0.75,75%,0.95,95%
72,,2a,BM,1,0.45,0,2.9,"$0.45 for the banana, $2.45 for the Magazine, since 2.45 + .45 = $2.90 (Magazine price minus Banana Price)",1,0.1,0,1.1,"$.10 cents, because $1 (pencil) + $.10 (eraser) = $1.10",1,100%,1,100%,0.75,75%,0.85,85%
73,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%. I know for sure that my answer is correct.,1,"100%. My answer is obvious and self-explanatory, isn't it?",0.8,80% or above. It's quite a basic problem and only those who aren't good at math may struggle with it.,0.95,95%. This one is also pretty straightforward and most people should have no problems solving it.
74,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70%,1,100%,0.3,30%,0.9,90%
75,,2b,PE,0,1.05,0,1.05,The Eraser Would Cost Five Cents And The Pencil Would Cost $1.05.,1,0.9,1,0.9,The Banana would cost .90 cents.,0.8,I Am 80 % Confident In My Response.,1,I am 100 % Confident In My Response.,0.75,I Believe That About 75 % Of The People Answering This Question Will Get It Wrong.,0.5,I Believe That 50 % Of People Have Solved This Problem Correctly So Far.
76,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.85,85,1,100,0.3,30,0.75,75
77,,1b,BM,0,30,0,30,30 cents,1,10,1,10,10 cents,0.9,90%,0.85,85%,0.45,45%,0.75,75%
78,,2a,BM,1,0.45,1,0.45,0.45 (price of banana),0,1,1,0.1,"Eraser doesn't cost anything because the pencil costs $1 (and that $1 already covers both items, pencil + eraser) so we have to subtract the price of the pencil from the total. Thus, $1.10 - $1 = $0.10, which means the eraser only costs ten cents. I believe that is what the question tries to ask.",0.99,99% (confident).,0.9,"90%, assuming others might calculate differently when thinking about costs as a single value instead of a total amount that splits into different products (in this case, an eraser).",0.5,"50%, assuming they followed instructions and think outside the box.",0.3,30%. They may add values instead of deducting them.
79,,1a,PE,0,1.05,1,0.05,The pencil costs $1.05 and the eraser costs $0.05.,1,0.9,1,0.9,The banana costs $0.90.,1,100%,0.95,95%,0.9,90%,,I have no idea. It depends on their intelligence and background.
80,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,1,100%,0.5,50%,0.85,85%
81,,1a,PE,1,0.05,0,1.05,"Eraser: \$0.05, Pencil: \$1.05",1,0.9,1,0.9,Banana: $\$.90,1,100%,1,100%,0.3,30%,0.6,60%
82,,2a,BM,0,10,0,10,10 cents,1,10,1,10,10 cents,0.85,85%,0.95,95%,0.75,75%,0.75,75%
83,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.85,85%,0.5,50%,0.6,60%
