Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
16,,2a,BM,1,0.45,1,45,$0.45 (The banana costs 45 cents),0,,0,,"Eraser is free (No one said that, I just thought it could be possible).",1,100 (I am totally sure in my previous response),0.7,"70 (I’m pretty sure about my answer, but something seems off)",0.65,65 (I think about two thirds of people would solve the problem correctly),0.02,"35 (I don’t think most people got it right; I feel like they’d say 2 cents or some nonsense for eraser, but even if that were true, at least there is a positive amount)"
17,,2b,PE,1,0.05,0,1.05,"Eraser: $0.05, Pencil: $1.05",1,0.9,1,0.9,$0.90,0.5,50%,0.8,80%,0.3,30%,0.5,50%
18,,1b,BM,0,1,0,1,1 (one dollar),1,0.1,1,0.1,.10 (Ten cents),0.98,98,0.95,95,0.67,67,0.85,85
19,,1a,PE,0,10,0,1.1,"Eraser costs 10 cents. The pencil, costing a dollar more, then costs $1.10.",1,90,1,90,Banana costs 90 cents.,0.9,I am about 90% sure.,0.8,About 80% confident.,0.011,50%. It seems many may incorrectly think that both items together cost a total of $1.10 instead of each one being priced separately.,0.7,"Maybe around 70%. Seems simple enough to me, but who knows? People tend to get confused by these types of questions sometimes."
20,,2b,PE,1,0.05,1,0.05,The eraser costs $0.05.,1,0.9,1,0.9,The banana costs $0.90.,1,100,1,100,0.7,70,0.65,65
21,,1b,BM,1,45,0,2.45,45 cents for the banana; $2.45 for the magazine.,1,10,1,10,10 cents.,0.9,90%.,0.95,95%.,0.8,80%.,0.95,95%.
22,,2b,PE,1,0.05,1,0.05,"The Eraser Costs $0.05. If the Pencil costs one dollar more than the Eraser, then the Eraser must cost five cents in order for them to add up to eleven cents.",1,0.9,1,0.9,"The Banana costs $.90 because if the Magazine cost $2.00, then $0.90 must be remaining for the banana.",0.9,90%. This is almost a no-brainer because all you have to do is plug numbers into an equation until you find out which works out.,0.85,"85% I'm very sure, but just a little unsure about whether this was the way that they were going to word it or not.",0.0005,"I would hope 95%. I mean, it's pretty easy once you understand the concept behind the phrasing. However, some people might get caught up in the wording and respond with answers like $.95 or something instead of .05.",0.6,"60% Maybe more, maybe less. It really depends on how the question is interpreted, so there may be some room for error."
23,,1a,PE,0,0.1,0,1.1,$.10 because that way both together would cost $1.10 and the pencil could cost one dollar more without affecting the overall price.,1,0.9,1,0.9,"$.90 cents, because that's what's left over when subtracting the value of the magazine from the total cost.",0.95,I am 95% percent confident in my answer.,1,I am 100% confident in my answer.,0.6,"60%, but I feel like many don’t put enough thought into it.",0.7,"I think about 70% would solve this correctly, especially if they got the previous one wrong."
24,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90,1,100,0.7,70,0.6,60
25,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,0.8,80%,0.75,75%,0.4,40%,0.6,60%
26,,1b,BM,0,2.7,0,30,Ah... The magazine then costs $2.70 and the banana must then cost 30 cents. It's only logical.,0,,0,,"Ten cents, since that's all that would be left after the purchase of a one dollar pencil.",0.95,95%.  Seems obvious!,0.85,85%,0.65,Hmmm... Guessing that 65% would be right with this one.,0.45,I guess about half of those taking the test could get it correct. So around 45%.
27,,2b,PE,0,1,0,0.1,If the pencil is $1 more expensive then the eraser must be $.10 since they total to $1.10. So the eraser cost $.10 cents.,1,0.9,1,0.9,$0.90,0.8,"Once again, my confidence level for this answer is high, probably around 80%.",0.85,"I am very confident about this answer, so maybe about an 85%.",0.5,"Since there are a lot more people who get it wrong when given both answers at the same time rather than giving the individual math problems to them separately, I think that the percentage of right answers would be less, maybe only 40% to 50%.",0.65,I believe that about 65% or so will answer the question correctly.
28,,1b,BM,1,45,0,2.9,"45 cents; if I add that to $2 for the magazine, the total will be $2.45, which leaves $.45 cents needed to make up $2.90",1,10,1,10,"10 cents, because the difference in cost between them would be the price of the eraser",0.8,80,0.75,75,0.3,30,0.65,65
29,,2a,BM,1,0.45,0,2.45,"Banana cost $.45 cents, Magazine cost $2.45. (Calculating by subtracting $.45 from $2.90 to get $2.45.)",1,0.1,1,0.1,Eraser cost $.10.,0.75,75%. (Perhaps lower given my mistake?),1,100%,0.45,45%. (I might estimate higher now since I realize most probably solved it incorrectly but I don't want to be overly positive.),0.8,80%.
30,,1a,PE,1,5,0,1,5 cents (the eraser costs .05 dollars while the pencil costs 1 dollar),1,90,1,90,90 cents,0.8,80%,0.99,99%,0.2,20%,0.7,70%
31,,1a,PE,0,0.1,0,0.1,"Eraser cost $.10 (Because, if Pencil = .10 + eraser, then pencil is .10 more than eraser)",1,0.9,1,0.9,Banana cost $.90,0.95,95%,1,100%,0.35,35%,0.75,75%
32,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,1,100,0.8,80%,0.9,90%
33,,2a,BM,0,0.85,0,0.85,.85c,1,0.1,1,0.1,0.10c,0.9,90%,0.7,70%,0.5,50%,0.8,80%
34,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.5,50%,1,100%,0.6,60%,0.5,50%
35,,1b,BM,0,,0,,"Um, the mag is two dollars more than the banana so it’s four and the banana must be ninety cents.",0,,0,,Ten cents. I think that was a trick question!,,Seventy percent. I hope I got that one right...,1,100%. I am absolutely positive!,,"Oh, maybe fifty or sixty. It wasn't easy because I had to add those numbers together in my head.",0.9,"80% to 90%, I'd guess. People just don't think about this kind of question properly."
36,,2a,BM,0,0.5,0,70,"0.50 cents, or 70 pence if that is a more familiar form of currency in your region. (Around here [England], we mostly use pounds, but I'm assuming that the dollar price given implies that it will be somewhere less developed.)",1,10,0,6,"It seems rather obvious, but the eraser still costs 10 cents (or 6 pence), as indicated in the first scenario's solution.",0.8,"Around 80%, as although I believe my answer to be correct, there may be some factors that can alter it; for example, sales tax, which, if present, would slightly affect my answer.",0.99,Around 99%.,1,"At least 50%, based on other answers and an estimate of math proficiency, combined with an assumption that those who read ""percentage"" as meaning ""amount as decimal/fraction"", i.e. without any multiplication by 100 required, might have got a different value entirely (assuming the question asks about decimal or fraction values).",0.9,"Over 90%, for similar reasons stated before, with a slight reduction due to assumptions made when reading the question and minor errors which could arise; however, I believe most will get this right."
37,,1a,PE,1,0.05,0,0.1,"Eraser is $.05, Pencil would be $.10",1,0.9,1,0.9,Banana costs $.90,0.8,80%,1,100%,0.6,60%,0.9,90%
38,,2b,PE,1,0.05,0,1.05,The eraser costs $.05 and the pencil costs $1.05.,1,0.9,1,0.9,"$.90 cents (the price of the banana includes the comma, so it's read correctly).",0.6,"60%. I did my calculations using algebraic functions because I find them easier to solve than word problems; however, I'm aware that sometimes, word problems can lead to incorrect conclusions with algebra if you're not careful about how you set things up. It seems right, though...",0.85,85%,0.7,70%.  This one is harder and requires algebraic skills so some will struggle to get it.,1,"95% (I would have said 100%, but that was an option, and I don't want to seem too cocky!)"
39,,1b,BM,0,2,0,0.9,"The same as before; something's wrong with this question too. If the magazine costs $2 more then the banana should cost less than $0.90. That's my best guess, but I don't think it's possible to make an accurate assessment without further information.",0,,0,,"It seems like there would be an issue because a dollar can't buy both, so I assume that something about the problem is incorrect or incomplete.",0.75,75%,0.5,50%,0.25,"Probably around the same percentage as the last problem, 25%. It seems like the problems are deliberately designed to be confusing and misleading, so even if people can see through it they might still end up getting them incorrect.",0.25,25%
40,,1b,BM,0,0.4,0,0.4,0.40,1,0.1,1,0.1,0.10,0.99,99,0.99,99,0.6,60,0.75,75
41,,2b,PE,1,0.05,0,0.1,"Eraser costs $.05, Pencil costs $.10",1,0.9,1,0.9,0.90,0.8,80,1,100,0.4,40,0.85,85
42,,1a,PE,1,0.05,0,1.05,Eraser costs $.05 and Pencil Costs $1.05,1,0.9,1,0.9,Banana costs $.90,1,"I am totally sure, 100%",1,"I am totally sure, 100%",0.7,I think 70% or so of people will solve it right.,0.9,At least 90%. I think this is very straightforward question.
43,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85,0.95,95,0.3,30,0.5,50
44,,2a,BM,0,0.75,0,2.15,Bananas cost $0.75 and a magazine costs $2.15,0,1,0,100,"This time, however, we are told explicitly that the pencil costs $1. That means the eraser must be the remaining amount which is $0.10. Confidence level = 100%.",0.9,"I am 100% positive that this problem has no solution as stated because one variable can’t be determined unless we know something else like tax rates, magazine titles or brand names etc.. In other words, the answer could change depending on those variables which weren’t given so I can only guess based upon average prices. However, if we assume an average price for both items then my previous answer would stand but since no such information was provided, I cannot provide an exact figure with absolute certainty. So, I would say I am about 90% confident in my response given the assumptions made above.",1,"As explained earlier, I am absolutely certain that the eraser costs $0.10 because all necessary information was provided in the question. Therefore, my confidence level is 100%.",-0.7,"Based on the fact that most people will probably solve for X without considering any external factors, I would estimate that around 50% of responders might get it right by chance alone. But again, that depends on their interpretation of the question and whether they consider additional variables beyond just simple algebraic substitution. Therefore, I think somewhere between 30-70% is more likely.",-0.98,"Given that this problem is straightforward and requires only basic addition, I would expect over 90% of responders to get it right. Perhaps even as high as 95-98%."
45,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.90,0.8,80,1,100,0.43,43,0.67,67
46,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.6,60%,0.9,90%
47,,1a,PE,0,0.5,0,1.1,I would guess .5 cents and the pencil at a dollar fifty cents for it to total up to $1.10,0,,0,,That's easy. It costs ninety cents,0.5,50%,0.9,90%,0.67,67%,0.83,83%
48,,2b,PE,1,0.05,0,1.05,Eraser costs $0.05; Pencil costs $1.05,1,0.9,1,0.9,0.90,1,100%,1,100%,0.4,40%,1,100%
49,,1a,PE,0,0.1,0,0.1,".10 (this was one of two answer choices for this question; there were two possible correct answers, depending upon interpretation)",1,90,1,90,"This time, I won’t get fooled again…and so easily either.  90 cents would be my answer, given the previous question!",0.01,I’m very confident because it fits the bill of “the pencil costs $1 more than the eraser” perfectly!,0.5,50%.,0.1,"60%; actually, on second thought, only about 10% get it right!",0.8,80%.
50,,1b,BM,0,2,0,2.9,If a magazine costs $2 then a banana must be 10 cents with the total being $2.90,1,10,1,10,"10 cents because that's what I was taught in school to do when something says, 'together they cost...'",0.75,75%,0.85,85% confident,0.6,60%,0.3,30%
51,,2a,BM,0,0.9,0,0.9,.90 cents because if the magazine costs two dollars more then the magazine costs two dollars and the banana would be .90 cents.,1,10,1,10,10 cents because that's what was left after subtracting one dollar for the pencil,0.8,80 %,1,100 %,0.75,75 %,0.5,50%
52,,1a,PE,0,0.9,0,0.9,.90 cents,1,0.9,1,0.9,$.90 cents,,I am totally sure,,I am totally sure,0.85,"At least 85%, most people I know would solve it right",0.85,"Same as above, at least 85%"
53,,1b,BM,0,0.4,0,0.9,$.40 (you should have answered $.90),1,0.1,0,0.05,$.10 (You should have answered .05),0.9,90,0.5,50,0.5,50,0.7,70
54,,2b,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,1,100,0.85,85,0.45,45,0.75,75
55,,2a,BM,0,0.7,0,0.7,The Banana Costs $0.70,0,,0,,This question was already asked and answered earlier.,0.85,I am 85% Confident,,,0.7,I believe that 70% of people answered correctly.,,
56,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,1,100,0.6,60,0.7,70
57,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.95,95%
58,,1a,PE,0,,0,,Eraser is ten cents,1,90,1,90,Banana is 90 cents,0.9,"I'm pretty sure, maybe about 90 percent",1,I'm 100% certain about that one,0.1,"Most people I think would be around 50%, but I know it isn't correct so I think like 10%.",0.7,"Pretty much everyone should get it right unless they make an arithmetic mistake, so let’s say 70%."
59,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.85,85%,0.95,95%
60,,1a,PE,0,1,0,0.2,"The pencil costs $1 so the eraser must cost $.10, correct answer is $.10 not .20 as I first entered.",1,90,0,2.9,Magazine costs twice the price of banana therefore banana should be 90 cents to get 2.90 total.,0.95,95%,0.75,75%,0.6,"60%, because its hard to say if they understood or were just following directions.",0.85,85%. It's pretty straightforward.
61,,1b,BM,1,45,0,3.45,Banana costs 45 cents and Magazine costs $3.45.,1,10,1,10,10 cents.,0.85,85,0.95,95,0.5,50,0.7,70
62,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.90,0.8,80,1,100,0.25,25,0.5,50
63,,2a,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,0.75,75,0.8,80,0.8,80,0.65,65
64,,2b,PE,1,0.05,0,1.05,Eraser = $0.05 and Pencil = $1.05,1,0.9,1,0.9,$.90,0.6,"80%. Maybe more like 60%. I mean, it could be right but I feel like there has to be more too it..idk...maybe theres something i didnt think about...",1,100%,-0.4,"Hmm... I dunno. It's been awhile since middle school so maybe only like 30%-40%, idk.",0.02,"I'm gonna guess 50%. People have their own methods. Some might round up, some might add 90 cents together and subtract 2 dollars...I think most of them would get it though"
65,,1b,BM,1,0.45,1,0.45,The banana costs $.45.,1,0.1,1,0.1,$.10.,1,"I worked this one out for myself as well, so again I feel very secure at 100%.",1,"I am totally sure about this answer, so I will put 100%.",-0.8,"Again, this seems quite straight-forward to me, so my guess would be somewhere around 70-80% maybe.",0.8,"I believe that most people would know the price of the eraser is $0.10 so probably over 50%, maybe even close to 80% or more."
66,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,I'm 70 percent sure.,0.8,I'm about 80% sure,0.3,Around 30%,0.6,Maybe around 60%.
67,,1a,PE,0,0.9,0,0.9,.90 cents,1,0.9,1,0.9,.90 cents,0.8,80%,0.8,80%,0.75,75%,0.85,85%
68,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,The Banana cost $.90,1,I am 100% Confident.,1,I am 100% Confident.,0.99,"Again, I feel 99% of people would have gotten it correct.",0.99,I think 99% got this one right!
69,,1a,PE,0,0.1,0,1,"The eraser costs .10 cents, the pencil costs $1.00.",1,90,1,90,90 cents,1,100%,0.85,85%,0.9,"90% or higher, probably due to easy problem and many online forums discussing the problem",0.7,"I think around 70%, maybe lower depending on age"
70,,1a,PE,0,0.1,0,10,.10 cents or 10 cents,1,90,1,90,The banana costs 90 cents or 90 cents.,1,I am about 100% sure,0.029,"Again, I would say around 100%.  The original statement said that one item was ""a dollar more"" then another - when you rephrase as an addition problem ($2.00 + x = $2.90), it becomes easy.",1,At least 95% if not 100%.  It is a pretty straightforward question once you hear it posed that way.,0.7,"Let me see...the last time I did this sort of thing (involving price disparities), it took me awhile to solve them because of the language used.  My guess would be around 70%.  Not quite so clear cut as the previous problem."
71,,1b,BM,1,0.45,1,0.45,.45 cents,1,0.1,1,0.1,.10 cents,0.85,85,0.75,75,0.8,80,0.75,75
72,,2a,BM,0,0.9,0,0.9,0.90 cents (they didn't ask me if it was dollars or cents),1,10,1,10,"10 cents (again they didn't specify dollars or cents, I assumed dollars).",0.68,68%,0.83,83%,0.7,70%,0.75,75%
73,,2a,BM,0,0.9,0,2,Banana = .90 / Magazine = 2,1,0.1,1,0.1,Eraser = .10,1,I am 100% sure that my answer is correct.,1,"Again, 100%.  That's easy - a dime.",0.65,"65%.  It's something most adults learn when they study economics.  Also, this is just basic subtraction.",0.65,"Same as before, probably 65%, because again it is just addition."
74,,1b,BM,0,2.9,0,1.9,"Bananas are usually under a dollar, right? So if the mag is two dollars more than the banana then the mag must be around three or four dollars, which adds up to almost three dollars...wait, no, let me see...the mag is 2.90-banana so...so if the mag was one dollar then the banana would be 1.90! But that's not right because the mag has to cost more than the banana by at least a dollar. Oh, I get it now! It should have been the other way around...one dollar for the banana and two dollars for the mag!",0,,0,,It would be ten cents for the eraser because that's what you have left over from paying a dollar.,1,"Yeah, I got this one.  100%",0.9,I am pretty certain.  90%.,0.85,"Well, some folks might get thrown off like I did, but still, I think most people will figure out the trick here.  Let's say 85%.",0.75,"I feel like if I get it right then maybe most other people will too, but I don't know about everyone so I'll say 75%."
75,,2b,PE,0,0.1,0,0.1,The eraser costs .10,1,90,1,90,90 cents,0.7,70,0.85,85,0.25,25,0.45,45
76,,2b,PE,1,0.05,1,0.05,"$.05, since the eraser only needs to be enough to make up $0.05 difference.",1,0.9,1,0.9,"$0.90, because if the magazine costs $2 then there's only $.90 left for the banana.",1,100% confident,1,100% confident,0.9,"At least 90%, I assume.",0.95,"I think 95% answered correctly, because it was quite straight forward."
77,,1b,BM,0,2,0,2.9,"Magazine is $2, banana is 90 cents.  2+0.9=2.90",1,0.1,1,0.1,".10cents (or a tenth, same as it was written)",,"I am very sure...almost positive, that answer is right",0.85,I'm 85 percent sure,0.02,"Less then the previous question.. maybe like 60 or less, it might be easy for those who paid attention in school but i dont think most would have realized that part about 2$",0.75,Around 75 or so.  It seems pretty straight forward
78,,2a,BM,0,90,0,90,90 cents.,1,10,1,10,10 cents,0.75,I'm pretty confident.  75%.,0.95,Very certain!   95%.,0.95,About 95% percent.,1,"100%, but there may be a few who got lucky with guesswork."
79,,1a,PE,0,10,0,1,"Eraser costs 10 cents, Pencil costs 1 dollar 10 cents - 10 cents = 1 dollar.",1,90,1,90,Banana costs 90 cents,0.99,99%. I calculated it so it must be correct unless there was some trick in it.,1,100%,-0.75,"50-75%. But if they really think about it, even if it takes a minute or two, then almost everybody could do it.",0.01,>99%. This time around all elements are positive numbers with no subtractions. It's impossible for them to get confused by subtracting 2 dollars from 1 dollar.
80,,1b,BM,1,45,0,3.45,Banana costs 45 cents. Magazine costs $3.45,1,10,1,10,"10 cents. It's free in this question, as it only asks for the cost of the pencil first (even though there could be other valid answers)",1,"100%, although that depends on whether or not it is possible to get another solution if some information wasn't included or was misrepresented, but with what has been presented, my answer is correct.",1,100%,0.8,"Most, so probably above 80%",0.75,Probably more than half. I wouldn't say less than 75%.
81,,1a,PE,1,5,1,0.05,"5 cents. Pencil=$1+$0.05=$.10, Eraser=$1-$.10=$.05",1,90,1,0.9,90 cents. Banana=2.90-2=0.90,0.96,96%. I did calculations.,1,100% because I used subtraction again like first question.,0.6,60%? It is known to be hard but not too uncommon that people solve it.,0.95,"Maybe 95%, people may think pencil and eraser prices must have an even gap when actually there was no such hint."
82,,2a,BM,0,0.9,0,0.9,.90 cents,1,10,1,10,10 cents,1,100%,0.8,80%,0.5,50%,0.7,70%
83,,2b,PE,1,0.05,0,1.05,Eraser ($0.05) Pencil ($1.05),1,0.9,1,0.9,$0.90 (This is correct),1,100 (This answer is incorrect),1,100,0.67,67 (Less than half answered correctly),0.95,"85 (This is close, but it was answered correctly by more than 95 percent of participants.)"
84,,1a,PE,0,0.1,0,0.1,".10 cents, if a dime = .10cents",1,90,1,90,90 cents; simple subtraction,1,"100%, I used my trustworthy calculator on this one!",1,"100%, I've done many similar math problems before so I don't doubt myself this time",0.5,50%. Most people will forget that you have to add the price of the eraser AND the pencil together.,-0.012,"80%. Bananas usually cost between .49cents - $1.39 and since we know that the magazine is $2, it narrows down our guessing to only around $1.00-1.20, and most will get it correct because they can assume it is closest to a dollar and some may be lucky enough to have remembered the prices of bananas earlier."
85,,1b,BM,1,45,0,0.73,"The banana costs 45 cents ($0.45) because if the banana cost X dollars then the magazine would be worth 3X and adding those values together equals $2.90.  To find out X, we just need to solve the equation where X + 3X = 2.90 (or 4X = 2.90) and divide by 4.   This leaves us with X = .73 which is then rounded down because pennies don’t exist in our society.",1,0.1,1,0.1,The eraser costs ten cents ($0.10) because the original question asked for how much more than one dollar was needed for both items.,0.98,98%,0.95,95%,0.35,35%. Most people can’t subtract or understand basic arithmetic as demonstrated in the previous question.,0.65,65%
86,,2b,PE,0,0.1,0,0.1,Eraser cost $.10,1,0.9,1,0.9,.90 cents,1,100%,1,100%,-0.9,"80-90%, many get confused between addition and subtraction",1,"I am not certain of others' answers, but since it appears straightforward, maybe close to 100%."
87,,2a,BM,1,0.45,1,0.45,"$.45, because I set up the equation as follows (banana=x). Magazine is 2 dollars more so it must be x+2. Adding the two equations gives me x=$.45 or a banana costing this amount.",1,0.1,1,0.1,"This question confuses me because the first one was about differences while this one is a change problem, so I'll say $.10 because I set up the equation as pencil price + eraser price = total cost; therefore, solving for the unknown eraser price yields .10 cents.",0.95,"95%, mostly due to my mental math being somewhat faulty at times.",0.75,"75%, again due to mental math.",0.5,"50%, based on research that only about half of students taking college algebra get the right answers.",0.65,"I would estimate 65%. Again, my experience teaching algebra leads me to believe most people cannot handle problems where variables are unknown."
88,,2a,BM,0,10,0,10,10 cents,1,10,1,10,10 cents,0.8,80 percent,1,100 percent,0.5,50 percent,0.6,60 percent
89,,1b,BM,0,2,0,2.9,"It seems to me like it is easier to solve the equation by doing algebra with it rather than just guessing...It says ""The magazine cost $2 more than the banana,"" so I can subtract one number from the other in order to determine what the difference is between them, which would be $2. I am not able to find out exactly the price of either of these items, however, because they have told us nothing about their relationship. But the difference between them is indeed $2...If the total value of the combination is $2.90 and you know the price difference between the two objects, you should be able to figure out the price of one item, but then again you don't know which one it is. I really don't feel comfortable answering this question without more information provided to me.",0,,0,,"ten cents because the difference between the two would be the price of an eraser, or a dime.",,In my ability to understand the question? Very high...But in my ability to answer it correctly without some other piece of information that helps clarify how these numbers relate to one another? Zero.,0.95,"I'm fairly certain about this answer, but I also want to make sure that there isn't any trick question here...So I would say maybe 95%.",,Maybe ten percent at most; perhaps even five or lower.,-0.7,"Maybe 65-70%.  There are those that think outside the box and go for another solution that might be wrong, and then those who do get it correct."
90,,2b,PE,0,0.5,0,0.5,$.5 cents,1,0.9,1,0.9,$.90 cents,0.95,95%,0.9,90%,0.7,70%,0.85,85%
91,,1a,PE,0,0.9,0,90,".90 cents or 90 cents (there were a couple attempts here, not sure why)",1,90,1,0.9,90 cents or .90 cents,1,100%,1,100%,0.95,"95%, though he did write ""I'd like to believe"" prior to his answer.",0.96,"96%, but once again with an admission that it is just a hope."
92,,1b,BM,0,2,0,80,"This is where my confidence level drops a little. I believe the magazine would cost $2 and therefore the banana must be 90 cents because $2 + 90cents equals 2.90 dollars. But something feels wrong here... I can’t say for certain, so let me give myself 80%.",0,1,0,1,Ten cents because the pencil already cost $1 which makes up the dollar eleven part of the price.,0.6,"I am pretty unsure with only around 60% because something feels strange here as if I have made an error, but I can't figure out what could possibly be wrong with my answer.",0.9,"I am pretty certain that I answered this right, but as my grade for mathematics has been declining rapidly in the past year, there could be a possibility that I have made an error. So, maybe something like 90% confident.",0.25,"Hmmm. Here my estimation drops quite a bit. Maybe 25% solve it right and the rest just says ""I don't know"".",0.75,"If they had just one chance at the question without being told anything about what type of questions follow, then I think the majority of people will solve it correct. Maybe something like 75% will solve it correctly or more, although that seems a bit optimistic..."
93,,1a,PE,0,0.1,0,0.1,.10,1,90,1,90,90,0.8,80,0.7,70,0.5,50,0.6,60
