Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
59,,1b,BM,0,2,0,50,"Fifty cents. Let X equal the price of the banana. According to the question, a banana plus a magazine will cost you 2 dollars more than a banana on its own. This means that the price of the magazine can be written as X+2. Adding these values together gives 3X+2=2.90; solving this equation for X yields 3/10 minus 2, which is exactly what I entered originally (50 cents). It's easier than it seems at first glance!",0,110,1,10,"Ten cents. The question says a pencil plus an eraser costs 110 cents, which means 1 dollar for the pencil leaves 10 cents for the eraser. I suppose that if they really did mean “how much MORE does the eraser cost,” then it would be 10 cents more than free. But the wording clearly states ""how much does the eraser cost,"" so my answer stands.",1,100%,0.95,95%,0.4,"Maybe 40%. That one might have been tougher for some because it’s slightly less intuitive compared to the pencil/eraser problem. But once again, when you think about it mathematically, it becomes easy enough to solve.",0.011,"70%. It’s pretty straightforward when you think about it. Of course, some people might be tempted to add or subtract rather than multiplying by zero. If I were allowed to reword the original question, perhaps I could make it less misleading. Maybe something like “A certain brand of ballpoint pen and a new refill together cost $1.10. How much does one refill cost?“ Then I bet most people would say ten cents, because the price discrepancy between pen and refill wouldn’t enter their minds. But the way it’s worded currently is just too prone for mental error."
60,,1a,PE,0,0.1,0,1.1,"Eraser cost $0.10, pencil cost $1.00, total equals $1.10.",1,0.9,0,2.9,"Banana cost $0.90, Magazine cost $2.00, Total equals $2.90.",1,100%,1,100%.,0.95,95% or higher because most people will figure that out quickly,0.0045,I would say between 70% and 80%. Many may automatically assume each item has an even split and think banana is only $0.45 when it should be more than double that price.
61,,1b,BM,1,0.45,1,0.45,"$0.45, if the magazine is $2 more than the banana, that would make the price of the magazine $2.45 and the total $2.90, which means the banana has to be $0.45.",1,0.1,1,0.1,"$.10, I know this because the pencil already costs a dollar and then it says that the two things together cost $1.10 so that leaves $.10 for the eraser.",0.87,"87%, I got the right answer after thinking about the problem, but it didn't feel as clear cut as the first problem so I am slightly less confident in my ability to solve this one correctly.",0.95,95%,0.6,"60%, since there was no straightforward method given for solving this problem many may have had difficulty finding the correct solution and gotten it wrong by guessing or getting caught up in a misconception.",0.85,"85%, although some may have just guessed based on their gut feeling and were still correct."
62,,2b,PE,1,0.05,0,1.05,Eraser = $.05; Pencil = $1.05,1,0.9,1,0.9,$.90,0.8,I am 80% sure because it has been many years since I did such problems so some doubts do creep up!,1,I am 100% sure about my answer!,0.75,"Maybe 75%, unless they had studied or done these type of questions recently.",0.95,Probably 95%.
63,,2a,BM,1,0.45,1,0.45,"$.45 (This answer comes from solving: x + (x+$2) = $2.90, so that $2x + $2 = $2.90, and thus $2x = $0.90, so that x = $.45)",1,0.1,0,1.1,$.10 (This answer is just a matter of subtracting $1.00 from $1.10.),0.76,"76% (This answer reflects some uncertainty about the solution, as there could be another answer, but I can't think of one)",0.99,"99% (There is very little doubt about this answer, since all that's required is simple arithmetic)",0.76,76% (This answer assumes others will also find the correct solution to this problem and solve it with a similar degree of confidence),0.98,"98% (Since most adults can add two numbers and then subtract one from the other, I believe nearly everyone will solve it correctly, with only an occasional error made by those who have been drinking heavily or who otherwise may not be thinking clearly)"
64,,2b,PE,1,5,1,5,"If you write down an equation based on the information provided, the eraser will be priced at 5 cents. But if you calculate it in reverse, it might seem like it's going to be more expensive but after all calculations, the eraser is also worth only 5 cents",1,90,1,90,90 cents,,Completely certain,0.9,I'm pretty sure that it's 90 cents,0.95,"Maybe about half? This is definitely a less common math riddle so many people might get confused by the phrasing of the question and assume that since it costs $1 more, it has to cost $2 exactly even though in actuality, $2 isn't the exact price difference between them, but rather $1.95 or 95 cents",0.8,About 80%. It's a popular question for trick questions because people forget that they have to account for tax when buying multiple items
65,,1b,BM,1,0.45,0,0.1,"The banana costs $.45 because if you add the two prices together ($2 + x = $2.90$) and subtract the cost of the magazine ($2 - $2 = 0$), then the cost of the banana would be $0.90. If the magazine is $2 more expensive, however, that means the banana originally cost $0.90 - $2 = -$.10 cents. This makes no sense as negative values cannot exist in terms of price so I assume it's a trick question or typo; therefore, my answer must be incorrect.",0,1.1,1,0.1,"It depends on the initial price of the pencil and eraser as a unit before tax, but if it was $1.10 for both before tax, then the eraser would cost $.10 since taxes cannot change the cost of the objects individually. However, this question is ambiguous in its current state so I am unsure whether there were additional fees applied beforehand that I am not aware of.",0,0% due to the error in calculation.,0.7,70%,0.2,Less than 20%. It seems most participants did not account for the discrepancy in their calculations.,0.5,50%
66,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85%,0.9,90%,0.6,60%,0.8,80%
67,,1a,PE,1,5,0,1,"5 cents, because 5 + (1.1 - .05) = 1",1,90,1,0.9,"90 cents, because 2.9 - 2 = .9",0.9,90%,1,100%,0.6,60%,0.8,80%
68,,2b,PE,0,1,0,1.1,"If the pencil costs $1 more than the eraser, then if we take away that dollar from the total price, $1.10 -$1 = $.10 so the eraser is $.10 and the pencil would be $.10 +$1 = $1.10.",1,0.9,1,0.9,The banana costs $.90 because if the magazine was $2 then all together they equal $2.90 and therefor subtracting $2 from $2.90 gets the answer $.90,0.9,90%,0.85,85%,-0.4,"This time around, I feel like 30-40% of people got it correct because people generally use addition to solve problems when subtraction is really needed",-0.75,I believe about 65-75% will get the question right because people tend to make common mistakes
69,,1a,PE,1,5,0,1.1,"Eraser costs 5 cents, so pencil would cost $1.05 making total cost equal to $1.10",0,40,1,0.9,"Banana costs 40 cents, as subtracting the cost of the magazine from the total cost leaves us with $0.90.",0.9,"90%. I am pretty certain, but someone could technically argue that it was possible for the eraser to be a different price if I wasn't paying attention during the question.",1,I feel almost 100% certain about this answer because it follows straightforward math.,-0.8,"I think about 70-80%. It seems like an easy problem when explained, but a lot of people might overlook the fact that they were told how much more expensive one item was compared to another. They may just assume both items have standard prices without considering other possibilities.",0.9,"Again, assuming most people understand basic arithmetic, I believe around 90% would answer correctly. There is always room for human error though."
70,,1a,PE,0,0.1,0,0.1,.10,1,0.9,1,0.9,.90,1,100%,1,100%,0.05,5%,0.6,60%
71,,1b,BM,1,45,1,0.45,"The banana would cost 45 cents ($2.45) because if you add 45 cents to $2, you get $2.45. Then, if you subtract that amount from the total cost of the banana and the magazine ($2.90) you'll arrive at $0.45.",0,1.1,0,1.1,It costs ten cents since a dollar plus ten cents equals eleven cents ($1.10).,0.75,75% sure because it seemed a little trickier but that answer still felt right.,1,"I'm totally sure, so my confidence level is at 100%.",0.5,I would guess that around half might have gotten it correct. So perhaps 50%.,0.95,"About 95%, I suppose."
72,,2a,BM,1,45,1,45,The Banana costs 45 cents. (the correct answer),0,,0,,This must be a trick question! I am going to say the eraser is free.,1,I am 100% confident.,0.6,"Only 60% confident, because the first one seemed so straightforward that the next could have been a trick too, but that can't be right.",0.5,"Maybe only about 50%, since it was tricky.",0.8,Well over half should get this right... I would guess 80%.
73,,2a,BM,1,0.45,0,2.45,Banana is $.45 and Magazine is $2.45,0,0.05,0,0.05,"That's an interesting tricky question, erasers normally don't cost very much... so maybe... $.05 cents?",1,I am totally sure about that because it is a question for a class about thinking and making decisions so the answer should be obvious.  100%.,0.05,"Maybe like 70-80% because that seems reasonable, but sometimes those little eraser things can cost more than 5 cents.",0.9,"If they were paying attention then I would think 95% but if they did not read the whole prompt then maybe like 60%, but most likely close to 85% or 90%.",0.5,Um.. let's see here... um... I would say maybe half could be right... 50% or like between 35% and 50%.
74,,1b,BM,1,0.45,0,3.45,"$.45.  I'd say most people get it wrong because they add the $2 onto $1.45, instead of subtracting $2 from $3.45.",1,0.1,1,0.1,"$.10 (I assume that, for some reason, it's cheaper than I usually pay.)",0.7,"70%, if that high.  It seems too low even as an answer.",0.65,65%,0.3,"30% or less, probably.",0.98,98%.
75,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.87,87,0.85,85,0.42,42%,0.6333,63.33%
76,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.8,80%
