Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
35,LLM_L2WVU70,22,Male,PE,1a,0,,0,70,,,0.8,0.9,0.95,0.8,,,,,,,,-0.1,0.15,3.2
36,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
37,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
38,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.4
39,LLM_L2WVU70,22,Female,PE,1a,0,,0,,,,,,,,,,,,,,,,,0.8
40,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.83,0.79,0.46,0.59,,,,,,,,0.04,-0.13,1.6
41,LLM_L2WVU70,22,Female,PE,1a,0,0.4,1,90,,,0.9,0.8,0.6,0.85,,,,,,,,0.1,-0.25,3.2
42,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
43,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.2
44,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.85,0.7,0.6,0.4,,,,,,,,0.15,0.2,0.4
45,LLM_L2WVU70,22,Male,PE,1a,1,5,0,40,,,0.8,1,0.7,0.9,,,,,,,,-0.2,-0.2,0.8
46,LLM_L2WVU70,22,Male,PE,1a,0,10,0,25,,,0.6,0.35,0.5,0.2,,,,,,,,0.25,0.3,1.6
47,LLM_L2WVU70,22,Male,PE,1a,0,,0,,,,,,,,,,,,,,,,,3.2
48,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
49,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,0.2
50,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.73,0.6,0.48,0.6,,,,,,,,0.13,-0.12,0.4
51,LLM_L2WVU70,22,Female,PE,1a,0,1.5,0,2,,,0.98,0.98,0.6,0.7,,,,,,,,0,-0.1,0.8
52,LLM_L2WVU70,22,Female,PE,1a,1,0.05,0,0.1,,,0.1,0.73,0.8,0.63,,,,,,,,-0.63,0.17,1.6
53,LLM_L2WVU70,22,Female,PE,1a,0,90,1,90,,,0.86,0.65,0.57,0.87,,,,,,,,0.21,-0.3,3.2
54,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
55,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
56,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,1,0.7,0.9,,,,,,,,-0.2,-0.2,0.4
57,LLM_L2WVU70,22,Male,PE,1a,0,0.35,0,0.6,,,0.95,0.8,0.7,0.8,,,,,,,,0.15,-0.1,0.8
58,LLM_L2WVU70,22,Male,PE,1a,0,50,0,1,,,0.89,0.99,0.67,0.99,,,,,,,,-0.1,-0.32,1.6
59,LLM_L2WVU70,22,Male,PE,1a,1,5,0,60,,,0.8,0.92,0.73,0.92,,,,,,,,-0.12,-0.19,3.2
60,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
61,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.8,0.9,0.7,0.9,,,,,,,,-0.1,-0.2,0.2
62,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.68,0.43,0.79,0.49,,,,,,,,0.25,0.3,0.4
63,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.75,0.8,0.4,0.65,,,,,,,,-0.05,-0.25,0.8
64,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.76,0.85,0.54,0.93,,,,,,,,-0.09,-0.39,1.6
65,LLM_L2WVU70,22,Female,PE,1a,0,0.95,0,0.5,,,0.99,0.93,0.8642,0.9711,,,,,,,,0.06,-0.1069,3.2
66,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
67,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
68,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.4
69,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.3,0.6,0.7,0.8,,,,,,,,-0.3,-0.1,0.8
70,LLM_L2WVU70,22,Male,PE,1a,0,4,0,,,,0.6,0.84,0.5,0.87,,,,,,,,-0.24,-0.37,1.6
71,LLM_L2WVU70,22,Male,PE,1a,1,0.05,1,0.9,,,0.94,0.83,0.6,0.72,,,,,,,,0.11,-0.12,3.2
72,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.1
73,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.2
74,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.75,0.8,0.3,0.6,,,,,,,,-0.05,-0.3,0.4
75,LLM_L2WVU70,22,Female,PE,1a,1,5,1,0.9,,,0.73,0.87,0.6,0.84,,,,,,,,-0.14,-0.24,0.8
76,LLM_L2WVU70,22,Female,PE,1a,0,0.45,1,0.9,,,0.95,0.79,0.83,0.62,,,,,,,,0.16,0.21,1.6
77,LLM_L2WVU70,22,Female,PE,1a,0,2,0,0.89,,,-0.99,-0.51,0.06,0.47,,,,,,,,-0.48,-0.41,3.2
78,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
79,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.6,0.8,0.4,,,,,,,,0.1,0.4,0.2
80,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.6,0.8,,,,,,,,-0.1,-0.2,0.4
81,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.73,0.84,0.64,0.81,,,,,,,,-0.11,-0.17,0.8
82,LLM_L2WVU70,22,Male,PE,1a,0,0.9,1,0.9,,,1,0.9,0.85,0.6,,,,,,,,0.1,0.25,1.6
83,LLM_L2WVU70,22,Male,PE,1a,0,0.55,1,0.9,,,0.0065,,,,,,,,,,,,,3.2
84,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.1
85,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.2
86,LLM_L2WVU70,22,Female,PE,1a,1,5,0,40,,,0.8,0.6,0.7,0.3,,,,,,,,0.2,0.4,0.4
87,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.9,0.93,0.8,0.74,,,,,,,,-0.03,0.06,0.8
88,LLM_L2WVU70,22,Female,PE,1a,0,0.65,1,0.9,,,0.97,0.9,0.9874,0.3722,,,,,,,,0.07,0.6152,1.6
89,LLM_L2WVU70,22,Female,PE,1a,0,-7,0,5,,,0.439445,-1.31327e+08,0.4616,-0.03,,,,,,,,1.31327e+08,0.4916,3.2
90,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.1
91,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
92,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.6,0.8,,,,,,,,-0.1,-0.2,0.4
93,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.6,0.75,,,,,,,,-0.1,-0.15,0.8
94,LLM_L2WVU70,22,Male,PE,1a,0,30,0,80,,,0.9,0.9,0.5,0.6,,,,,,,,0,-0.1,1.6
95,LLM_L2WVU70,22,Male,PE,1a,1,5,0,10,,,0.75,0.78,0.8,0.95,,,,,,,,-0.03,-0.15,3.2
96,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,0.1
97,LLM_L2WVU70,22,Female,PE,1a,0,0.55,1,0.9,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
98,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.6,0.7,,,,,,,,0.1,-0.1,0.4
99,LLM_L2WVU70,22,Female,PE,1a,0,,1,0.9,,,0.75,1,0.6,0.85,,,,,,,,-0.25,-0.25,0.8
100,LLM_L2WVU70,22,Female,PE,1a,0,0.55,0,1.9,,,0.69,0.77,0.45,0.82,,,,,,,,-0.08,-0.37,1.6
101,LLM_L2WVU70,22,Female,PE,1a,0,,0,,,,,,,,,,,,,,,,,3.2
102,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
103,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.9,0.6,,,,,,,,-0.1,0.3,0.2
104,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.4
105,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.8
106,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.95,0.96,0.5,0.8,,,,,,,,-0.01,-0.3,1.6
107,LLM_L2WVU70,22,Male,PE,1a,0,1,0,1,,,0.93,0.56,0.74,0.97,,,,,,,,0.37,-0.23,3.2
108,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
109,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.2
110,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.8,0.6,0.9,0.7,,,,,,,,0.2,0.2,0.4
111,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.96,0.84,0.7,0.8,,,,,,,,0.12,-0.1,0.8
112,LLM_L2WVU70,22,Female,PE,1a,0,100,0,2,,,0.98,0.68,0.42,-0.85,,,,,,,,0.3,1.27,1.6
113,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.938,1,0.58847,1,,,,,,,,-0.062,-0.41153,3.2
114,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
115,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
116,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.8,0.6,0.7,,,,,,,,0.1,-0.1,0.4
117,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.9,0.8,0.3,0.4,,,,,,,,0.1,-0.1,0.8
118,LLM_L2WVU70,22,Male,PE,1a,0,0.85,0,-0.9,,,0.7,-0.8,-0.63,-0.63,,,,,,,,1.5,0,1.6
119,LLM_L2WVU70,22,Male,PE,1a,0,2,0,10,,,0,0.98,0.03,0.04,,,,,,,,-0.98,-0.01,3.2
120,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.3
121,LLM_L2WVU70,22,Female,PE,1a,0,0.55,1,0.9,,,0.75,0.65,0.8,0.4,,,,,,,,0.1,0.4,0.5
122,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.6,0.8,0.7,0.9,,,,,,,,-0.2,-0.2,0.6
123,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.7,0.9,0.8,0.6,,,,,,,,-0.2,0.2,0.7
124,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.9,0.7,,,,,,,,0.2,0.2,0.9
125,LLM_L2WVU70,22,Female,PE,1a,1,5,0,40,,,0.89,0.75,0.63,0.51,,,,,,,,0.14,0.12,1
126,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.6,0.4,,,,,,,,-0.1,0.2,0.3
127,LLM_L2WVU70,22,Male,PE,1a,1,5,0,40,,,0.7,0.8,0.6,0.7,,,,,,,,-0.1,-0.1,0.5
128,LLM_L2WVU70,22,Male,PE,1a,0,0.55,1,0.9,,,0.8,1,0.67,0.93,,,,,,,,-0.2,-0.26,0.6
129,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.7
130,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.65,0.4,0.7,,,,,,,,0.05,-0.3,0.9
131,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.8,0.3,0.6,,,,,,,,-0.1,-0.3,1
132,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.3
133,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.3,,,,,,,,0.1,0.3,0.5
134,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.6
135,LLM_L2WVU70,22,Female,PE,1a,0,50,1,90,,,0.89,0.84,0.76,0.83,,,,,,,,0.05,-0.07,0.7
136,LLM_L2WVU70,22,Female,PE,1a,0,1.5,0,0.5,,,0.78,0.93,0.65,0.78,,,,,,,,-0.15,-0.13,0.9
137,LLM_L2WVU70,22,Female,PE,1a,0,60,1,90,,,0.8,0.9,0.75,0.65,,,,,,,,-0.1,0.1,1
138,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.7,0.6,0.8,0.4,,,,,,,,0.1,0.4,0.3
139,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.5
140,LLM_L2WVU70,22,Male,PE,1a,1,5,0,80,,,0.3,0.4,0.7,0.7,,,,,,,,-0.1,0,0.6
141,LLM_L2WVU70,22,Male,PE,1a,0,0.45,1,0.9,,,0.96,0.85,0.73,0.83,,,,,,,,0.11,-0.1,0.7
142,LLM_L2WVU70,22,Male,PE,1a,0,0.55,1,0.9,,,0.8,0.6,0.93,0.7,,,,,,,,0.2,0.23,0.9
143,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.64,0.73,0.8,0.9,,,,,,,,-0.09,-0.1,1
144,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.3
145,LLM_L2WVU70,22,Female,PE,1a,0,1.5,1,0.9,,,0.78,0.94,0.65,0.83,,,,,,,,-0.16,-0.18,0.5
146,LLM_L2WVU70,22,Female,PE,1a,0,0.5,0,0.6,,,0.7,0.9,0.84,0.93,,,,,,,,-0.2,-0.09,0.6
147,LLM_L2WVU70,22,Female,PE,1a,0,,1,0.9,,,0.5,0.85,0.75,0.95,,,,,,,,-0.35,-0.2,0.7
148,LLM_L2WVU70,22,Female,PE,1a,0,,1,0.9,,,0.3,0.74,0.58,0.64,,,,,,,,-0.44,-0.06,0.9
149,LLM_L2WVU70,22,Female,PE,1a,0,15,1,90,,,0.93,0.85,0.68,0.74,,,,,,,,0.08,-0.06,1
150,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.3
151,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.5
152,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.3,,,,,,,,0.1,0.3,0.6
153,LLM_L2WVU70,22,Male,PE,1a,0,0.1,1,0.9,,,0.85,0.8,0.6,0.75,,,,,,,,0.05,-0.15,0.7
154,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.98,0.76,0.55,0.45,,,,,,,,0.22,0.1,0.9
155,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.95,0.85,0.63,0.8,,,,,,,,0.1,-0.17,1
156,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.3
157,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.78,0.83,0.64,0.7,,,,,,,,-0.05,-0.06,0.5
158,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,1,0.7,0.6,0.4,,,,,,,,0.3,0.2,0.6
159,LLM_L2WVU70,22,Female,PE,1a,1,5,0,40,,,0.85,0.9,0.79,0.86,,,,,,,,-0.05,-0.07,0.7
160,LLM_L2WVU70,22,Female,PE,1a,0,1.55,1,0.9,,,0.8,1,0.7,1,,,,,,,,-0.2,-0.3,0.9
161,LLM_L2WVU70,22,Female,PE,1a,0,50,0,40,,,0.87,0.86,0.6,0.55,,,,,,,,0.01,0.05,1
162,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.3
163,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.5
164,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.85,0.65,0.75,0.4,,,,,,,,0.2,0.35,0.6
165,LLM_L2WVU70,22,Male,PE,1a,0,0.45,1,0.9,,,0.75,0.8,0.6,0.8,,,,,,,,-0.05,-0.2,0.7
166,LLM_L2WVU70,22,Male,PE,1a,0,0.1,1,0.9,,,0.9,0.7,0.5,0.4,,,,,,,,0.2,0.1,0.9
167,LLM_L2WVU70,22,Male,PE,1a,0,0.95,0,2.4,,,0.8,0.3,0.6,0.2,,,,,,,,0.5,0.4,1
168,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.3
169,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.7,0.6,0.8,0.7,,,,,,,,0.1,0.1,0.5
170,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.86,0.74,0.93,0.77,,,,,,,,0.12,0.16,0.6
171,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.7,0.4,0.6,,,,,,,,0.1,-0.2,0.7
172,LLM_L2WVU70,22,Female,PE,1a,1,5,0,40,,,0.8,0.6,0.3,0.7,,,,,,,,0.2,-0.4,0.9
173,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,1
174,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,0.3
175,LLM_L2WVU70,22,Male,PE,1a,1,5,0,40,,,0.8,0.6,0.7,0.3,,,,,,,,0.2,0.4,0.5
176,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.6
177,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.95,0.95,0.8,0.85,,,,,,,,0,-0.05,0.7
178,LLM_L2WVU70,22,Male,PE,1a,1,5,0,60,,,0.74,0.83,0.92,0.9,,,,,,,,-0.09,0.02,0.9
179,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,1,1,0.9,0.8,,,,,,,,0,0.1,1
180,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.7,0.6,0.8,0.4,,,,,,,,0.1,0.4,0.3
181,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.4,0.7,,,,,,,,0.2,-0.3,0.5
182,LLM_L2WVU70,22,Female,PE,1a,0,0.55,1,0.9,,,0.95,0.95,0.8,0.75,,,,,,,,0,0.05,0.6
183,LLM_L2WVU70,22,Female,PE,1a,0,0.5,1,0.9,,,0.75,0.85,0.6,0.75,,,,,,,,-0.1,-0.15,0.7
184,LLM_L2WVU70,22,Female,PE,1a,0,0.45,1,0.9,,,0.87,1,0.96,0.97,,,,,,,,-0.13,-0.01,0.9
185,LLM_L2WVU70,22,Female,PE,1a,0,9,1,90,,,0.83,0.75,0.74,0.66,,,,,,,,0.08,0.08,1
186,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.3
187,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.6,0.8,0.7,,,,,,,,0.3,0.1,0.5
188,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.8,0.9,0.65,0.7,,,,,,,,-0.1,-0.05,0.6
189,LLM_L2WVU70,22,Male,PE,1a,0,9,1,90,,,0.75,0.8,0.4,0.85,,,,,,,,-0.05,-0.45,0.7
190,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.85,0.7,0.6,0.4,,,,,,,,0.15,0.2,0.9
191,LLM_L2WVU70,22,Male,PE,1a,1,5,0,60,,,0.9,0.95,0.8,0.7,,,,,,,,-0.05,0.1,1
192,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.75,0.4,,,,,,,,0.2,0.35,0.3
193,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.6,0.8,0.4,0.7,,,,,,,,-0.2,-0.3,0.5
194,LLM_L2WVU70,22,Female,PE,1a,0,,1,0.9,,,0.5,0.8,0.65,0.7,,,,,,,,-0.3,-0.05,0.6
