Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
29,1a,3,"If we solve it out step by step: The cost of a pencil - $ x; and Cost of an eraser – x minus some cents Let say that amount cents for eraseer (the cost) would be “c” (c=cost) So, when combining eraser’ and the price $x- c will cost us the value in this problem – i.e., $1 Therefore: (a)$X-$c= 1; We solve further step to bring “cost- c- 1”. Now substituting for X from one above formula and adding one. Ergo, x + x-(1) + x (the pencil): the two terms will result in $(3) + the remaining constant ‘(1). To summarize we get : Pencil price - cost = $3 ; Costs per piece pencils or an erase will not include costs: (C)=c/cost - cost So",80,80 %,70,About (70%),,"Bananas will be cheaper since I guess. Since this is a test that’s being given as a whole there was a good bit of emphasis in knowing if there's some logical errors to solve this and so my answer could have more logic errors in comparison with a typical day. So, it appears to me like there will definitely have been lots questions on logic which means one probably needs plenty time for these particular kind ones especially when they don’t require thinking so very fast- it does require much longer time due mostly lack knowledge or lack memory! Question might make no sense at first glace, but as soon read again one must comprehend the true implications",55,about(55 %) .The main problem why many questions get asked are: either they think question difficult or even impossible to grasp their understanding because those kind problems generally involves long list items need some type mathematics manipulation. Or sometimes people simply can never solve such tricky problems within short time limit. Also depends how far we willing push ourselves for solving any certain amount types issues in limited amount hours during normal day-to,-92,maybe(63)  % will able find out quickly correct responses whereas some people probably didn't fully grasp everything written regarding solution method behind given information. So overall percent may remain somewhat uncertain until full analysis completed afterwards and compare scores of all students after examination ends !  So these type situations come out with high variability in solutions hence resulting in big ranges like [89-92].
30,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
31,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
32,1a,5,5 cents,90,90%,75,75%,90,90 cents,80,80%,60,60%
33,1a,5,5 cents,95,95%,80,80%,90,90 cents,70,70%,65,65%
34,1a,,"I'm not sure, but let me think it through",40,40,50,50,0.9,$0.90,70,70,80,80
35,1a,,[blank],80,80,95,95,70,70cents,90,90,80,80
36,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
37,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
38,1a,0.5,$0.50,80,80%,70,70%,0.9,$0.90,60,60%,40,40%
39,1a,,,,,,,,,,,,
40,1a,5,5 cents,83,83 %,46,46 %,90,90 cents,79,79 %,59,59 %
41,1a,0.4,0.40 dollars.,90,90%.,60,60%,90,90 cents,80,80%,85,85%.
42,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
43,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
44,1a,5,5 cents,85,85%,60,60%,90,90 cents,70,70%,40,40%
45,1a,5,5 cents,80,80%,70,70%,40,40 cents,100,100%,90,90%
46,1a,10,"Hmm... I guess the eraser must cost about 5 or 6 cents, because a pencil probably costs somewhere between 80 to 90 cents. So the answer would be between those values. If you ask me for an exact number then maybe 7 cents sounds good? Or actually let's make it round - say 10 cents then. Yeah, let's take that number as our final estimate.",60,"I guess 60% sounds fair? I'm relatively comfortable making estimates, so my overall confidence level would be relatively high. Yet at the same time there always remains a probability that one overlooks something while estimating such simple figures.",50,"This is another tricky question! What even constitutes solving it correctly - giving an accurate number, or making an estimation within reasonable boundaries of that correct value? Assuming accuracy only - I don't think many would nail it with an absolutely right answer on their first try - but then again this can change if asked a second time. Hmm, so I'll probably pick half the sample - 50% of people gave correct responses, or made reasonably precise estimations around them.",25,"Another tough problem! Let me think for a bit... First instinct would tell us 45 cents as the obvious option because that adds up nicely when you subtract two dollars from the total price; however that seems too small though. Well, now I recall the ""magazine and CD"" puzzle in which you would intuitively guess one thing (say $6) when given different conditions like two products vs combined costs, whereas actually both numbers are equal. Hmmm.... Then why did we assume $1 at first if they could be any value really, such as let's say each being priced somewhere between 40 to 55 cents based upon your previous reasoning? Let's take our initial guesstimate at least for simplicity's sake and just round off here. So I'd go with 25 cents on average maybe.. Yeah definitely somewhere around those values sounds good enough I suppose. Oh wait a minute! I guess my confidence",35,"Hmm again, I'd say 35%. There are just so many things that can potentially alter our estimations and assumptions without realizing them in the moment itself - and so one has to be pretty careful about claiming too much certainty about these type of problems anyway. Plus having taken too long thinking over it all certainly doesn’t help much either! Oh yeah and another thing just hit me; perhaps even more fundamentally we should ask ourselves whether our assumptions themselves make sense to begin with given various external factors which also play into their determination...",20,I would say probably lower than the first time around – maybe only like 20%. If pressed for exact numbers or something very specific I could easily see some getting stumped by these ones especially since we don't often encounter these kind of scenarios in our everyday lives after all..
47,1a,,,,,,,,,,,,
48,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
49,1a,5,5 cents,90,90%,70,70%,90,90 cents,80,80%,60,60%
50,1a,5,5 cents,73,73%,48,48%,90,90 cents,60,60%,60,60%
51,1a,1.5,"Eraser - $0.50, Pencil - $1.50",98,98%,60,60%,2,"Banana - $0.90, Magazine - $2.00",98,98%,70,70%
52,1a,0.05,.05,10,10,80,80,0.1,.10,73,73,63,63
53,1a,90,90 cents,86,86,57,57,90,90 cents,65,65,87,87
54,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
55,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
56,1a,5,5 cents,80,80%,70,70%,90,90 cents,100,100%,90,90%
57,1a,0.35,$0.35,95,95%,70,70%,0.6,$0.60,80,80%,80,80%
58,1a,50,[50 cents],89,89 %,67,67 %,1,[1 dollar],99,99 %,99,99 %
59,1a,5,5 cents,80,80%,73,73%,60,60 cents,92,92%,92,92%
60,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
61,1a,0.5,$0.50,80,80%,70,70%,0.9,$0.90,90,90%,90,90%
62,1a,5,5 cents,68,68%,79,79%,90,90 cents,43,43%,49,49%
63,1a,5,5 cents,75,75%,40,40%,90,90 cents,80,80%,65,65%
64,1a,5,5 cents,76,76,54,54,90,90 cents,85,85,93,93
65,1a,0.95,$.95,99,99%,86.42,86.42%,0.5,$.50,93,93%,97.11,97.11%
66,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
67,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
68,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
69,1a,5,"I would say 5 cents, but I'm not sure why!",30,30%,70,70%,90,90 cents?,60,60%,80,80%
70,1a,4,"Answer should be 5 cents since one plus five is six cents which means a pencil that would normally cost 79 cents now costs 80 cents. But the price given was $1.10 which makes an additional penny required to get the price above ninety. If that extra penny were for both, that would bring each object to over 10 cents each when 2 x (33-6) = 42 or $10 - $.85 would leave the sum at 8 cents and two objects at just under 4 centers so the penny had to have gone all to the pencil for this to make sense and we know it's more likely because it has greater significance on writing. If we ignore the fact that no actual math calculation occurred in the solution, I still have the logic wrong though as if one were able to buy a pencil for just less than sixty",60,60,50,50,,Answer should be ten cents which means twenty-seven cents to make three dollars but also thirty cents in total before the quarter for both the items was paid separately giving thirty seven minus eight fifty six leaving an answer of ninety two minus seventy four,84,84,87,87
71,1a,0.05,$.05 cents,94,94 %,60,60%,0.9,$.90,83,83%,72,72 %
72,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
73,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
74,1a,5,5 cents,75,75%,30,30%,90,90 cents,80,80%,60,60%
75,1a,5,5cents,73,73%,60,60%,0.9,$0.90,87,87%,84,84%
76,1a,0.45,$.45,95,95%,83,83%,0.9,.90,79,79%,62,62%
77,1a,2,"Let' is say a beaker is equal to a cent. Therefore the eraser would have 6 cents ($ .01 each). And then the Pencil is another dollar so therefore adding it up (Eraser .36 Cents + Pencil is $ .54) = $ .80 (80 cents which in beakers comes up too) Therefore, that can't happen... I say .37+050? (Better) So i get: The answer should still work either way.... but there is only 1 Eraser for the example. (Which cost 1 Dollar as a guess) but that would mean there needs to be TWO or the pencils has too have been 1/3. However. this problem doesn't indicate anything on multiple objects unless there were 2 erasers..... The original prices is probably different or mislabled? But it depends on if",-99,Maybe somewhere from 92-99.%? If more Erasers we used for example instead then perhaps closer too lower %..but there was NO CLARIFICATION with numbering. It had assumed single and double digit numbers without clarifying.... and only using cents with NO Dollar sign is highly confusing unless that has to do something else.. I think so,6,"Maybe only close to 50? Not much more, especially for anyone whom might try guessing before looking up answers.. (It takes longer too answer correctly rather than taking risks guessing if someone gets over 6 seconds.... so around there is fair.)",0.89,"Since we don't know weight or measurement...... and not assuming per ounce...... We only get the Price/cost of each unit of either objects mentioned above... So in short $2 is worth however much....and maybe Bananas have a standard worth now since they use that currency everywhere. Even grocery stores... (so therefore..). the magazine has its worth regardless.... which also implies that even without any of those details... that you could calculate without even going over.... I still just find my original Answer from ""Question 3"" correct due to missing pieces on information here (for this question) And because they are related with having numbers/measurement systems being connected between these 2 specific types.. and therefore they both seem too follow somewhat similar systems at their best without confusion.... However... For what type of question it wants though .... $ .89(Dollars)? Because a Cent + another Dollar still makes Two... and that doesn't match up",-51,At least for me..... about as close enough (Maybe same or less) but for other people........ Around close 47-51?,47,Still similar amount if guessing or taking longer times? So... 47 or less percent... But can change after knowing more details. It has nothing much to do really except maybe currency or food items involved (Which we don't know if even matters for a difference at first...) but otherwise we all get different choices either way without clarifying.... Even guessing can affect % due too risks alone compared with only spending seconds/halfmin or such for most (It does say average...not best...but usually closer at best is common since others likely also vary as close too similar numbers depending.) (And it should give enough information even before going further for some time on its own..even without assuming certain methods etc.....but there isn't yet. Just those numbers with NO indication... So you can easily end up making another assumption to guess based off what was originally given already.) For now until then anyway.. We might guess something close instead which takes little less thought or care
78,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
79,1a,5,5 cents,70,70%,80,80%,90,90 cents,60,60%,40,40%
80,1a,5,5 cents,70,70%,60,60%,90,90 cents,80,80%,80,80%
81,1a,5,5 cents,73,73%,64,64%,90,90 cents,84,84%,81,81%
82,1a,0.9,$0.90,100,100%,85,85%,0.9,$0.90,90,90%,60,60%
83,1a,0.55,"$0.55 or, written as a dollar figure $0.55 or again as 55 cents.  So many different ways this can be put, but either 0.55 dollars (dolars? dolla)? dollars or as $0.55 on my cell.   In general currency terms, not in any cryptic manner.",0.65,I’m unsure that $1 plus whatever amount equals $0.10 or what ever amount that is needed added together equls to $0.65 which seems logical enough for an average middle-schooler or early high school.,,Most individuals solve such things in about four minutes of time spent at most for such mathematical concepts or calculations which seem more simple than not for me anyways so...I do believe everyone would likely succeed on paper after thinking briefly about it,0.9,$.9 cents  which i know seems rather intuitive yet i am having issues decoding this sentence into something like what was the total price before buying those items separately vs. After purchasing each item separately versus before making any purchase prior even looking through a magazine rack let alone actually seeing if either have been purchased anywhere nearby,,Very little to none actually because my confidence has diminished due to questioning the word choice that may potentially alter meaning drastically within just single sentences/phrases used throughout these particular set of questions so....,,Honestly cannot say accurately anymore whether they could solve these simple word problems completely accurately or otherwise
84,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
85,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
86,1a,5,5 cents,80,80%,70,70%,40,40 cents,60,60%,30,30%
87,1a,0.5,$0.50,90,90%,80,80%,0.9,$0.90,93,93%,74,74%
88,1a,0.65,$0.65,97,97%,98.74,98.74%,0.9,$0.9,90,90%,37.22,37.22%
89,1a,-7,"R, if $p denotes the cost of an eraser then $1 < 0 since the cost of pencil and eraser is > $1 and this violates transitivity for < relation so it should be irrational value like $root -7 and I just pick any one.",43.9445,43.94453285386872 %,46.16,46.16000839755616,5,"Mhm it costs like $5 I guess as my friend would tell me as her mom makes banana and I was eating her fruit during highschool that they're expensive. Like how am i gonna calculate it if you guys just assume the reader had been taught at schools about algebra and calculation so we were forced on calculating but instead of focusing on solving questions students tend to copy and remembering everything which results of having forgotten and never applying again after their course is finished for not needed the subject of study during childhood. Even though you know I have done highschool before the college but i have a tendency for bad studying style such that if you only give it without teaching me to analyze, use different kind of thinking I can just remember and forget since there were lotsa formulas and equations which were hard to calculate them fast then later to learn from there are always the teachers who would just read out the materials. Not a personal opinion on other colleges but based upon a single",-1.31327e+10,-13132745685,-3,-3
90,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
91,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
92,1a,5,5 cents,70,70%,60,60%,90,90 cents,80,80%,80,80%
93,1a,5,5 cents,70,70%,60,60%,90,90 cents,80,80%,75,75%
94,1a,30,30 cents.,90,90%.,50,50%.,80,80 cents.,90,90%.,60,60%.
95,1a,5,"I cannot do math, but it would be cool if the answer was $5 because I need change! But since this is about me and not just about fun stuff - probably the cheapest option that covers the given prices and the assumption about adding up their values together...",75,"Let's assume I did the math right this time. If yes - it can hardly get much clearer than the above numbers and reasoning, so: totally sure (= 99%). Otherwise maybe something is still confusing, so let's be careful and stick around with ~75%. I hope you didn't intend something other here by ""response"" besides giving numerical guesses for such things like age, gender, pencils & rubbers?",80,"Depends. There may even exist quite a range regarding potential different types of questionnaires and experiments related to math/calculation challenges as presented or asked via verbal prompting etc., especially among younger adult populations; in turn involving potentially variable difficulty-degrees depending on e.g. exact task conditions & constraints, time allotted & required, instructions for solution-approaches employed. Still generally expecting around half should reach ""correct"" results in the above situation if using rather simple operations. More than that only when given sufficiently limited possible combinations to consider or other more helpful conditions & options beyond plain additions, subtractings & dividing; yet probably at most ~80% without explicitly including relevant experience with arithmetic in daily routines or previous mathematical training (though it certainly doesn’t hurt if participants have got used to dealing numerically frequently outside studies/practicing exercises alone either) ...",10,"Again pretty basic math and logic here - not very difficult even though one can argue differently, esp., w/o any particular backgrounds concerning actual knowledge/familiarity related stuff... In terms of ""how much"": roughly ~5 bucks maybe; though probably way underneath considering relative size, demand levels (?) and prices between goods. Otherwise guessing at something below 10c might also be fine since it wouldn't take much time at this stage (after thinking abot potential implications a litle bit...)",78,"Maybe same as earlier, depending on situation mentioned. I am kinda confident now - not fully though since there aren't enough data/info-details regarding the initial context/problem statement again (i don´´´ t want ot fall victim to misleading expectations!). If possible give some clarification so others could provide an actual useful/informed answers or insights here instead just guess at different scenarios.. thanks!. 78% seems ok again.",95,"About 36–44%. But if looking beyond just giving numeral values... then let us put in ~95+%; given adequate instructions provided & understanding required; esp., w/, relevant experiences dealing such things in practice before already having encountered similar issues (even just by doing daily routine purchases perhaps). Plus hopefully participants weren’t influenced too much before trying solving problems due to possibly confusing task designs - plus no one feeling discouraged after starting with low self esteem scores first perhaps? Anyway most times shouldn’t take anyone much effort actually getting the right answer correctly; thus hopefully avoiding any confusion while solving questions asked here accurately! So I wouldn‘t worry even in more challenging circumstances either probably :)"
96,1a,5,5 cents,90,90%,70,70%,90,90 cents,80,80%,60,60%
97,1a,0.55,$0.55,90,90%,80,80%,0.9,$0.90,70,70%,60,60%
98,1a,5,5 cents,90,90%,60,60%,90,90 cents,80,80%,70,70%
99,1a,,Hmmm...that's not so easy to figure out.,75,"I would say that I am about 75% confident, but I need more time to think about it.",60,"Let me see.. I think about 60%, because it's not an easy question to answer quickly.",0.9,That one was easy - it's worth $0.90!,100,"This time, I’m completely confident – 100%.",85,"Everyone should be able to solve this one pretty easily, so I think about 85% will get it right."
100,1a,0.55,0.55 cents,69,69%,45,45%,1.9,1.90 dollars,77,77%,82,82%
101,1a,,Answer,,%,,%,,,,%,,%
102,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
103,1a,5,5 cents,70,70%,90,90%,90,90 cents,80,80%,60,60%
104,1a,0.5,$0.50,80,80%,70,70%,0.9,$0.90,60,60%,40,40%
105,1a,5,5 cents.,90,90%.,80,80%.,90,90 cents.,70,70%.,60,60%.
106,1a,0.5,$.50,95,95%,50,50%,0.9,$.90,96,96%,80,80%
107,1a,1,(a).$1,93,93%,74,74%,1,$1,56,56%,97,97%
108,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
109,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
110,1a,0.5,$0.50,80,80%,90,90%,0.9,$0.90,60,60%,70,70%
111,1a,5,5 cents,96,96%,70,70%,90,90 cents,84,84%,80,80%
112,1a,100,"Let x be the price of a pencil, y be the price of an eraser. Given that the eraser costs less than the pencil, we know x > y + 1; moreover since both quantities cost a dollar each, we have (x+y) > 1. If the question states they each cost a dollar then they must each equal a dollar. Since this leads to a contradiction that shows the hypothesis to be false we must accept that $1 does not need to equate with 100 cents anymore; however if the question stated “the pencil costs one dollar”, without qualification, then the conclusion follows directly from that premise as in our model above—which can now use non-integral values for currency so long as its defined within that context of units wherein this assumption applies specifically to the individual cases being examined individually and exclusively thereupon respectively. Thus, using substitution gives us x",98,98,42,42,2,"The magazine costs $2. Therefore, it is impossible to solve for the banana cost because there is only one variable given. To solve such a problem would require an equation relating both the prices of magazines and their corresponding amounts of time required to read them along with information about how many articles are contained in each issue published per week on average across multiple publications in order determine accurate pricing estimates when considering all possible parameters involved simultaneously--and while we may assume these numbers without much effort, gathering them effectively poses quite another obstacle entirely despite our best efforts otherwise no matter what our inclinations or intuition might dictate otherwise beforehand as long term analysis often trumps any initial impulses which could ultimately prove ineffective should certain unknown variables change drastically upon further inspection even if just subtly so...",68,68,-85,I believe that around 75-85% of people solving the banana problem correctly is reasonable due to its simplicity once again allowing individuals' prior knowledge about similar types/styles associated mathematics based equations involving money combined wit h general sense making techniques employed throughout previous attempts related but nonetheless unrelated directly toward determining accurate solutions based off specific rules presented alongside said prompt altogether simultaneously thereby ultimately allowing said participants' overall mental agility remain relatively consistent depending largely upon previously established backgrounds surrounding various levels personal experience within fields including yet not limited to those associated strictly numeracy based ones alone etc.
113,1a,0.5,Answer must be rounded. My answer: 0.5,93.8,93.8,58.847,58.847,0.9,$0.90,100,100%,100,100
114,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
115,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
116,1a,5,5 cents,90,90%,60,60%,90,90 cents,80,80%,70,70%
117,1a,0.5,$.50,90,90%,30,30%,0.9,$0.90,80,80%,40,40%
118,1a,0.85,[After calculating using his left hand] Hmm.. .85 cents,70,"[He taps a number on the keyboard, after reflecting for several seconds] I say 70%.",-63,"Oh I think that's like most math questions--easy for one person to solve but can throw off others! But really it's all about knowing shortcuts. My mom taught me to keep dividing something till the decimals go away..so I would bet over 50% know. Okay, I'll just choose 62%. 62-63 sounds reasonable enough.",-0.9,"Well first we subtract 2 dollars, so the banana costs $.90! Now I am thinking, is that cheaper than my fruit basket at work! Let's see..okay, .55-.90 yeah I can make a case for getting more nutrition than candy here. It may seem too simplistic at times, the whole banana cost question in these examples, because there is more to learn if you're going deep enough into the research methods used when determining prices and profits--and even healthier choices with the food industry, not as a distraction, but related, yes!",-80,"[Again taps in his percentage] So maybe..85% sure. Yes. This is not always a perfect logic question but it still tests some sort of memory and understanding I guess. I mean what is the goal of this survey...too simple for adults like me..maybe. Anyway yes I feel about..73-80% okay at this! :) Not all questions need to stump us either, like I could say some of these are like a mini reward for learning basic math. But that makes sense in my world so don't quote me exactly there please or tell anyone! They might see less value just answering one kind of problem, which has some validity. Yet I think most things come with a purpose..",-63,"Now the magazine price has changed! Maybe there should be more variety then to increase its accuracy over time also. So I would guess the same though, around 62-63%."
119,1a,2,"Let x equal eraser then pencil cost equals (x+1). So the question could be simplified to: p+e=1.1 and p=(x+1), replace (x+1) into the equation, get two unknowns:  2p=2x+(x+1)=x^2 + 2.",0,"I'm totally sure that my logic can apply anywhere else, but still this puzzle may have different answers than what comes from using mathematical formulas as given on other websites: so probably not completely ""confident"". So maybe like around...59%, i don't know how you evaluate confidents with this test, because normally in exams i use this system as well where if answer looks correct or at least not very bad after first attempt - there is little chance of getting lower score if it ends up not correcting as you just add some simple conditions during process without doing another run to make answer completely rigorous which normally involves many hours and for this particular question even though there might be another better approach I'll still be somewhat confident as my way gives exact answer after second condition is included (or any integer factorized differently would work): eraser cost $ 0.8 and pencil = ($ 0.1 + p_0)$,  and there has to be",3,"My best guess here will be average number for whole dataset as the question lacks proper reference of ""correct solution"": 27/2*n where n ranges [2;5] based on given eraser costs of participants' response data assuming they use method of setting up formulas then subtract values to get solution and their initial numbers aren't just rounded. And then depending how much weighted their results with confidence - probably more likely would lean towards n = 4 than 3 if people answered honestly about ""being sure"", i know many folks sometimes can write ""not so correct"" instead if ""just an estimate"" or give too low estimate if felt more pressure. This is kinda weird test indeed and not exactly something which shows people math skills but also kinda helps me figure out why many teachers don't like giving homework as they are likely get this kinda ""logic/not math/math approach not fully worked out even when seem to use formulae",10,"In same vein p+q=$10, p:$2, q:=$3/$7 or let q=$3-$x ,so q is actually 4 (if one looks carefully to problem)then total will be $7. So the first equation simplifies into $6,$ or in similar terms as above (magazine price = $10 , bananas should be equal parts for given ratio here, not same dollar amount) as long ratio q(q) : M(Q) == c : a then you'll have two different combinations (but also just need to change x): x+y=(M-Q);y-x=(a*Q+b)*M*(C+A+Q)/[AC",98,"Here my reasoning gets me to confidence level of maybe ~98% considering there is a limiting condition, it shouldn't work if pencils were worth zero for example even with formula and such because other approach won't lead back to original values and so answer can only be an estimate under these assumptions... Maybe closer look reveals better methods or simpler ways when you use more familiar problems from calculus/physics where similar logic often comes handy but in math itself often lack proper knowledge to apply - like integration techniques instead ""adding new equations until desired one shows up"". And yeah I think teachers generally aren't that happy if they don't get something done on time so they'd rather avoid giving homeworks especially harder ones as usually most likely result will show negative score. Also, most exams require correct formulas even when wrong choice made in solving problem which again adds uncertainty into grading and doesn't make sense since correct logic also leads towards the answer. Anyway sorry kind",4,"Again I feel myself inclined to guess based on given data - average percentage for banana costs would lie somewhere between [4;5] assuming same setups as above: first number in problem indicates price ratio by using (x:1), x represents banana quantity then dividing both sides gives Q/2=$6 => x+y(x-a*q)+b=4+x so Q/(2M)=y, 4M+(y-M)(M+3A)-6AM > A (or more formally if you take LHS-LHS/2 - RHS/2=4AM), or simplifies into another similar condition when used along with equation derived above - which requires careful reworking before actual result comes up: M*y-(Q*(C+A)*"
120,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
121,1a,0.55,$0.55,75,75,80,80,0.9,$0.90,65,65,40,40
122,1a,5,5 cents,60,60%,70,70%,90,90 cents,80,80%,90,90%
123,1a,5,5 cents,70,70%,80,80%,90,90 cents,90,90%,60,60%
124,1a,5,5 cents,80,80%,90,90%,90,90 cents,60,60%,70,70%
125,1a,5,I would say that the eraser costs 5 cents.,89,89 %,63,63 %,40,The banana costs 40 cents.,75,75 %,51,51 %
126,1a,5,5 cents,70,70%,60,60%,90,90 cents,80,80%,40,40%
127,1a,5,5 cents,70,70%,60,60%,40,40 cents,80,80%,70,70%
128,1a,0.55,$0.55,80,80%,67,67%,0.9,$0.90,100,100%,93,93%
129,1a,0.5,$0.50,90,90%,80,80%,0.9,$0.90,70,70%,60,60%
130,1a,5,5 cents,70,70%,40,40%,90,90 cents,65,65%,70,70%
131,1a,5,5c,70,70%,30,30%,90,90c,80,80%,60,60%
132,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
133,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,30,30%
134,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
135,1a,50,Eraser costs 50 cents.,89,89%.,76,76%.,90,90 cents.,84,84%.,83,83%.
136,1a,1.5,$1.50,78,78%,65,65%,0.5,$0.50,93,93%,78,78%
137,1a,60,60 cents,80,80,75,75,90,90 cents,90,90,65,65
138,1a,5,5 cents,70,70%,80,80%,90,90 cents,60,60%,40,40%
139,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
140,1a,5,"I would say the eraser costs 5 cents, but I'm sure that is wrong.",30,30%,70,70%,80,Probably around 60 or 80 cents.,40,40%,70,70%
141,1a,0.45,$0.45,96,96,73,73,0.9,$0.90,85,85,83,83
