Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
13,LLM_L2WVU70,19,Female,BM,1b,0,1.4,1,0.1,,,0.6,0.5,0.7,0.8,,,,,,,,0.1,-0.1
14,LLM_L2WVU70,18,Male,PE,2b,0,20,1,90,,,0.7,0.6,0.8,0.5,,,,,,,,0.1,0.3
15,LLM_L2WVU70,22,Female,PE,1a,1,5,0,1,,,0.8,0.8,0.6,0.75,,,,,,,,0,-0.15
16,LLM_L2WVU70,19,Female,BM,2a,1,45,1,10,,,0.8,0.8,0.3,0.7,,,,,,,,0,-0.4
17,LLM_L2WVU70,20,Female,PE,2b,0,90,1,90,,,0.8,0.75,0.6,0.4,,,,,,,,0.05,0.2
18,LLM_L2WVU70,18,Female,BM,1b,0,60,1,10,,,0.95,0.95,0.75,0.25,,,,,,,,0,0.5
19,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.95,0.95,0.2,0.4,,,,,,,,0,-0.2
20,LLM_L2WVU70,18,Female,PE,2b,0,10,1,90,,,1,1,0.9,0.75,,,,,,,,0,0.15
21,LLM_L2WVU70,18,Female,BM,1b,0,65,1,10,,,0.75,0.95,0.8,0.4,,,,,,,,-0.2,0.4
22,LLM_L2WVU70,19,Male,PE,2b,0,0.1,1,0.9,,,0.63,0.85,0.7,0.45,,,,,,,,-0.22,0.25
23,LLM_L2WVU70,18,Female,PE,1a,1,5,1,90,,,0.8,0.7,0.9,0.6,,,,,,,,0.1,0.3
24,LLM_L2WVU70,18,Female,BM,2a,0,1,1,10,,,0.65,0.9,0.75,0.8,,,,,,,,-0.25,-0.05
25,LLM_L2WVU70,20,Female,PE,2b,0,0.1,1,0.9,,,0.8,0.9,0.6,0.45,,,,,,,,-0.1,0.15
26,LLM_L2WVU70,19,Male,BM,1b,0,60,1,10,,,1,1,0.7,0.85,,,,,,,,0,-0.15
27,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.7,0.65,0.49,0.38,,,,,,,,0.05,0.11
28,LLM_L2WVU70,19,Male,BM,1b,0,2,1,10,,,0.65,0.8,0.65,0.75,,,,,,,,-0.15,-0.1
29,LLM_L2WVU70,18,Female,BM,2a,0,0.4,1,0.1,,,0.6,0.7,0.5,0.8,,,,,,,,-0.1,-0.3
30,LLM_L2WVU70,19,Female,PE,1a,0,0.55,1,0.9,,,0.8,0.83,0.65,0.74,,,,,,,,-0.03,-0.09
31,LLM_L2WVU70,18,Male,PE,1a,0,,0,,,,0.25,0.3,0.75,0.8,,,,,,,,-0.05,-0.05
32,LLM_L2WVU70,18,Female,BM,1b,0,40,1,10,,,0.6,0.95,0.3,0.7,,,,,,,,-0.35,-0.4
33,LLM_L2WVU70,19,Female,BM,2a,0,0.5,1,0.1,,,0.67,1,0.8,0.9,,,,,,,,-0.33,-0.1
34,LLM_L2WVU70,19,Female,PE,2b,0,0.6,1,0.9,,,0.47,0.75,0.48,0.38,,,,,,,,-0.28,0.1
35,LLM_L2WVU70,19,Female,BM,1b,0,70,1,10,,,0.4,0.85,0.3,0.65,,,,,,,,-0.45,-0.35
36,LLM_L2WVU70,19,Male,BM,2a,0,0.54,1,0.1,,,0.68,0.78,0.39,0.73,,,,,,,,-0.1,-0.34
37,LLM_L2WVU70,19,Female,PE,1a,0,0.5,1,0.9,,,0.3,0.67,0.8,0.74,,,,,,,,-0.37,0.06
38,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.6,1,0.3,0.85,,,,,,,,-0.4,-0.55
39,LLM_L2WVU70,19,Male,BM,1b,0,,0,,,,,,,,,,,,,,,,
40,LLM_L2WVU70,18,Male,BM,1b,0,1,1,0.1,,,1,1,0.8,0.75,,,,,,,,0,0.05
41,LLM_L2WVU70,19,Male,PE,2b,0,0.5,1,0.9,,,0.7,0.8,0.45,0.65,,,,,,,,-0.1,-0.2
42,LLM_L2WVU70,19,Female,PE,1a,1,5,1,90,,,0.25,0.8,0.75,0.6,,,,,,,,-0.55,0.15
43,LLM_L2WVU70,21,Male,BM,2a,1,45,1,10,,,0.8,0.75,0.7,0.6,,,,,,,,0.05,0.1
44,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.6,0.8,0.7,0.9,,,,,,,,-0.2,-0.2
45,LLM_L2WVU70,24,Male,PE,2b,0,10,0,15,,,0.6,0.8,0.6,0.7,,,,,,,,-0.2,-0.1
46,LLM_L2WVU70,21,Male,BM,1b,1,0.45,1,0.1,,,0.85,0.95,0.6,0.7,,,,,,,,-0.1,-0.1
47,LLM_L2WVU70,19,Female,PE,1a,1,5,0,70,,,0.85,0.8,0.8,0.6,,,,,,,,0.05,0.2
48,LLM_L2WVU70,18,Female,PE,2b,0,0.1,1,0.9,,,0.6,0.8,0.5,0.75,,,,,,,,-0.2,-0.25
49,LLM_L2WVU70,19,Male,PE,1a,1,5,1,90,,,0.8,0.4,0.7,0.3,,,,,,,,0.4,0.4
50,LLM_L2WVU70,19,Female,BM,1b,0,60,1,10,,,0.7,0.85,0.45,0.25,,,,,,,,-0.15,0.2
51,LLM_L2WVU70,20,Female,BM,2a,0,1,1,0.1,,,0.75,0.8,0.65,0.85,,,,,,,,-0.05,-0.2
52,LLM_L2WVU70,20,Male,PE,1a,1,5,0,40,,,,,0.6,0.8,,,,,,,,,-0.2
53,LLM_L2WVU70,19,Other,BM,1b,1,0.45,1,0.1,,,0.6,0.75,0.57,0.83,,,,,,,,-0.15,-0.26
54,LLM_L2WVU70,21,Male,PE,2b,0,0.4,1,0.9,,,0.63,0.85,0.5,0.7,,,,,,,,-0.22,-0.2
55,LLM_L2WVU70,19,Male,BM,2a,0,0.5,1,0.1,,,0.3,0.4,0.7,0.9,,,,,,,,-0.1,-0.2
56,LLM_L2WVU70,18,Female,BM,2a,0,0.5,1,0.1,,,0.73,0.96,0.4,0.89,,,,,,,,-0.23,-0.49
57,LLM_L2WVU70,18,Female,PE,2b,0,0.55,0,1.9,,,1,1,0.4,0.75,,,,,,,,0,-0.35
58,LLM_L2WVU70,20,Female,PE,1a,0,0.5,1,0.9,,,0.85,0.6,0.3,0.7,,,,,,,,0.25,-0.4
59,LLM_L2WVU70,18,Female,BM,1b,0,40,1,10,,,0.67,0.75,0.83,0.92,,,,,,,,-0.08,-0.09
60,LLM_L2WVU70,18,Female,PE,1a,0,0.55,1,0.9,,,0.9,0.9,0.4,0.8,,,,,,,,0,-0.4
61,LLM_L2WVU70,20,Female,BM,1b,1,0.45,1,0.1,,,0.7,0.8,0.3,0.6,,,,,,,,-0.1,-0.3
62,LLM_L2WVU70,31,Female,PE,2b,0,0.6,1,0.9,,,0.7,0.85,0.3,0.4,,,,,,,,-0.15,-0.1
63,LLM_L2WVU70,18,Male,BM,2a,0,1.5,1,0.1,,,0.75,0.9,0.4,0.8,,,,,,,,-0.15,-0.4
64,LLM_L2WVU70,19,Female,PE,2b,0,1,1,90,,,0.6,0.8,0.4,0.35,,,,,,,,-0.2,0.05
65,LLM_L2WVU70,19,Female,BM,1b,0,0.9,1,0.1,,,0.6,0.75,0.45,0.85,,,,,,,,-0.15,-0.4
66,LLM_L2WVU70,22,Male,BM,2a,0,0.5,1,0.1,,,0.8,0.9,0.6,0.7,,,,,,,,-0.1,-0.1
67,LLM_L2WVU70,20,Male,PE,1a,0,50,1,90,,,0.95,0.9,0.6,0.7,,,,,,,,0.05,-0.1
68,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,90,,,0.72,0.65,0.48,0.43,,,,,,,,0.07,0.05
69,LLM_L2WVU70,19,Female,PE,1a,0,10,1,90,,,0.5,0.7,0.5,0.8,,,,,,,,-0.2,-0.3
70,LLM_L2WVU70,18,Male,PE,1a,0,50,1,90,,,0.6,0.64,0.2,0.38,,,,,,,,-0.04,-0.18
71,LLM_L2WVU70,18,Female,BM,1b,0,0.2,1,10,,,0.9,0.75,0.6,0.4,,,,,,,,0.15,0.2
72,LLM_L2WVU70,20,Male,BM,2a,0,1,1,0.1,,,0.85,0.74,0.6,0.73,,,,,,,,0.11,-0.13
73,LLM_L2WVU70,20,Female,BM,2a,0,1.5,1,0.1,,,0.8,1,0.65,0.85,,,,,,,,-0.2,-0.2
74,LLM_L2WVU70,22,Male,BM,1b,0,0.7,1,10,,,0.98,0.9,0.65,0.35,,,,,,,,0.08,0.3
75,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.7,0.85,0.6,0.5,,,,,,,,-0.15,0.1
76,LLM_L2WVU70,20,Female,PE,2b,0,0.4,0,1.5,,,0.85,0.75,0.65,0.6,,,,,,,,0.1,0.05
77,LLM_L2WVU70,19,Female,BM,1b,0,40,1,10,,,0.73,0.86,0.62,0.51,,,,,,,,-0.13,0.11
78,LLM_L2WVU70,20,Male,BM,2a,0,1.5,1,0.1,,,0.8,0.6,0.3,0.5,,,,,,,,0.2,-0.2
79,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.76,0.78,0.43,0.5,,,,,,,,-0.02,-0.07
80,LLM_L2WVU70,19,Male,BM,1b,0,1.4,1,10,,,0.8,0.65,0.7,0.35,,,,,,,,0.15,0.35
81,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,0.9,,,0.75,0.6,0.9,0.85,,,,,,,,0.15,0.05
82,LLM_L2WVU70,19,Male,BM,2a,0,0.5,1,0.1,,,0.75,0.9,0.35,0.65,,,,,,,,-0.15,-0.3
83,LLM_L2WVU70,19,Male,PE,2b,0,30,0,85,,,0.6,0.7,0.5,0.4,,,,,,,,-0.1,0.1
84,LLM_L2WVU70,19,Male,PE,1a,0,1,0,0.6,,,0.5,0.8,0.2,0.9,,,,,,,,-0.3,-0.7
85,LLM_L2WVU70,19,Male,BM,1b,0,60,1,10,,,0.7,0.85,0.4,0.75,,,,,,,,-0.15,-0.35
86,LLM_L2WVU70,19,Male,PE,2b,0,0.1,1,0.9,,,0.3,0.75,0.4,0.68,,,,,,,,-0.45,-0.28
87,LLM_L2WVU70,21,Male,BM,2a,0,14,1,10,,,0.8,0.6,0.5,0.75,,,,,,,,0.2,-0.25
88,LLM_L2WVU70,22,Female,BM,2a,0,1.5,1,0.1,,,0.8,0.65,0.4,0.3,,,,,,,,0.15,0.1
89,LLM_L2WVU70,18,Male,BM,1b,0,70,1,10,,,0.6,0.95,0.4,0.2,,,,,,,,-0.35,0.2
90,LLM_L2WVU70,21,Male,PE,2b,0,10,1,90,,,0.8,0.65,0.7,0.4,,,,,,,,0.15,0.3
91,LLM_L2WVU70,18,Male,PE,1a,0,1,1,0.9,,,0.75,0.64,0.6,0.8,,,,,,,,0.11,-0.2
92,LLM_L2WVU70,18,Male,BM,1b,0,0.9,1,0.1,,,0.64,0.65,0.83,0.75,,,,,,,,-0.01,0.08
93,LLM_L2WVU70,19,Male,PE,1a,0,,1,0.9,,,0.5,0.8,0.3,0.8,,,,,,,,-0.3,-0.5
94,LLM_L2WVU70,18,Male,BM,2a,0,0.5,1,0.1,,,0.75,0.8,0.4,0.6,,,,,,,,-0.05,-0.2
95,LLM_L2WVU70,18,Male,PE,2b,0,0.6,1,0.9,,,0.74,0.85,0.83,0.84,,,,,,,,-0.11,-0.01
96,LLM_L2WVU70,19,Female,BM,2a,1,45,1,10,,,0.8,1,0.6,1,,,,,,,,-0.2,-0.4
97,LLM_L2WVU70,20,Female,PE,2b,0,0.6,0,1.9,,,1,1,0.9,0.85,,,,,,,,0,0.05
98,LLM_L2WVU70,18,Male,PE,1a,1,5,0,45,,,0.8,0.6,0.95,0.7,,,,,,,,0.2,0.25
99,LLM_L2WVU70,19,Female,BM,1b,0,1,1,10,,,0.67,0.83,0.48,0.52,,,,,,,,-0.16,-0.04
100,LLM_L2WVU70,19,Male,BM,2a,0,40,1,10,,,0.55,0.8,0.6,0.75,,,,,,,,-0.25,-0.15
101,LLM_L2WVU70,19,Female,BM,2a,0,0.75,1,0.1,,,0.68,0.85,0.34,0.85,,,,,,,,-0.17,-0.51
102,LLM_L2WVU70,22,Female,BM,1b,0,0.5,1,0.1,,,0.3,0.8,0.4,0.6,,,,,,,,-0.5,-0.2
103,LLM_L2WVU70,18,Male,PE,2b,0,0.1,1,0.9,,,0.6,0.75,0.7,0.5,,,,,,,,-0.15,0.2
104,LLM_L2WVU70,20,Male,PE,1a,1,5,1,90,,,0.98,0.95,0.67,0.93,,,,,,,,0.03,-0.26
105,LLM_L2WVU70,20,Female,BM,1b,0,50,1,10,,,0.8,0.95,0.6,0.4,,,,,,,,-0.15,0.2
106,LLM_L2WVU70,18,Female,BM,2a,0,0.5,1,0.1,,,0.75,0.9,0.63,0.84,,,,,,,,-0.15,-0.21
107,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.78,0.76,0.42,0.7,,,,,,,,0.02,-0.28
108,LLM_L2WVU70,19,Female,PE,2b,0,0.1,1,0.9,,,0.7,0.65,0.78,0.83,,,,,,,,0.05,-0.05
109,LLM_L2WVU70,20,Female,BM,1b,0,1.45,1,10,,,0.6,0.5,0.85,0.9,,,,,,,,0.1,-0.05
110,LLM_L2WVU70,19,Male,PE,1a,1,5,1,90,,,0.6,0.7,0.2,0.4,,,,,,,,-0.1,-0.2
111,LLM_L2WVU70,19,Female,BM,2a,0,0.5,1,0.1,,,0.8,0.7,0.65,0.6,,,,,,,,0.1,0.05
112,LLM_L2WVU70,19,Male,PE,2b,0,,0,,,,0.98,0.75,0.93,0.87,,,,,,,,0.23,0.06
113,LLM_L2WVU70,18,Female,PE,2b,0,55,1,0.9,,,1,0.75,0.9,0.5,,,,,,,,0.25,0.4
114,LLM_L2WVU70,22,Male,BM,1b,0,40,1,10,,,0.85,0.75,0.7,0.6,,,,,,,,0.1,0.1
115,LLM_L2WVU70,19,Male,PE,1a,0,25,0,45,,,0.6,0.8,0.7,0.6,,,,,,,,-0.2,0.1
116,LLM_L2WVU70,19,Female,BM,2a,0,50,1,10,,,0.64,0.87,0.82,0.93,,,,,,,,-0.23,-0.11
117,LLM_L2WVU70,19,Male,BM,1b,0,40,1,10,,,0.75,0.85,0.6,0.3,,,,,,,,-0.1,0.3
118,LLM_L2WVU70,20,Male,PE,1a,1,5,1,0.9,,,0.68,0.74,0.43,0.65,,,,,,,,-0.06,-0.22
119,LLM_L2WVU70,20,Female,PE,2b,0,0.4,1,0.9,,,0.7,0.6,0.8,0.5,,,,,,,,0.1,0.3
120,LLM_L2WVU70,19,Male,BM,2a,0,1.45,1,0.1,,,0.95,0.95,0.7,0.8,,,,,,,,0,-0.1
121,LLM_L2WVU70,18,Female,PE,1a,0,60,1,90,,,0.95,0.93,0.7,0.84,,,,,,,,0.02,-0.14
122,LLM_L2WVU70,19,Male,BM,2a,0,0.5,0,0.05,,,0.85,1,0.75,0.95,,,,,,,,-0.15,-0.2
123,LLM_L2WVU70,19,Female,BM,1b,0,0.5,1,0.1,,,0.65,0.75,0.5,0.8,,,,,,,,-0.1,-0.3
124,LLM_L2WVU70,19,Male,PE,2b,0,0.6,1,0.9,,,0.7,0.85,0.3,0.4,,,,,,,,-0.15,-0.1
125,LLM_L2WVU70,20,Male,BM,1b,0,1,1,0.1,,,0.4,0.5,0.6,0.7,,,,,,,,-0.1,-0.1
126,LLM_L2WVU70,18,Male,BM,2a,0,50,1,10,,,0.75,0.62,0.34,0.87,,,,,,,,0.13,-0.53
127,LLM_L2WVU70,19,Male,PE,1a,1,5,1,90,,,0.85,0.83,0.72,0.84,,,,,,,,0.02,-0.12
128,LLM_L2WVU70,18,Male,PE,1a,0,,1,0.9,,,0.25,0.7,0.6,0.9,,,,,,,,-0.45,-0.3
129,LLM_L2WVU70,32,Female,BM,2a,0,1.45,1,0.1,,,0.6,0.8,0.7,0.85,,,,,,,,-0.2,-0.15
130,LLM_L2WVU70,44,Male,PE,1a,0,0.95,1,0.9,,,0.67,0.6,0.83,0.86,,,,,,,,0.07,-0.03
131,LLM_L2WVU70,27,Male,PE,1a,1,5,1,90,,,0.85,0.9,0.93,0.79,,,,,,,,-0.05,0.14
132,LLM_L2WVU70,33,Male,PE,1a,0,0.1,1,0.9,,,0.95,1,0.8,1,,,,,,,,-0.05,-0.2
133,LLM_L2WVU70,35,Male,PE,1a,0,20,0,40,,,0.9,0.6,0.8,0.75,,,,,,,,0.3,0.05
134,LLM_L2WVU70,37,Male,BM,1b,0,,0,,,,0.98,1,0.65,0.95,,,,,,,,-0.02,-0.3
135,LLM_L2WVU70,23,Male,BM,1b,0,1,1,10,,,0.8,0.95,0.6,0.45,,,,,,,,-0.15,0.15
136,LLM_L2WVU70,29,Male,PE,2b,0,30,0,70,,,0.88,0.64,0.55,0.85,,,,,,,,0.24,-0.3
137,LLM_L2WVU70,26,Male,PE,2b,1,5,0,10,,,0.5,0.5,0.37,0.37,,,,,,,,0,0
138,LLM_L2WVU70,34,Female,BM,1b,0,60,1,10,,,0.7,0.85,0.4,0.75,,,,,,,,-0.15,-0.35
139,LLM_L2WVU70,25,Male,BM,1b,0,50,1,10,,,0.67,0.98,0.2,0.43,,,,,,,,-0.31,-0.23
140,LLM_L2WVU70,34,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2
141,LLM_L2WVU70,37,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.8,0.7,,,,,,,,0.1,0.1
142,LLM_L2WVU70,32,Female,PE,2b,0,0.45,1,0.9,,,0.7,0.6,0.6,0.85,,,,,,,,0.1,-0.25
143,LLM_L2WVU70,31,Female,BM,2a,1,0.45,1,0.1,,,0.78,0.85,0.68,0.81,,,,,,,,-0.07,-0.13
144,LLM_L2WVU70,28,Male,PE,1a,1,5,1,90,,,0.94,0.63,0.74,0.81,,,,,,,,0.31,-0.07
145,LLM_L2WVU70,46,Male,BM,1b,0,0.8,1,0.1,,,0.8,0.95,0.3,0.7,,,,,,,,-0.15,-0.4
146,LLM_L2WVU70,50,Female,PE,2b,1,0.05,0,1.9,,,0.6,0.75,0.45,0.8,,,,,,,,-0.15,-0.35
147,LLM_L2WVU70,27,Female,PE,2b,0,10,1,90,,,0.95,0.85,0.87,0.65,,,,,,,,0.1,0.22
148,LLM_L2WVU70,53,Female,PE,2b,1,0.05,1,0.9,,,0.6,0.8,0.45,0.75,,,,,,,,-0.2,-0.3
149,LLM_L2WVU70,28,Male,PE,2b,0,1,0,1,,,0.75,0.75,0.4,0.5,,,,,,,,0,-0.1
150,LLM_L2WVU70,50,Female,BM,1b,0,30,1,10,,,0.6,0.9,0.5,0.8,,,,,,,,-0.3,-0.3
151,LLM_L2WVU70,38,Male,BM,1b,1,0.45,1,0.1,,,0.9,0.75,0.7,0.65,,,,,,,,0.15,0.05
152,LLM_L2WVU70,32,Male,PE,1a,0,50,1,90,,,0.8,0.7,0.4,0.6,,,,,,,,0.1,-0.2
153,LLM_L2WVU70,47,Female,PE,1a,0,0.5,1,0.9,,,0.9,0.8,0.5,0.75,,,,,,,,0.1,-0.25
154,LLM_L2WVU70,36,Female,BM,2a,0,3,0,1.1,,,0.7,0.8,0.4,0.65,,,,,,,,-0.1,-0.25
155,LLM_L2WVU70,59,Female,BM,1b,0,1,1,10,,,0.75,0.8,0.3,0.6,,,,,,,,-0.05,-0.3
156,LLM_L2WVU70,27,Male,PE,2b,0,0.45,0,0.15,,,0.6,0.8,0.7,0.3,,,,,,,,-0.2,0.4
157,LLM_L2WVU70,29,Female,BM,1b,0,1,1,10,,,0.7,0.8,0.6,0.35,,,,,,,,-0.1,0.25
158,LLM_L2WVU70,33,Female,BM,2a,0,1.5,0,0.05,,,0.75,0.8,0.45,0.65,,,,,,,,-0.05,-0.2
159,LLM_L2WVU70,33,Female,BM,2a,1,45,1,10,,,0.75,0.6,0.85,0.95,,,,,,,,0.15,-0.1
160,LLM_L2WVU70,38,Male,BM,1b,0,0.9,0,5,,,1,0.4,1,0.7,,,,,,,,0.6,0.3
161,LLM_L2WVU70,42,Male,BM,1b,0,50,1,10,,,0.8,0.75,0.4,0.6,,,,,,,,0.05,-0.2
162,LLM_L2WVU70,47,Male,BM,1b,0,1.4,1,0.1,,,0.8,0.95,0.75,0.5,,,,,,,,-0.15,0.25
163,LLM_L2WVU70,30,Female,BM,2a,0,1.45,1,0.1,,,0.8,1,0.67,1,,,,,,,,-0.2,-0.33
164,LLM_L2WVU70,60,Male,PE,1a,0,25,0,40,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2
165,LLM_L2WVU70,26,Male,BM,2a,0,50,1,10,,,0.7,0.8,0.3,0.7,,,,,,,,-0.1,-0.4
166,LLM_L2WVU70,25,Male,BM,2a,0,1,1,10,,,0.7,0.8,0.6,0.5,,,,,,,,-0.1,0.1
167,LLM_L2WVU70,55,Male,PE,1a,0,,1,0.9,,,0.3,0.8,0.72,0.65,,,,,,,,-0.5,0.07
168,LLM_L2WVU70,49,Male,PE,1a,0,60,0,70,,,0.85,0.9,0.3,0.4,,,,,,,,-0.05,-0.1
169,LLM_L2WVU70,30,Male,PE,1a,0,9,1,90,,,0.85,0.7,0.4,0.3,,,,,,,,0.15,0.1
170,LLM_L2WVU70,24,Male,BM,1b,0,50,1,10,,,0.75,0.95,0.4,0.8,,,,,,,,-0.2,-0.4
171,LLM_L2WVU70,38,Male,BM,2a,0,1,1,0.1,,,0.5,0.6,0.7,0.85,,,,,,,,-0.1,-0.15
172,LLM_L2WVU70,22,Male,PE,2b,0,40,1,90,,,0.6,0.75,0.9,0.86,,,,,,,,-0.15,0.04
173,LLM_L2WVU70,27,Male,PE,2b,0,60,1,90,,,0.7,0.8,0.4,0.5,,,,,,,,-0.1,-0.1
174,LLM_L2WVU70,30,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.95,0.8,,,,,,,,0.1,0.15
175,LLM_L2WVU70,25,Female,PE,1a,0,1,0,,,,0,1,0.4,0.95,,,,,,,,-1,-0.55
176,LLM_L2WVU70,25,Male,PE,1a,1,5,1,90,,,0.67,0.83,0.58,0.42,,,,,,,,-0.16,0.16
177,LLM_L2WVU70,46,Male,BM,1b,0,90,1,10,,,0.7,0.75,0.6,0.8,,,,,,,,-0.05,-0.2
178,LLM_L2WVU70,50,Male,PE,2b,0,10,1,90,,,0.7,0.8,0.4,0.6,,,,,,,,-0.1,-0.2
179,LLM_L2WVU70,53,Female,BM,2a,1,0.45,1,0.1,,,0.8,0.6,0.7,0.9,,,,,,,,0.2,-0.2
180,LLM_L2WVU70,27,Male,BM,1b,0,0.8,1,10,,,0.7,0.95,0.3,0.6,,,,,,,,-0.25,-0.3
181,LLM_L2WVU70,36,Female,PE,2b,0,0.45,0,0.85,,,0.85,0.7,0.65,0.8,,,,,,,,0.15,-0.15
182,LLM_L2WVU70,27,Male,PE,2b,0,10,1,90,,,0.9,0.85,0.7,0.6,,,,,,,,0.05,0.1
183,LLM_L2WVU70,26,Male,BM,1b,0,1,1,0.1,,,0.74,0.95,0.6,0.8,,,,,,,,-0.21,-0.2
184,LLM_L2WVU70,27,Female,BM,2a,0,1,1,0.1,,,0.85,0.9,0.6,0.7,,,,,,,,-0.05,-0.1
185,LLM_L2WVU70,54,Male,BM,1b,0,1,1,10,,,0.73,0.86,0.75,0.89,,,,,,,,-0.13,-0.14
186,LLM_L2WVU70,35,Male,PE,2b,0,10,1,0.9,,,0.95,0.4,0.8,0.6,,,,,,,,0.55,0.2
187,LLM_L2WVU70,44,Female,PE,1a,0,25,1,90,,,0.65,0.8,0.7,0.8,,,,,,,,-0.15,-0.1
188,LLM_L2WVU70,35,Female,PE,2b,0,,0,,,,0.4,0.7,0.8,0.6,,,,,,,,-0.3,0.2
189,LLM_L2WVU70,38,Male,BM,2a,0,,0,,,,,,,,,,,,,,,,
190,LLM_L2WVU70,26,Female,BM,1b,0,40,1,10,,,0.75,0.95,0.6,0.8,,,,,,,,-0.2,-0.2
191,LLM_L2WVU70,61,Female,PE,2b,0,0.5,1,0.9,,,0.78,0.85,0.64,0.75,,,,,,,,-0.07,-0.11
192,LLM_L2WVU70,50,Male,PE,1a,0,0.55,1,0.9,,,1,1,0.6,0.8,,,,,,,,0,-0.2
193,LLM_L2WVU70,59,Male,PE,1a,0,0.3,1,0.9,,,0.8,0.6,0.42,0.51,,,,,,,,0.2,-0.09
194,LLM_L2WVU70,39,Male,BM,1b,0,1.4,1,10,,,0.59,0.87,0.31,0.62,,,,,,,,-0.28,-0.31
195,LLM_L2WVU70,37,Male,BM,2a,0,1,1,0.1,,,0.8,0.6,0.45,0.7,,,,,,,,0.2,-0.25
196,LLM_L2WVU70,29,Male,BM,2a,0,3,1,0.1,,,0.85,0.84,0.6,0.67,,,,,,,,0.01,-0.07
197,LLM_L2WVU70,27,Male,BM,1b,0,40,1,10,,,0.8,0.95,0.7,0.6,,,,,,,,-0.15,0.1
198,LLM_L2WVU70,31,Male,PE,1a,0,0.55,1,0.9,,,0.7,0.8,0.4,0.6,,,,,,,,-0.1,-0.2
199,LLM_L2WVU70,26,Male,PE,2b,0,30,1,90,,,0.75,0.75,0.6,0.8,,,,,,,,0,-0.2
200,LLM_L2WVU70,35,Male,BM,2a,0,0.4,1,0.1,,,0.6,0.8,0.7,0.95,,,,,,,,-0.2,-0.25
201,LLM_L2WVU70,25,Male,BM,2a,0,0.9,1,10,,,0.7,0.8,0.4,0.5,,,,,,,,-0.1,-0.1
202,LLM_L2WVU70,25,Male,PE,1a,0,10,1,90,,,0.9,0.8,0.7,0.95,,,,,,,,0.1,-0.25
203,LLM_L2WVU70,42,Male,PE,1a,0,50,0,45,,,0.8,0.7,0.65,0.6,,,,,,,,0.1,0.05
