Subject,Dataset,Age,Age_break_new,Age_break,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,5,1,0.9,-999,-999,0.65,0.8,0.4,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.65,0.85,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.92,0.85,0.65,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.6,0.98,0.2,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.75,0.95,0.5,0.925,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.8,0.95,0.65,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,1,0.9,-999,-999,0.8,1,0.45,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,0,-999,-999,-999,0.75,0.9,0.8,0.755,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.5,1,0.1,-999,-999,0.85,0.9,0.6,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,90,0,0,-999,-999,0.85,0.75,0.65,0.19,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.2,1,0.1,-999,-999,1,1,0.7,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.9,0.95,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.85,0.85,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.95,0.75,0.6,0.35,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,5,1,90,-999,-999,1,1,0.7,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,10,1,10,-999,-999,0.5,1,0.85,0.99,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.76,0.88,0.35,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,50,1,10,-999,-999,0.78,0.85,0.97,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.65,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.85,0.7,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,1,90,-999,-999,0.85,0.6,0.75,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.9,1,0.4,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.95,0.99,0.25,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.8,0.95,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.4,1,0.1,-999,-999,0.9,0.99,0.85,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,50,1,10,-999,-999,1,1,0.8,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.67,0.83,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.75,0.9,0.65,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,1,90,-999,-999,0.75,0.5,0.95,0.4,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.8,0.85,0.6,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.85,1,0.7,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,1,0.1,-999,-999,0.75,1,0.6,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,50,1,10,-999,-999,0.8,0.75,0.65,0.35,-999,-999,-999,-999,-999,-999,-999,-999,-999
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,45,1,10,-999,-999,0.87,0.95,0.75,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.5,1,0.1,-999,-999,1,1,0.85,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.85,0.9,0.3,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.95,0.3,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.9,1,0.1,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,0.95,0.5,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,1,90,-999,-999,0.6,0.85,0.1,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.68,1,0.23,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,1,90,-999,-999,1,1,0.6,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,1,90,-999,-999,1,0.8,0.7,0.4,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,90,1,10,-999,-999,0.5,1,0.65,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,60,1,10,-999,-999,0.7,0.9,0.8,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.8,0.9,0.5,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,0,-999,-999,-999,1,0.7,0.65,0.35,-999,-999,-999,-999,-999,-999,-999,-999,-999
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.5,0.8,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.75,0.85,0.5,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.9,1,0.9,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,5,1,90,-999,-999,0.99,0.85,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,-999,1,10,-999,-999,0,1,0.25,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,1,0.1,-999,-999,0.85,0.9,0.35,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,1,1,0.1,-999,-999,0.98,0.95,0.67,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.9,1,10,-999,-999,1,0.85,0.2,0.72,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,1,90,-999,-999,0.9,0.8,0.5,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,1,90,-999,-999,0.95,0.98,0.675,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,5,1,90,-999,-999,0.95,1,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,1,0.9,-999,-999,1,0.85,0.9,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.4,0.5,0.2,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.99,0.7,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.99,0.95,0.4,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.7,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,45,1,10,-999,-999,0.9,0.95,0.8,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.6,1,10,-999,-999,0.9,1,0.4,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.95,1,0.1,-999,-999,0.98,0.95,0.65,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,1,0.1,-999,-999,1,1,0.8,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,0,0.5,1,0.9,-999,-999,0.45,0.95,0.275,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.6,0.75,0.4,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.85,0.95,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.3,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,1,90,-999,-999,0.5,0.5,0.7,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,1,90,-999,-999,0.95,1,0.55,0.99,-999,-999,-999,-999,-999,-999,-999,-999,-999
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,1,90,-999,-999,0.95,1,0.49,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,1,0.9,-999,-999,0.95,1,0.6,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.6,0.8,0.5,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,0,0.6,1,0.1,-999,-999,0.75,1,0.25,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.9,1,0.7,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.97,1,0.9,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.6,1,0.65,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.75,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.9,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,0,0.1,1,0.9,-999,-999,0.99,0.85,0.75,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,1,10,-999,-999,0.7,1,0.6,0.875,-999,-999,-999,-999,-999,-999,-999,-999,-999
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.8,1,0.65,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,30,1,10,-999,-999,0.9,0.98,0.75,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,0.3,1,10,-999,-999,0.95,0.85,0.65,0.45,-999,-999,-999,-999,-999,-999,-999,-999,-999
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,1,1,0.9,-999,-999,0,1,0.05,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,1,0.9,-999,-999,0.8,0.85,0.5,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,1,0.9,-999,-999,0.9,1,0.49,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,0.95,0.3,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,20,1,10,-999,-999,0.7,0.8,0.4,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,0.5,1,10,-999,-999,0.8,1,0.4,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,1,10,-999,-999,0.8,0.75,0.3,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,1,0.1,-999,-999,1,0.85,0.65,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.6,0.9,0.6,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.75,1,0.45,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.85,0.95,0.7,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.87,0.98,0.6,0.91,-999,-999,-999,-999,-999,-999,-999,-999,-999
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,1,90,-999,-999,0.5,0.75,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,1,90,-999,-999,0.8,0.99,0.2,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.9,1,0.4,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.95,0.9,0.7,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.95,1,0.9,-999,-999,0.6,0.4,0.75,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.75,1,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,1,90,-999,-999,0.9,0.7,0.4,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.95,1,0.35,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,40,1,10,-999,-999,-999,1,0.75,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,-999,1,0.1,-999,-999,0.4,0.9,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,1,0.1,-999,-999,0.75,1,0.8,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,1,0.1,-999,-999,1,1,0.95,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.7,0.85,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.85,1,0.1,-999,-999,0.9,0.7,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.7,0,0,-999,-999,0.95,1,0.35,0.05,-999,-999,-999,-999,-999,-999,-999,-999,-999
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.85,1,0.1,-999,-999,0.96,0.97,0.95,0.93,-999,-999,-999,-999,-999,-999,-999,-999,-999
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.5,1,0.6,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.67,1,0.1,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,0.75,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.5,1,0.9,-999,-999,1,1,0.35,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,90,1,1,-999,-999,0.7,1,0.55,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.5,1,10,-999,-999,0.85,1,0.5,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.6,1,10,-999,-999,0.925,0.8,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,2,1,0.1,-999,-999,0.98,0.85,0.675,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.5,1,10,-999,-999,0.8,0.99,0.5,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,1,0.1,-999,-999,0.95,1,0.67,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,1,10,-999,-999,0.95,0.75,0.85,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.85,0,0,-999,-999,0.98,0.93,0.5,0.675,-999,-999,-999,-999,-999,-999,-999,-999,-999
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,0.8,1,0.6,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,0,20,-999,-999,0.8,0.95,0.45,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,1,90,-999,-999,0.8,0.9,0.4,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,1,0.9,-999,-999,1,1,0.4,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.6,0.85,0.7,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,90,-999,-999,1,1,0.6,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.75,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
