Subject,Dataset,Age,Age_break_new,Age_break,Gender,StandardProblem,CBType,Accuracy,Response,ProblemType
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,Standard
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
30,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.95,Standard
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,Standard
31,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,40,Standard
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,-999,Standard
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
32,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,Standard
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.85,Standard
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.7,Standard
33,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.85,Standard
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
34,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.5,Standard
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,90,Standard
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.5,Standard
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.6,Standard
35,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,2,Standard
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.5,Standard
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,Standard
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,Standard
36,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.85,Standard
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,Standard
37,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
38,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
39,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,Standard
39,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,35,Standard
39,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,0.9,Standard
39,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,Standard
40,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,Standard
40,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,0,40,Standard
40,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,45,Standard
40,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,0,0.4,Standard
41,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
41,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
41,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
41,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,5,Standard
42,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
42,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
42,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
42,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
43,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,2a,0,0.9,Standard
43,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
43,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
43,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
44,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,0,0.9,Standard
44,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,1,0.45,Standard
44,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,0,0.75,Standard
44,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,1,0.45,Standard
45,MIXTRAL,24,Age_22_24,Age_23_24,Male,PE,2b,0,10,Standard
45,MIXTRAL,24,Age_22_24,Age_23_24,Male,PE,2b,1,0.05,Standard
45,MIXTRAL,24,Age_22_24,Age_23_24,Male,PE,2b,1,0.05,Standard
45,MIXTRAL,24,Age_22_24,Age_23_24,Male,PE,2b,1,0.05,Standard
46,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,1b,0,0.7,Standard
46,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,1b,1,0.45,Standard
46,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,1b,1,0.45,Standard
46,MIXTRAL,21,Age_20_21,Age_20_22,Male,BM,1b,0,2,Standard
47,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
47,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.5,Standard
47,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
47,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,Standard
48,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
48,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
48,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
48,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
49,MIXTRAL,19,Age_19,Age_19,Male,PE,1a,0,0.1,Standard
49,MIXTRAL,19,Age_19,Age_19,Male,PE,1a,0,0.1,Standard
49,MIXTRAL,19,Age_19,Age_19,Male,PE,1a,1,0.05,Standard
49,MIXTRAL,19,Age_19,Age_19,Male,PE,1a,0,0.1,Standard
50,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
50,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,10,Standard
50,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
50,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
51,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,0,0.1,Standard
51,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,0,0.9,Standard
51,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,0,0.9,Standard
51,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,0,0.9,Standard
52,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,1,0.05,Standard
52,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,1,0.05,Standard
52,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,0,0.1,Standard
52,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,0,0.9,Standard
53,MIXTRAL,19,Age_19,Age_19,Other,BM,1b,1,0.45,Standard
53,MIXTRAL,19,Age_19,Age_19,Other,BM,1b,1,0.45,Standard
53,MIXTRAL,19,Age_19,Age_19,Other,BM,1b,1,0.45,Standard
53,MIXTRAL,19,Age_19,Age_19,Other,BM,1b,0,0.4,Standard
54,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
54,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,5,Standard
54,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
54,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
55,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,Standard
55,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,Standard
55,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.7,Standard
55,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,Standard
56,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
56,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,0,0.5,Standard
56,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,0,50,Standard
56,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
57,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
57,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
57,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
57,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
58,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,1a,1,0.05,Standard
58,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,1a,1,0.05,Standard
58,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,1a,0,10,Standard
58,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,1a,0,0.1,Standard
59,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
59,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
59,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
59,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.5,Standard
60,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,Standard
60,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,Standard
60,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,1,Standard
60,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,Standard
61,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,1b,1,45,Standard
61,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,1b,1,0.45,Standard
61,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,1b,1,0.45,Standard
61,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,1b,1,0.45,Standard
62,MIXTRAL,31,Age_29_33,Age_30_35,Female,PE,2b,0,0.1,Standard
62,MIXTRAL,31,Age_29_33,Age_30_35,Female,PE,2b,1,0.05,Standard
62,MIXTRAL,31,Age_29_33,Age_30_35,Female,PE,2b,1,0.05,Standard
62,MIXTRAL,31,Age_29_33,Age_30_35,Female,PE,2b,1,0.05,Standard
63,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,1,0.45,Standard
63,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,1,0.45,Standard
63,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,1,0.45,Standard
63,MIXTRAL,18,Age_18,Age_18,Male,BM,2a,0,60,Standard
64,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
64,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.9,Standard
64,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
64,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,5,Standard
65,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
65,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
65,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
65,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
66,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,2a,1,0.45,Standard
66,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,2a,1,0.45,Standard
66,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,2a,0,0.4,Standard
66,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,2a,1,0.45,Standard
67,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,1,0.05,Standard
67,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,0,0.9,Standard
67,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,1,5,Standard
67,MIXTRAL,20,Age_20_21,Age_20_22,Male,PE,1a,1,0.05,Standard
68,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,0,10,Standard
68,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,0,0.1,Standard
68,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
68,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
69,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
69,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,Standard
69,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
69,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
70,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,Standard
70,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
70,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
70,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
71,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,45,Standard
71,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
71,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
71,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,1.4,Standard
72,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,0.9,Standard
72,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
72,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,45,Standard
72,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,0.9,Standard
73,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,1,0.45,Standard
73,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,1,0.45,Standard
73,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,0,0.9,Standard
73,MIXTRAL,20,Age_20_21,Age_20_22,Female,BM,2a,1,0.45,Standard
74,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,1b,1,0.45,Standard
74,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,1b,1,0.45,Standard
74,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,1b,1,0.45,Standard
74,MIXTRAL,22,Age_22_24,Age_20_22,Male,BM,1b,0,1,Standard
75,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,Standard
75,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
75,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
75,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,Standard
76,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
76,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
76,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
76,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
77,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
77,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
77,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,30,Standard
77,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,90,Standard
78,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,90,Standard
78,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
78,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,0.9,Standard
78,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
79,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,10,Standard
79,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,Standard
79,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.95,Standard
79,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,Standard
80,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,Standard
80,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,Standard
80,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,50,Standard
80,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,Standard
81,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,Standard
81,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,5,Standard
81,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,5,Standard
81,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,Standard
82,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,1,Standard
82,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,Standard
82,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,10,Standard
82,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,0.9,Standard
83,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
83,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
83,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
83,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
84,MIXTRAL,19,Age_19,Age_19,Male,PE,1a,1,0.05,Standard
