Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
141,LLM_MIX8X7B_T13,37,Female,PE,1a,1,0.05,1,0.9,,,0.0005,,0.011,0.75,,,,,,,,,-0.739,1.3
142,LLM_MIX8X7B_T13,32,Female,PE,2b,1,0.05,1,0.9,,,0.6,1,0.75,0.95,,,,,,,,-0.4,-0.2,1.3
143,LLM_MIX8X7B_T13,31,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.8,0.9,,,,,,,,0,-0.1,1.3
144,LLM_MIX8X7B_T13,28,Male,PE,1a,0,10,0,2.9,,,1,1,,-0.8,,,,,,,,0,,1.3
145,LLM_MIX8X7B_T13,46,Male,BM,1b,1,45,1,10,,,0.75,0.98,0.05,0.8,,,,,,,,-0.23,-0.75,1.3
146,LLM_MIX8X7B_T13,50,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.85,0.95,,,,,,,,0,-0.1,1.3
147,LLM_MIX8X7B_T13,27,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.6,-0.9,,,,,,,,0,1.5,1.3
148,LLM_MIX8X7B_T13,53,Female,PE,2b,1,0.05,1,0.9,,,1,0.85,0.6,0.4,,,,,,,,0.15,0.2,1.3
149,LLM_MIX8X7B_T13,28,Male,PE,2b,0,1,1,0.9,,,1,0.95,0.95,0.95,,,,,,,,0.05,0,1.3
150,LLM_MIX8X7B_T13,50,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.7,0.8,,,,,,,,0,-0.1,1.3
151,LLM_MIX8X7B_T13,38,Male,BM,1b,1,0.45,1,0.1,,,0.95,0.99,0.65,0.75,,,,,,,,-0.04,-0.1,1.3
152,LLM_MIX8X7B_T13,32,Male,PE,1a,1,0.05,0,2,,,0.97,0.75,0.3,0.4,,,,,,,,0.22,-0.1,1.3
153,LLM_MIX8X7B_T13,47,Female,PE,1a,0,0.1,1,0.9,,,0.95,0.95,0.5,0.75,,,,,,,,0,-0.25,1.3
154,LLM_MIX8X7B_T13,36,Female,BM,2a,0,2.5,1,0.1,,,0.8,0.9,0.75,-0.9,,,,,,,,-0.1,1.65,1.3
155,LLM_MIX8X7B_T13,59,Female,BM,1b,1,0.45,1,0.1,,,0.8,1,0.6,0.7,,,,,,,,-0.2,-0.1,1.3
156,LLM_MIX8X7B_T13,27,Male,PE,2b,0,,1,0.9,,,1,1,0.9,0.9,,,,,,,,0,0,1.3
157,LLM_MIX8X7B_T13,29,Female,BM,1b,1,0.45,1,0.1,,,0.6,0.9,0.3,0.7,,,,,,,,-0.3,-0.4,1.3
158,LLM_MIX8X7B_T13,33,Female,BM,2a,1,0.45,1,0.1,,,0.8,1,0.7,0.65,,,,,,,,-0.2,0.05,1.3
159,LLM_MIX8X7B_T13,33,Female,BM,2a,0,0.7,0,1,,,0.85,0.9,0.4,0.25,,,,,,,,-0.05,0.15,1.3
160,LLM_MIX8X7B_T13,38,Male,BM,1b,1,0.45,1,0.1,,,0.95,1,0.7,0.65,,,,,,,,-0.05,0.05,1.3
161,LLM_MIX8X7B_T13,42,Male,BM,1b,0,0.9,1,0.1,,,0.98,0.95,0.65,0.8,,,,,,,,0.03,-0.15,1.3
162,LLM_MIX8X7B_T13,47,Male,BM,1b,1,45,1,10,,,0.9,0.99,0.02,0.95,,,,,,,,-0.09,-0.93,1.3
163,LLM_MIX8X7B_T13,30,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.6,0.75,,,,,,,,0,-0.15,1.3
164,LLM_MIX8X7B_T13,60,Male,PE,1a,1,5,1,90,,,0.95,1,0.2,0.9,,,,,,,,-0.05,-0.7,1.3
165,LLM_MIX8X7B_T13,26,Male,BM,2a,1,0.45,1,0.1,,,0.8,1,0.5,0.75,,,,,,,,-0.2,-0.25,1.3
166,LLM_MIX8X7B_T13,25,Male,BM,2a,0,3,1,10,,,1,0.95,0.3,0.7,,,,,,,,0.05,-0.4,1.3
167,LLM_MIX8X7B_T13,55,Male,PE,1a,0,0.9,1,0.9,,,1,1,0.2,0.5,,,,,,,,0,-0.3,1.3
168,LLM_MIX8X7B_T13,49,Male,PE,1a,1,5,1,90,,,1,1,0.75,0.8,,,,,,,,0,-0.05,1.3
169,LLM_MIX8X7B_T13,30,Male,PE,1a,1,0.05,1,0.9,,,0.99,0.99,0.5,0.8,,,,,,,,0,-0.3,1.3
170,LLM_MIX8X7B_T13,24,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.7,0.95,,,,,,,,0,-0.25,1.3
171,LLM_MIX8X7B_T13,38,Male,BM,2a,1,0.45,1,0.1,,,0.7,0.8,0.3,0.6,,,,,,,,-0.1,-0.3,1.3
172,LLM_MIX8X7B_T13,22,Male,PE,2b,0,10,1,0.9,,,0.9,0.85,0.3,0.5,,,,,,,,0.05,-0.2,1.3
173,LLM_MIX8X7B_T13,27,Male,PE,2b,1,0.05,1,0.9,,,0.8,1,0.4,0.5,,,,,,,,-0.2,-0.1,1.3
174,LLM_MIX8X7B_T13,30,Male,PE,1a,0,0.95,1,90,,,0.009,,0.5,0.6,,,,,,,,,-0.1,1.3
175,LLM_MIX8X7B_T13,25,Female,PE,1a,0,0.1,1,90,,,0.9,0.8,0.7,0.5,,,,,,,,0.1,0.2,1.3
176,LLM_MIX8X7B_T13,25,Male,PE,1a,1,0.05,1,0.9,,,0.76,0.87,0.5,0.75,,,,,,,,-0.11,-0.25,1.3
177,LLM_MIX8X7B_T13,46,Male,BM,1b,0,3.3,0,,,,1,0.98,0.98,0.95,,,,,,,,0.02,0.03,1.3
178,LLM_MIX8X7B_T13,50,Male,PE,2b,1,0.05,1,0.9,,,0.6,0.9,0.1,0.9,,,,,,,,-0.3,-0.8,1.3
179,LLM_MIX8X7B_T13,53,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.7,0.85,,,,,,,,0,-0.15,1.3
180,LLM_MIX8X7B_T13,27,Male,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.6,0.8,,,,,,,,0,-0.2,1.3
181,LLM_MIX8X7B_T13,36,Female,PE,2b,1,0.05,1,0.9,,,0.9,1,0.35,0.8,,,,,,,,-0.1,-0.45,1.3
182,LLM_MIX8X7B_T13,27,Male,PE,2b,1,0.05,1,0.9,,,0.95,0.85,0.75,0.65,,,,,,,,0.1,0.1,1.3
183,LLM_MIX8X7B_T13,26,Male,BM,1b,0,2,1,10,,,,0.95,0.75,0.85,,,,,,,,,-0.1,1.3
184,LLM_MIX8X7B_T13,27,Female,BM,2a,0,2,0,1.1,,,0.95,0.95,0.5,0.8,,,,,,,,0,-0.3,1.3
