Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
13,,1b,BM,0,,0,,"Fifty cents. Since two dollars were added to the price of the banana, the banana must have cost half as much or fifty cents.",1,0.1,1,0.1,"$.10. Since a dollar was spent on the pencil, this must be what is left over for the eraser, or .10 cents.",1,100%. I am totally sure that the banana cost fifty cents.,1,100%. I am totally sure that the eraser cost ten cents.,0.85,"85%. Though it may seem like an easy question, I can imagine some people getting confused by the wording. However, if they think about it carefully, I feel like most should be able to come up with the correct answer.",1,100%. I believe everyone who understands the question will know that the answer is ten cents.
14,,2b,PE,1,0.05,1,0.05,0.05,1,0.9,1,0.9,0.90,0.85,85,0.9,90,0.3,30,0.6,60
15,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,1,100%,0.8,80%,0.7,70%,0.4,40%
16,,2a,BM,0,90,0,90,90 cents,1,10,1,10,10 cents.,0.5,50%.  I'm guessing that I did this right but I feel like there is something I am missing here.,1,I am very confident (100%) in my response.,0.65,Maybe around 65%.,0.8,80%.
17,,2b,PE,1,0.05,0,1.05,Eraser = $.05 Pencil = $1.05,1,0.9,1,0.9,$0.90,0.75,75,0.85,85,0.5,50,0.6,60
18,,1b,BM,0,2,0,90,"Well, first let me see... If the mag costs 2 dollars more then the banana it means the mag costs 4.90 and the banana costs .90 or 90 cents. Right?",1,10,0,1.1,10 cents. I got this answer by subtracting 1 from 1.10.,1,"Definitely! My math is perfect today. So, a 100%.",0.85,"I am pretty sure about my answer. So, like, an 85%.",0.2,"Not many probably, so I think maybe about 20%.",0.72,Probably more than half but less than 9 out of 10 people. About 72%.
19,,1a,PE,0,10,0,1.1,"Eraser: 10c, Pencil: $1.00. Therefore, Total: $1.10.",1,90,1,90,Banana: 90c.,0.95,"I am totally confident that my answer was correct! So I guess this means I would give it about 95%, just because nothing in life can be absolutely certain. ;-)",0.98,Definitely 98%. :),-0.75,"Based on experience with others answering similar types of questions, I would guess about half will get it wrong initially. I will generously estimate about 60% or so will eventually come to see their initial errors. Of these, many may only solve it after being told the solution or shown why they were wrong. All considered, perhaps 65-75%. However, even those who know the solution often have difficulty explaining why their first inclination was incorrect - something that is true for many math and logic puzzles. This is because much of our intuition does not always follow the rules of formal reasoning.",0.9,"Perhaps closer to 90%, though undoubtedly some might still be influenced by their answer on the previous question."
20,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99%,0.95,95%,0.4,40%,0.75,75%
21,,1b,BM,0,2,0,0.95,"Well, I thought about using the same method as the first one but realized that wasn't going to work so here goes.... Banana= x, Magazine = x +2 2x+2 = 2.90 -> x + 2 = 1.95 -> X = .95/100p * 100 = $0.95 for the banana",0,1,1,0.1,"ten cents. I got that by subtracting 1 from $1.10, which gave me .10 or ten cents.",0.98,98%,0.95,"95%, just want to be sure.",0.65,"Maybe 65%, its harder than the first question.",0.9,90%.
22,,2b,PE,0,1,0,1.1,If the pencil costs $1 more than the eraser then the eraser costs $.50 and the pencil would be $1.50 but the total cost for both items would only be $1.10 so something doesn't add up here.,1,0.9,1,0.9,The banana cost $0.90,0.45,"Well, I know there's an issue with the numbers because they don't work out right but assuming everything works as it should then the eraser cost would have been $0.35 if the statement about the relationship between their individual cost was true but since they don't add up to what's expected, I'm at 45%.",0.95,95%.  It was pretty straight forward so I'm mostly sure that my answer is correct.,0.011,This seems like an impossible math problem. Only a small fraction of people would come to a correct solution so maybe around 25-30%.  It doesn't make sense that the answer is expected to equal $1.10 so my guess is most folks just give up and pick some arbitrary amount for the eraser and hope the pencil matches up.,0.9,I think around 90% of people answered it correctly. It wasn't that difficult.
23,,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.5,50%,0.5,50%,0.7,70%,0.6,60%
24,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.6,60,0.8,80,0.5,50,0.6,60
25,,2b,PE,1,0.05,1,0.05,Eraser cost $.05 (answer to the problem),1,0.9,1,0.9,Banana costs $.90 (answer to the problem),0.9,90 (confidence in answer),0.9,90 (confidence in answer),0.3,30 (percentage of people who would get it right),0.5,50 (percentage of people who would get it right)
26,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.65,65%,0.85,85%
27,,2b,PE,0,0.1,0,1,"This question is trickier then the last one because we must add and also find out the value of one dollar over the eraser. Let me try this. If the pencil cost a dollar, then that will make the eraser $0.10, so if its $1 more expensive than that, then the eraser costs nothing. It's free with purchase of a pen.",1,0.9,1,0.9,"$.90, the magazine costed $2 which means that whatever amount it left will be for the banana which makes the price of the banana to be $.90",0.9,"I think 90%, there could be some way to look at it differently but my interpretation seems sound",1,"100%, I used subtraction as a way to get my answer and the two numbers that were given where subtracted from each other which is the only logical thing to do.",,"Maybe less than half. Because for most people, when they hear the word 'more' they usually interpret that as an addition rather than subtraction",0.6,I believe about 50% to 60% of the population would know the right answer.
28,,1b,BM,0,,0,,Fifty cents,0,,0,,ten cents,0.8,80%,0.001,100%. I know for certain that it's $0.10.,0.4,Less than half - maybe only around 40%. This question seems more complex.,0.9,"At least 75%, maybe even all people will give the right answer, so I put 90%."
29,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85,0.95,95,0.7,70,0.6,60
30,,1a,PE,1,0.05,0,1.1,$.05 because if you add $1.05 and $.05 you get $1.10.,1,0.9,1,0.9,"$.90.  Because if you subtract $2 from $2.90, then you will find out the answer is $.90.",0.9,"I am pretty confident, about 90%.",1,Very sure.  I feel totally positive.  100%.,0.4,Probably less than half.  About 40% at the most.,0.5,Maybe half or more because it is easier and they can just figure that the difference between $2.90 and $2 is equal to $.90.  At least 50%.
31,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.9,90%,0.7,70%,0.4,40%,0.85,85%
32,,1b,BM,1,0.45,0,0.9,"$.45 cents because you would subtract two dollars from the total amount, leaving you with .90 cents, then divide by two in order to find out how much each item costs individually.",1,0.1,1,0.1,"$.10. Most people answer this question as quickly as the first one because they use intuitive thinking to add 1 and .10, however the real answer is that there was a sale so both items were actually marked down.  The store owner wanted to get rid of some merchandise. You can see this if you start to consider all possibilities and think more critically about it instead of jumping to an obvious conclusion.",1,"100%. This type of math problem has been taught in schools for decades now, so even if someone doesn't have formal education beyond high school, they should still be able to solve this question without any issues whatsoever as long as they paid attention during their algebra classes.  It is basic algebra and I am quite proficient at it.",0.32,"100%. I'm very good at critical thinking when presented with math problems like these.  My score on my ACT test for Math was a 32, which is in the top percentile for scores on standardized tests.",0.95,"At least 95%, provided that all participants took their time and thought critically about solving the problem instead of rushing through it.  Some people might make simple arithmetic errors due to carelessness but those mistakes can easily be corrected once pointed out.",0.98,"98%, unless they don't read or understand the directions and skip over it."
33,,2a,BM,0,0.7,0,0.7,.70 cents (entered as 0.70),0,1,0,1,"This question seems familiar! It is a trap. The first question was trying to get me off guard and make me give a similar answer here. That isn’t true. Here, if the pencil costs 1 dollar, then the eraser is free! So my final answer is that the eraser has no cost at all!",0.95,"I am 95% confident that this answer is correct, even though it seems low.  Is that too high?",0.01,"100% (entered as 1). I’m not kidding or joking around when I say that the eraser has no cost at all. I did some hard thinking on this question because of the first question and figured out it was a trick, so now I feel more prepared for this kind of question than I ever have before.",0.35,35%,0.05,"Only a few people would figure it out, but there might be something wrong with their brain like there is mine. Maybe they saw through it too easily. So let’s go with just 5%, even though that seems low."
34,,2b,PE,1,0.05,0,1.1,Eraser = $.05; Pencil = $.10; TOTAL=$1.10 (answer obtained incorrectly),1,0.9,1,0.9,$.90 (answer obtained correctly),1,100% (confidence expressed incorrectly),0.75,75%,0.4,40%,0.6,60%
35,,1b,BM,0,2.5,0,2.5,"This time I’d say that the banana costs fifty cents, while the magazine then costs $2.50. That is, I know the difference in their individual costs must be exactly two dollars; the most straightforward calculation for finding both answers would involve solving twenty-five divided by five. I suppose my rationale for answering in this way has been influenced somewhat by the previous problem—as I am already aware the answer to the first question must involve a simple calculation involving decimals and whole numbers.",0,,0,,"Ten cents, because the question states that a pencil and an eraser cost one dollar ten cents total and the pencil costs a dollar alone, so the eraser must be worth the remainder.",0.85,"As I have just mentioned, the solution for the previous problem appears to have informed this one. Even without this influence, however, I still believe I arrived at the correct answer due to basic knowledge of mathematics and my understanding of word problems. I feel quite confident, then—perhaps around 85%, give or take.",1,"I am 100% confident in my answer because the problem explicitly gave two prices, which led me to subtract the smaller price from the larger price.  I cannot fathom another way to correctly approach this problem other than what I have described.",,"Based on past experience with similar sorts of questions, I think at least half of the participants will arrive at the right answer. Because of certain assumptions made about the values involved—namely, that they represent the same currency—I’d be tempted to suggest as many as three-quarters. However, some individuals might be confused regarding the value of the magazine and banana, perhaps mistakenly believing there exists some other relationship between their costs; for these reasons, then, I shall play it safe and say maybe sixty percent.",0.9,"I suspect at least 90% answered correctly. I do believe some participants will assume that there is some sort of hidden trick involved with this problem, or may solve the problem using incorrect methods, such as dividing one dollar by twelve-hundredths of a dollar instead of simple subtraction."
36,,2a,BM,0,0.85,0,0.85,".85cents because if I subtracted two dollars off the price, it would be the total cost minus one dollar, so that's a quarter for the difference.",0,1,1,0.1,"Uh... it's free. 1.00 - .10 is one dollar, which would mean the original question was incorrect.",0.98,98%.,0.93,Well I'm pretty certain. Let me say 93%.,,About half maybe.,0.05,"It depends on if they realize there is an error in the math given earlier. If they do, then probably a lot. 65-70%. But most aren't going to think about it twice so it might only be about 5%."
37,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.8,I'm 80 percent sure that it is right,0.9,I'm about 90 percent sure because I double checked my work,0.011,40%. Not many people are able to think about subtracting .10 from 1.10 first before thinking about adding anything,-0.7,60-70%
38,,2b,PE,1,0.05,0,1.05,Eraser=$0.05 and Pencil=$1.05,1,0.9,1,0.9,$.90,1,100%,0.95,95%,0.75,This is again pretty simple so I expect a good share to solve it correct which should be above 75%,,I would say at least half since I assume that most can solve such an easy task
39,,1b,BM,1,0.45,1,0.45,.45 cents,1,0.1,1,0.1,.10 cents,0.9,"I am quite sure, but there is a tiny bit of uncertainty.  I would say about 90% sure.",1,I am totally sure.  100%.,0.25,"I think very few will be able to solve this one. Maybe about 25%, but no higher.",0.5,About 50% or less.
40,,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,0.75,75%,0.95,95%,0.65,65%,0.5,50%
41,,2b,PE,1,0.05,1,0.05,$0.05 for eraser,1,0.9,1,0.9,$.90,1,100% I understand algebraic concepts including the solving for variables with equations.,1,100%. I know basic addition and subtraction.,0.7,This question requires the use of algebraic concepts so fewer people should get it correct. Perhaps about 70%.,0.95,About 95% as there will always be some outliers who give an incorrect answer or do not pay attention
42,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,$0.90 cents,0.6,60%,0.8,80%,0.5,50%,0.3,30%
43,,2a,BM,0,0.9,0,0.9,The banana cost $0.90 since it's two dollars less than what a magizine cost,1,0.1,1,10,".10 cents because the pencil costs one dollar, so when they said the price of both the pencil and eraser was $1.10 cents the difference would be the erasers price which would only be 10 cents.",0.75,75,1,100%,0.5,50%,0.95,95%
44,,2a,BM,1,0.45,1,0.45,"I know this is a trick question but my intuition is that it's .45 cents and that the question writers expect me to answer .90 cents or something like that so I'll go with .45 cents as my first response then consider other options, if any.",0,1.1,1,0.1,"This one should be easy enough, just subtract the price of the pencil from the combined price.  So $1.10 - $1 = $.10.  While there could always be errors in computation, I'm fairly confident about this response.",0.029,"75%.  While I'm pretty sure about this, there are still nagging doubts since I didn't actually do any calculations here...it was mostly an instinctive reaction based on having heard similar questions before where the trick is to set the value of the magazine at x and the banana at x -2 then sum to see if the two numbers match the given total price of $2.90; in this case that would be $2.10 + .80 = $2.90 so, assuming no errors in computation, I think I can trust the result though I'd like to see if others have different takes on it.",0.95,"95%.  Barring any errors in computation, I feel very sure about this answer since it involves only basic arithmetic and no tricky wording like before.",0.009,"85%.  My guess is that many will fall into the trap of simply subtracting $2 from the total cost and arriving at $0.90 for the banana which means they will overlook the need for subtraction when dealing with the prices rather than adding them directly; this seems more likely than not given previous experiences but then again, maybe not as some might get the answer right by chance or through calculation though I'd say the majority won't because most people don't naturally think about these things mathematically unless forced to do so...that said, perhaps those who aren't mathematically inclined are less likely to participate in surveys such as this one anyway.",0.99,"99%.  Given that this question is straightforward with no traps involved, I'd expect nearly everyone to get it right provided they understand basic addition and subtraction.  Of course, mistakes can still happen but given the simplicity of the problem, I think they would be quite rare compared to more complex questions involving multiple steps or requiring knowledge beyond simple arithmetic."
45,,2b,PE,1,0.05,1,0.05,The eraser costs $0.05.,1,0.9,1,0.9,$0.90,1,"Totally sure, or 100%.",1,"I am totally sure, so 100%.",0.4,Hmm... I’m going with my gut here—40%.,0.85,Probably about 85%.
46,,1b,BM,0,,0,,Seventy cents.,0,,0,,Ten cents,0.65,65,0.98,98,0.5,50,0.75,75
47,,1a,PE,1,5,1,5,"5 cents, because if the pencil is $1 more than the eraser and it costs a dollar that means the eraser must cost 5 cents.",1,90,1,90,"90 cents, because if the magazine is $2, then that leaves only 70 cents left for the banana but since there’s tax, that extra amount makes it 90 cents.",1,100%.,0.8,80%.,0.6,60%.,0.5,50%.
48,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.7,70%,1,100%,0.3,30%,0.6,60%
49,,1a,PE,0,0.1,0,1.1,"Eraser cost $.10, Pencil Costs = $1.00 + $.10 = $1.10. So, a total misinterpretation of question (Both costs must be considered)!",0,2.9,1,0.9,Banana costs = $2.90 - $2 = $.90. Yes! I am getting there!,0.5,50%,0.75,75%. But still doubtful about my approach as well!,,I don't know!,0.8,"Maybe, around 80%. But, honestly speaking, I do have doubts."
50,,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,0.99,99%,1,100%,0.5,50%,0.8,80%
51,,2a,BM,0,0.1,0,2,"I know that most people's immediate answer is $0.10 but this is not correct because if the magaine cost 2 dollars then it would mean the banana costs nothing. It makes the whole situation illogical, therefore i assume it is a trick question. Maybe the magazine doesnt really cost 2 dollars more or the price for the two items was somehow rounded off from another combination of prices. I cannot say exactly how much the banana costs.",1,0.1,1,0.1,$0.10,0.65,65%,0.95,95%,-0.4,"Less than half, maybe around 30-40%",0.8,"More than half, about 80%"
52,,1a,PE,1,0.05,0,1.1,"Eraser - $.05, Pencil $1.05, Total $1.10 (Answer Key)",1,0.9,1,0.9,Banana costs $0.90 (Answer Key),0.9,I am 90% confident,1,I feel like this answer is very straightforward and obvious so I am 100% confident with my response.,0.6,At least 60%. That’s usually how many people get it right. (Answer Key),0.9,At least 90% since I can't imagine anyone getting the previous one right but then messing up this simple question.
53,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70,1,100,0.6,60%,0.95,95%
54,,2b,PE,1,0.05,1,0.05,$0.05,1,0.9,1,0.9,$0.90,1,100,1,100,0.6,60,0.5,50
55,,2a,BM,1,0.45,1,0.45,$.45 cents,1,0.1,1,0.1,$.10 cents,0.8,80,1,100,0.5,50%,0.67,67%
56,,2a,BM,1,0.45,0,2.45,"The banana costs $0.45, the magazine is $2.45.",1,0.1,1,0.1,"Oh dear, I fell for another classic trap question! The first part is just bait and serves no relevance for the second part at all... My bad. So an eraser then would cost $0.10.",1,100%.,0.9,"After my blunder on the previous problem, I better double-check! But yes, I am now quite sure that I got it right. Maybe about 90% confidence level?",0.5,"About 50%. I don't think many would solve this problem as quickly and easily as I did, but I expect that most would come up with the correct answer after taking some time to calculate or work out the problem.",0.6,"Perhaps even less than 50%, since I myself initially fell into the same trap that has probably snared many others too. However, I suspect that when asked again, those who made errors the first time may realize their mistakes. So maybe around 60%."
57,,2b,PE,1,0.05,1,0.05,Eraser costs $.05,1,0.9,1,0.9,$0.90,1,100%. This one was even easier to figure out than the last question.,1,100%. I'm pretty good at arithmetic.,0.8,At least 80%. This seems like an easy question as well.,0.65,"About 65%, because most people can do basic subtraction."
58,,1a,PE,1,0.05,1,0.05,"Eraser costs $.05 (this is an example of the classic cognitive bias, ""anchoring"")",1,0.9,1,0.9,$.90,0.67,67% (this is another form of the same bias),1,100%,,I don't know,,I don't know
59,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,1,100%,0.6,60%,0.95,95%
60,,1a,PE,0,0.1,1,0.05,"The answer that was input was “$0.10”. I got this one wrong because I thought about it in terms of dollars, not cents, which means if you take away 1 dollar for the pencil, then you can divide up the remaining change ($0.10) between the two items any way you want since the problem never specified a particular breakdown of that amount, so logically both the pencil and eraser could technically cost $0.05 each.",1,0.9,1,0.9,"This one is easier than the first question, since the magazine price is explicitly stated. All you need to do is subtract the magazine cost from the total cost to find out how much the banana costs, which equals $0.90.",0.7,"Since the previous answer was actually incorrect even though I had full confidence in it at the time, I feel like my confidence level should be lower now because apparently math reasoning skills aren’t as solid as they once were, but on the other hand, the question asks for current feelings, so based solely on my current assessment of my abilities in solving these types of problems without double-checking myself or doing further calculations beyond what initially came to mind, I would say around 70%.",1,"After double-checking my work this time, I can confirm that my answer is indeed correct. Given the simplicity of this problem, I feel 100% certain about it.",0.75,"I don’t know exactly what percentage of people solve this type of problem correctly offhand, but given that most people have some basic understanding of arithmetic principles, I would guess that at least half get it right, probably closer to three-quarters overall when you consider those who might take a moment to reconsider their initial answers if needed. So maybe somewhere between 65% and 75%.",0.9,"Considering again that most adults have a decent grasp on basic arithmetic concepts, I would think an overwhelming majority gets this question right without much trouble – probably north of 90%, potentially even higher."
61,,1b,BM,1,0.45,0,2.9,I think that would be $0.45 for the banana and $2.45 for the magazine.  That way $2.45 + $0.45 = $2.90 as stated.,1,0.1,1,0.1,"$.10, since that's all there is left over from buying the pencil.",1,Not quite 100% but fairly confident. I know this because my initial answer was incorrect before working out the numbers.,1,"I'm 100% sure, it was very obvious.",,I don’t know exactly but I imagine it isn't very many.,0.85,Around 85%.
62,,2b,PE,1,0.05,0,1.05,Eraser cost $0.05; Pencil cost $1.05,1,0.9,1,0.9,$0.90,0.8,"Eraser - 100%, Pencil - 80%",1,100%,0.95,Pencil - 5%; Eraser - 95%,0.75,75%
63,,2a,BM,0,60,0,0.6,60 cents because $2.90 -$2 = .90 /3 = .30 + .30 = .60 cents,1,10,1,0.1,10 cents because if the pencil costs $1 then the difference would be $1.10 - $1 = .10 cents,1,"100%. I calculated it using subtraction, division, and addition",1,100% as I used simple arithmetic calculations.,0.5,"50%, most probably due to lack of confidence",0.99,99% because the calculation is quite straight-forward and simple
64,,2b,PE,1,0.05,0,1.05,Eraser costs $.05; Pencil costs $1.05,1,0.9,1,0.9,"$0.90 (She seems to be answering in a direct manner, rather than first adding up both items and subtracting.)",0.8,"80%, which reflects some hesitation with the answer",1,100%,0.6,60%,0.85,"85%.  (The participant is assuming that she is correct here, and others will answer in the same way - as well as making a positive judgement about the intelligence or competence of other participants)."
65,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,0.8,80%,0.8,80%,0.95,95%
66,,2a,BM,1,0.45,1,0.45,"Banana costs $.45, because if you take away $2 from the total (magazine + banana = 2.90) it leaves you .45 which is the price of the banana.  I arrived at that answer through simple subtraction and by thinking about what a realistic price would be for something like a banana or a magazine.",1,0.1,1,0.1,Eraser costs $.10.  Same way as before; take away the price of one thing from the total cost of both items and find what remains.,0.9,"I'm pretty sure my answer is correct, so I would rate my confidence around 90%.  That being said, there is still a possibility for human error in calculations or otherwise, even with such a simple problem.",0.95,"Once again, pretty confident but not totally certain.  Confidence level of approximately 95%.",0.67,"If all participants had received an education equivalent to mine up until college and were given adequate time to think about their answer, then I think over half will solve this problem correctly.  If you consider groups that do not have as good of access to quality education however, then I think only a small portion might solve the problem accurately.  67%.",0.45,"Most people should be able to understand the process required to solve this type of question since it's so similar to the first one, which is why I would estimate around 80% accuracy for this question among participants with equivalent educational backgrounds. 45%."
67,,1a,PE,1,0.05,0,0.1,Eraser Costs $.05 cents and Pencil costs $.10 cents.,1,0.9,1,0.9,Banana costs $.90 cents.,0.8,"80%. I have learned about this problem before, but still there were other numbers coming to mind during calculation.",0.99,"99%, pretty much self-explanatory, simple calculation.",0.5,"Maybe 50%, I don't think they would make a common mistake or so... But as said earlier, I have been introduced to this question before.",-0.95,Probably like 85-95%.
68,,2b,PE,1,0.05,0,1.05,Eraser=$0.05 Pencil=$1.05,1,0.9,1,0.9,$0.90,0.95,95%,1,100%,0.75,75%,0.95,95%
69,,1a,PE,1,0.05,1,0.05,Eraser costs $.05 cents.,1,0.9,1,0.9,Banana costs $.90 cents.,1,100%,1,100%,0.6,"I think that maybe only around 60%, but possibly more people because some can randomly guess and get it right.",-0.99,"Probably 98-99%, I feel like most people could solve this if they paid attention to it."
70,,1a,PE,1,5,0,1.05,"5 cents, because then the pencil would cost $1.05 (1 + .05 = 1.05)",1,0.9,0,2,"$0.90, since if the magazine is $2 the remaining amount must be for the banana.",0.75,"75%. I mean I’m pretty sure, but just maybe there’s an error that I don’t see here.",0.98,"98%. This one seems like a no-brainer, unless the question was somehow misleading or inaccurately stated.",0.001,"Less than 50%, probably because most people just think “the difference between the two amounts has to be $0.10.”",0.7,"Well over half, say 60% - 70%. The problem is really straightforward with the only issue being simple arithmetic."
71,,1b,BM,0,1.4,0,2.9,"Let me see now…$1.40 for the banana and $1.50 for the mag…oh wait!! That makes $2.90! This one is trickier, but once you know that the first example involved rounding down, then the rest should make sense too!",0,,0,,"Ten cents. I got the dollar from the price of the pencil, so the other item can only cost a dime.",1,"Since my answer made complete logical sense to me, I can be absolutely certain that I have arrived at the right conclusion here! So, let’s call that a 100%.",1,I’m completely certain about this answer! I would give it a solid 100%.,0.8,"Hmmm, well, this is somewhat difficult as compared to the last question because this time there was no clear round-down solution offered as an obvious choice. Nevertheless, those with strong mathematical skills should still arrive at the correct answer. As such, perhaps around 80%.",0.95,"Given that my logic was pretty straightforward, I imagine a lot of people will come up with the same correct answer I did. I’d estimate 95%."
