Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
14,LLM_L2WVU70,18,Female,PE,1a,0,0.5,1,90,,,0.85,1,0.35,0.87,,,,,,,,-0.15,-0.52,3.2
15,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.05
16,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.1
17,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.2
18,LLM_L2WVU70,18,Male,PE,1a,0,0.9,1,0.9,,,1,1,0.5,0.75,,,,,,,,0,-0.25,0.3
19,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,0.95,0.9,0.75,0.8,,,,,,,,0.05,-0.05,0.4
20,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.75,0.85,,,,,,,,-0.1,-0.1,0.5
21,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.9,0.7,,,,,,,,0,0.2,0.6
22,LLM_L2WVU70,18,Male,PE,1a,0,10,1,90,,,0.95,1,0.6,0.9,,,,,,,,-0.05,-0.3,0.7
23,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,0.9,0.9,0.3,0.3,,,,,,,,0,0,0.8
24,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,0.99,1,0.6,0.75,,,,,,,,-0.01,-0.15,0.9
25,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,90,,,0.95,1,0.5,0.75,,,,,,,,-0.05,-0.25,1
26,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,1,1,0.9,0.95,,,,,,,,0,-0.05,1.3
27,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.95,0.98,0.2,0.9,,,,,,,,-0.03,-0.7,1.6
28,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,0.01,0.009,0.12,0.005,,,,,,,,0.001,0.115,2.4
29,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.0015,0.8,0.95,0.75,,,,,,,,-0.7985,0.2,3.2
30,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.05
31,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.1
32,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.2
33,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.3
34,LLM_L2WVU70,18,Female,BM,1b,1,45,1,10,,,0.75,0.95,0.85,0.95,,,,,,,,-0.2,-0.1,0.4
35,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.5
36,LLM_L2WVU70,18,Female,BM,1b,0,,0,,,,0.7,1,0.65,0.95,,,,,,,,-0.3,-0.3,0.6
37,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.65,0.75,,,,,,,,0,-0.1,0.7
38,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.95,1,0.75,0.95,,,,,,,,-0.05,-0.2,0.8
39,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.98,0.99,0.55,0.75,,,,,,,,-0.01,-0.2,0.9
40,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.8,0.95,0.8,0.95,,,,,,,,-0.15,-0.15,1
41,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.85,0.95,0.6,0.75,,,,,,,,-0.1,-0.15,1.3
42,LLM_L2WVU70,18,Female,BM,1b,0,0.95,1,0.1,,,1,0.99,0.43,0.67,,,,,,,,0.01,-0.24,1.6
43,LLM_L2WVU70,18,Female,BM,1b,0,,0,,,,0.99,0.65,0.5,0.2,,,,,,,,0.34,0.3,2.4
44,LLM_L2WVU70,18,Female,BM,1b,0,0.5,0,,,,0.7,0.9,0.8,0.5,,,,,,,,-0.2,0.3,3.2
45,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,0.95,0.95,0.8,0.75,,,,,,,,0,0.05,0.05
46,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,0.9,0.95,0.6,0.75,,,,,,,,-0.05,-0.15,0.1
47,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,0.9,0.95,0.6,0.75,,,,,,,,-0.05,-0.15,0.2
48,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,1,1,0.85,0.9,,,,,,,,0,-0.05,0.3
49,LLM_L2WVU70,18,Male,BM,1b,1,45,1,10,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.4
50,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,1,1,0.85,0.95,,,,,,,,0,-0.1,0.5
51,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.6,0.75,,,,,,,,0,-0.15,0.6
52,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.65,0.9,0.3,0.75,,,,,,,,-0.25,-0.45,0.7
53,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.9,1,0.8,0.9,,,,,,,,-0.1,-0.1,0.8
54,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.7,0.95,0.3,0.95,,,,,,,,-0.25,-0.65,0.9
55,LLM_L2WVU70,18,Male,BM,1b,0,10,1,10,,,0.95,0.95,0.65,0.65,,,,,,,,0,0,1
56,LLM_L2WVU70,18,Male,BM,1b,0,2.8,0,,,,1,1,0.5,0.75,,,,,,,,0,-0.25,1.3
57,LLM_L2WVU70,18,Male,BM,1b,0,,1,0.1,,,0.99,0.01,-0.4,-0.3,,,,,,,,0.98,-0.1,1.6
58,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,10,,,1,1,0.85,0.75,,,,,,,,0,0.1,2.4
59,LLM_L2WVU70,18,Male,BM,1b,0,2,1,0.1,,,0.95,0.85,0.85,0.5,,,,,,,,0.1,0.35,3.2
60,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.05
61,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.9,,,,,,,,0,-0.15,0.1
62,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.7,0.8,,,,,,,,0,-0.1,0.2
63,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.8,1,0.6,0.9,,,,,,,,-0.2,-0.3,0.3
64,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.4
65,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.85,,,,,,,,0,-0.1,0.5
66,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.8,1,0.6,0.9,,,,,,,,-0.2,-0.3,0.6
67,LLM_L2WVU70,18,Female,BM,2a,0,0.4,1,0.1,,,0.5,0.7,0.6,0.8,,,,,,,,-0.2,-0.2,0.7
68,LLM_L2WVU70,18,Female,BM,2a,0,50,0,,,,1,1,0.1,0.8,,,,,,,,0,-0.7,0.8
69,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.9,1,0.75,0.8,,,,,,,,-0.1,-0.05,0.9
70,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.8,0.9,0.4,0.6,,,,,,,,-0.1,-0.2,1
71,LLM_L2WVU70,18,Female,BM,2a,0,0.9,1,0.1,,,0.7,,0.65,0.8,,,,,,,,,-0.15,1.3
72,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.75,1,0.3,0.6,,,,,,,,-0.25,-0.3,1.6
73,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.5,0.8,,,,,,,,0,-0.3,2.4
74,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.7,1,0.2,0.5,,,,,,,,-0.3,-0.3,3.2
75,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.85,,,,,,,,0,-0.1,0.05
76,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.1
77,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.9,1,0.75,0.8,,,,,,,,-0.1,-0.05,0.2
78,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.9,,,,,,,,0,-0.15,0.3
79,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.9,1,0.7,0.95,,,,,,,,-0.1,-0.25,0.4
80,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.9,0.8,,,,,,,,0,0.1,0.5
81,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.6,0.9,,,,,,,,0,-0.3,0.6
82,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.5,0.9,,,,,,,,0,-0.4,0.7
83,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.5,0.5,,,,,,,,0,0,0.8
84,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.9,0.8,0.6,0.7,,,,,,,,0.1,-0.1,0.9
85,LLM_L2WVU70,18,Male,BM,2a,1,0.45,0,1,,,1,,0.3,0.5,,,,,,,,,-0.2,1
86,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.7,1,0.6,0.9,,,,,,,,-0.3,-0.3,1.3
87,LLM_L2WVU70,18,Male,BM,2a,0,0.5,1,0.1,,,0.99,1,0.6,0.98,,,,,,,,-0.01,-0.38,1.6
88,LLM_L2WVU70,18,Male,BM,2a,0,-2,0,,,,0.01,,,,,,,,,,,,,2.4
89,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,0.8,1,0.95,0.7,,,,,,,,-0.2,0.25,3.2
90,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.6,0.75,,,,,,,,0,-0.15,0.05
91,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.1
92,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.6,0.75,,,,,,,,0,-0.15,0.2
93,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.3
94,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.75,0.5,,,,,,,,0,0.25,0.4
95,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.9,0.75,,,,,,,,0,0.15,0.5
96,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.3,0.9,,,,,,,,0,-0.6,0.6
97,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,0.9,,,0.65,0.95,0.45,0.75,,,,,,,,-0.3,-0.3,0.7
98,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,90,,,1,1,0.5,0.75,,,,,,,,0,-0.25,0.8
99,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,90,,,0.9,1,-0.7,0.75,,,,,,,,-0.1,-1.45,0.9
100,LLM_L2WVU70,18,Female,PE,2b,1,5,1,90,,,1,1,,0.9,,,,,,,,0,,1
101,LLM_L2WVU70,18,Female,PE,2b,0,1.1,1,0.9,,,0.8,1,0.67,0.9,,,,,,,,-0.2,-0.23,1.3
102,LLM_L2WVU70,18,Female,PE,2b,0,1,1,0.9,,,1,1,-0.85,0.7,,,,,,,,0,-1.55,1.6
103,LLM_L2WVU70,18,Female,PE,2b,0,0.1,1,90,,,0.74,0.85,0.66,0.34,,,,,,,,-0.11,0.32,2.4
104,LLM_L2WVU70,18,Female,PE,2b,1,0.05,1,90,,,0.98,0.75,-0.4,0.75,,,,,,,,0.23,-1.15,3.2
105,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.8,0.75,,,,,,,,0,0.05,0.05
106,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.8,0.75,,,,,,,,0,0.05,0.1
107,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.2
108,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.8,0.75,,,,,,,,0,0.05,0.3
109,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.75,0.5,,,,,,,,0,0.25,0.4
110,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.75,0.5,,,,,,,,0,0.25,0.5
111,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,0.9,1,0.6,0.75,,,,,,,,-0.1,-0.15,0.6
112,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.7,0.5,,,,,,,,0,0.2,0.7
113,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,0.7,0.95,0.3,0.6,,,,,,,,-0.25,-0.3,0.8
114,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,0.7,0.85,0.4,0.34,,,,,,,,-0.15,0.06,0.9
115,LLM_L2WVU70,18,Male,PE,2b,0,0.1,1,0.9,,,1,1,0.3,0.5,,,,,,,,0,-0.2,1
116,LLM_L2WVU70,18,Male,PE,2b,1,0.05,1,0.9,,,0.0005,0.8,0.5,0.9,,,,,,,,-0.7995,-0.4,1.3
117,LLM_L2WVU70,18,Male,PE,2b,0,0.1,1,0.9,,,0.7,0.5,0.8,0.3,,,,,,,,0.2,0.5,1.6
118,LLM_L2WVU70,18,Male,PE,2b,0,0.1,1,0.9,,,0.54,1,0.54,0.34,,,,,,,,-0.46,0.2,2.4
119,LLM_L2WVU70,18,Male,PE,2b,0,1,1,90,,,0.72,1,0.5,-0.75,,,,,,,,-0.28,1.25,3.2
120,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.75,0.85,,,,,,,,-0.1,-0.1,0.05
121,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.75,0.85,,,,,,,,-0.1,-0.1,0.1
122,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.4,0.8,,,,,,,,-0.1,-0.4,0.2
123,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.75,0.8,,,,,,,,-0.1,-0.05,0.3
124,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.2,0.8,,,,,,,,-0.1,-0.6,0.4
125,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,1,1,0.99,0.85,,,,,,,,0,0.14,0.5
126,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,0.9,,,0.95,0.9,0.25,0.5,,,,,,,,0.05,-0.25,0.6
127,LLM_L2WVU70,18,Female,PE,1a,0,10,1,90,,,1,1,0.5,0.7,,,,,,,,0,-0.2,0.7
128,LLM_L2WVU70,18,Female,PE,1a,1,5,1,90,,,1,0.75,0.23,0.68,,,,,,,,0.25,-0.45,0.8
129,LLM_L2WVU70,18,Female,PE,1a,0,10,1,90,,,1,1,0.5,0.75,,,,,,,,0,-0.25,0.9
130,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,90,,,0.9,0.95,0.95,0.98,,,,,,,,-0.05,-0.03,1
131,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,90,,,0.95,0.98,,0.9,,,,,,,,-0.03,,1.3
132,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.95,0.98,0.75,0.95,,,,,,,,-0.03,-0.2,1.6
133,LLM_L2WVU70,18,Female,PE,1a,1,5,1,90,,,1,1,0.999,1,,,,,,,,0,-0.001,2.4
134,LLM_L2WVU70,18,Female,PE,1a,0,10,1,90,,,0.99,0.85,-0.75,0.35,,,,,,,,0.14,-1.1,3.2
135,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.05
136,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,90,,,0.95,0.95,0.75,0.8,,,,,,,,0,-0.05,0.1
137,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,90,,,0.95,0.95,0.75,0.8,,,,,,,,0,-0.05,0.2
138,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,0.95,0.75,0.8,,,,,,,,-0.05,-0.05,0.3
139,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.4
140,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.9,0.75,,,,,,,,0,0.15,0.5
141,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.95,0.8,,,,,,,,0,0.15,0.6
142,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.01,1,0.75,0.8,,,,,,,,-0.99,-0.05,0.7
143,LLM_L2WVU70,18,Male,PE,1a,0,0.1,1,0.9,,,1,1,0.95,0.8,,,,,,,,0,0.15,0.8
144,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.6,0.75,,,,,,,,-0.1,-0.15,0.9
145,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,,,1,-0.9,,,,,,,,,1.9,1
146,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.75,0.9,0.25,-0.4,,,,,,,,-0.15,0.65,1.3
147,LLM_L2WVU70,18,Male,PE,1a,1,0.05,1,0.9,,,0.99,1,0.75,0.8,,,,,,,,-0.01,-0.05,1.6
148,LLM_L2WVU70,18,Male,PE,1a,0,,0,,,,0.65,0.9,0.25,,,,,,,,,-0.25,,2.4
149,LLM_L2WVU70,18,Male,PE,1a,1,5,1,90,,,0.99,1,0.6,0.99,,,,,,,,-0.01,-0.39,3.2
150,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.05
151,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.1
152,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.85,0.95,,,,,,,,0,-0.1,0.2
153,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.3
154,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.85,0.95,,,,,,,,0,-0.1,0.4
155,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.7,0.6,,,,,,,,0,0.1,0.5
156,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.9,,,,,,,,0,-0.1,0.6
157,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.85,1,0.6,0.95,,,,,,,,-0.15,-0.35,0.7
158,LLM_L2WVU70,18,Female,BM,1b,0,90,1,10,,,0.99,0.95,0.8,0.9,,,,,,,,0.04,-0.1,0.8
159,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.75,1,0.8,0.95,,,,,,,,-0.25,-0.15,0.9
160,LLM_L2WVU70,18,Female,BM,1b,0,,1,0.1,,,0.85,0.95,0.6,0.8,,,,,,,,-0.1,-0.2,1
161,LLM_L2WVU70,18,Female,BM,1b,0,2,1,10,,,0.01,0.95,0.1,0.5,,,,,,,,-0.94,-0.4,1.3
162,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.9,1,0.7,0.95,,,,,,,,-0.1,-0.25,1.6
163,LLM_L2WVU70,18,Female,BM,1b,1,0.45,1,0.1,,,0.9,1,0.5,0.7,,,,,,,,-0.1,-0.2,2.4
164,LLM_L2WVU70,18,Female,BM,1b,0,2,0,1.1,,,0.6,0.7,0.28,0.35,,,,,,,,-0.1,-0.07,3.2
165,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.05
166,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.1
167,LLM_L2WVU70,18,Male,BM,1b,0,90,1,10,,,0.95,0.95,0.8,0.75,,,,,,,,0,0.05,0.2
168,LLM_L2WVU70,18,Male,BM,1b,0,10,1,10,,,1,1,0.8,0.95,,,,,,,,0,-0.15,0.3
169,LLM_L2WVU70,18,Male,BM,1b,0,,0,,,,1,1,0.9,0.95,,,,,,,,0,-0.05,0.4
170,LLM_L2WVU70,18,Male,BM,1b,0,30,1,10,,,0.98,0.95,0.6,0.75,,,,,,,,0.03,-0.15,0.5
171,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.85,0.95,,,,,,,,0,-0.1,0.6
172,LLM_L2WVU70,18,Male,BM,1b,0,,0,,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.7
173,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.65,0.75,,,,,,,,0,-0.1,0.8
174,LLM_L2WVU70,18,Male,BM,1b,0,2,1,10,,,0.95,0.95,0.9,0.98,,,,,,,,0,-0.08,0.9
175,LLM_L2WVU70,18,Male,BM,1b,0,1.45,0,,,,1,0.95,0.5,0.75,,,,,,,,0.05,-0.25,1
176,LLM_L2WVU70,18,Male,BM,1b,1,0.45,0,,,,0.8,0.75,0.02,0.4,,,,,,,,0.05,-0.38,1.3
177,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.8,1,0.6,0.95,,,,,,,,-0.2,-0.35,1.6
178,LLM_L2WVU70,18,Male,BM,1b,0,2,1,0.1,,,0.67,1,0.84,0.99,,,,,,,,-0.33,-0.15,2.4
179,LLM_L2WVU70,18,Male,BM,1b,1,0.45,1,0.1,,,0.75,0.9,0.85,0.4,,,,,,,,-0.15,0.45,3.2
180,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.05
181,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.1
182,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.8,,,,,,,,0,-0.05,0.2
183,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.95,,,,,,,,0,-0.2,0.3
184,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.75,1,0.6,0.8,,,,,,,,-0.25,-0.2,0.4
185,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.6,0.8,,,,,,,,0,-0.2,0.5
186,LLM_L2WVU70,18,Female,BM,2a,0,0.4,1,0.1,,,1,1,0.5,0.7,,,,,,,,0,-0.2,0.6
187,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.01,0,0.03,0.02,,,,,,,,0.01,0.01,0.7
188,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,0.8,0.95,0.3,0.75,,,,,,,,-0.15,-0.45,0.8
189,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.6,0.8,,,,,,,,0,-0.2,0.9
190,LLM_L2WVU70,18,Female,BM,2a,0,50,1,10,,,1,1,0.6,0.9,,,,,,,,0,-0.3,1
191,LLM_L2WVU70,18,Female,BM,2a,0,0.9,1,0.1,,,1,,0.008,0.99,,,,,,,,,-0.982,1.3
192,LLM_L2WVU70,18,Female,BM,2a,1,0.45,0,,,,0.76,,0.9,0.4,,,,,,,,,0.5,1.6
193,LLM_L2WVU70,18,Female,BM,2a,0,50,1,10,,,0.84,1,0.73,0.99,,,,,,,,-0.16,-0.26,2.4
194,LLM_L2WVU70,18,Female,BM,2a,1,0.45,1,0.1,,,1,0.99,0.3,0.7,,,,,,,,0.01,-0.4,3.2
195,LLM_L2WVU70,18,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.75,0.85,,,,,,,,0,-0.1,0.05
