Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
29,1a,PE,1,0.05,0,2,"$.05, I divided by 2 to find that they would be evenly distributed. Then took one away from each total to account for the price difference mentioned in the question.",1,0.9,1,0.9,"$0.90, Subtracted the magazine total from the total amount due",0.0015,"75% - because if it's talking about decimals it might go .15, or some odd variation which is technically closer, but unlikely as its never done on prices in my experience.",0.8,"80%, It doesn’t really require any actual math but there could be an exception i missed when looking at the problem like some sort of special type of magazine where price goes into negatives for certain circumstances",0.95,"95%, but thats only going off typical high schoolers that have had basic algebra before so most people probably wouldnt solve it if they havent been taught how.",0.75,"75% again based off typical people, its extremely straightforward however people just make dumb mistakes or overlook stuff like not reading carefully enough which might happen with those types of problems."
30,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
31,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
32,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.95,95
33,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.95,95
34,1b,BM,1,45,1,45,45 cents,1,10,1,10,10 cents,0.75,75%,0.95,95%,0.85,85%,0.95,95%
35,1b,BM,1,0.45,1,0.45,The banana costs $.45.,1,0.1,1,0.1,The eraser costs $.10.,1,I am 100% confident that my answer is correct.,1,I am 100% confident that my answer is correct.,0.8,80%,0.95,95%
36,1b,BM,0,,0,,The banana costs fifty cents.,0,,0,,"Ten cents, because if the pencil costs a dollar it must mean that the eraser costs ten cents.",0.7,70%.,1,100%.,0.65,65%.,0.95,95%.
37,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,0.95,95%,0.65,65%,0.75,75%
38,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,"$.10 (You might have said ""ten cents"" but I'm asking for an amount, not a descriptive phrase.)",0.95,95%,1,100%,0.75,75%,0.95,95%
39,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$.10,0.98,98%,0.99,99%,0.55,55%,0.75,75%
40,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,0.95,95%,0.8,80%,0.95,95%
41,1b,BM,1,0.45,1,0.45,0.45 or $.45,1,0.1,1,0.1,.10,0.85,85%,0.95,95%,0.6,60%,0.75,75%
42,1b,BM,0,0.95,0,95,.95c or 95cents,1,0.1,1,0.1,0.10c,1,100%,0.99,99%,0.43,43%,0.67,67%
43,1b,BM,0,,0,,twenty cents,0,,0,,ten cents (because that is all I would have left to buy it),0.99,"99%. Because that is what I calculated it would cost in order for them to match what they asked, so if im reading things right then yes haha",0.65,65% because it feels like something is off about it but at the same time I am sure the problem asked for price only... so I guess i could be more wrong?? idk tbh.,0.5,"50%, maybe even a bit less... some people may do simple addition without realizing their answer contradicts information provided within question... which is frustrating because why put useless details like ""magazine cost two dollars more"" but idk I guess they assume all will solve math part properly so don't care about providing sufficient logical links :/",0.2,20%. Not everyone realizes you need change when giving the dollar or knows money conversion between different units... But also many are smart enough to know its possible so... I think thats fair! :)
44,1b,BM,0,0.5,0,1.5,"First thought: $0.50 or $1.50.  If the banana costs .50, then the mag is 3.40 and not 2, so I choose 1.50 because 2+2-0.5=1.50.",0,,0,,"It's free, if you pay for the pencil only.",0.7,70%.,0.9,90%,0.8,Maybe like 80% because it seems slightly easier? Idk man these questions seem rigged to be wrong and are messing me up lol.,0.5,"50%, but that seems generous given most of the internet"
45,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
46,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.75,75%
47,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.75,75%
48,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,1,100%,1,100%,0.85,85%,0.9,90%
49,1b,BM,1,45,1,45,45 cents,1,10,1,10,10 cents,1,100%,1,100%,0.75,75%,0.95,95%
50,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,1,100%,1,100%,0.85,85%,0.95,95%
51,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,0.95,95%,0.6,60%,0.75,75%
52,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.65,65%,0.9,90%,0.3,30%,0.75,75%
53,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,0.9,90,1,100,0.8,80,0.9,90
54,1b,BM,1,0.45,1,0.45,0.45 dollars,1,0.1,1,0.1,0.10 dollars,0.7,70%,0.95,95%,0.3,30%,0.95,95%
55,1b,BM,0,10,0,10,10 cents,1,10,1,10,10 cents,0.95,95,0.95,95,0.65,65,0.65,65
56,1b,BM,0,2.8,0,2.8,"Ten cents, which means the magazine costs $2.80.",0,,0,,"The eraser would cost ten cents if they follow the ""a pencil plus an eraser makes one dollar eleven"" scenario. But there was a catch, and that's why this problem was designed to trick people into believing it has to do with adding instead of subtracting. I can see that now but before I did not. So, the eraser cost ten cents in my first response and then fifty cents on my second attempt after rethinking the question carefully.",1,"Based on my calculations, I am 100% positive this answer is correct.",1,"My first answer would have been 95% but since I figured out the riddle and re-answered correctly, I feel very confident that it's right at 100%.",0.5,"Once again, the same principle as before applies here; however, since the math might be a little bit more complicated this time around, I think only about half of the respondents will come up with the correct solution. I would say that 50% got it right.",0.75,"This is difficult because while most adults could solve this simple math problem, some may fall for the trick and add instead of subtract. I'll give them a 75% chance of getting it right."
57,1b,BM,0,,0,,"Again, it seems simple enough at first glance, but let me double check.",1,0.1,1,0.1,$0.10,0.99,"As before, I am 99% sure because once again, I was momentarily caught off guard; but even so, there is still absolutely no doubt in my mind as to what the correct answer is.",0.01,"99%. I'm only subtracting 1 because I was slightly caught off guard by this question, but there can be no doubt in my mind that this is correct.  It is even obvious to me what kind of question would have caused such an error as it could only be one which did not present itself correctly.",-0.4,"Hm...this time around, assuming that everyone who gets confused by your wording made errors similar to those made earlier, then we can probably add another 5-10%. That brings us up to around 30-40%.  Of course, that's only speculative conjecture on my part, based solely upon my assumptions about others' thought processes.",-0.3,"Well, based on your phrasing, ""what percentage,"" I am going to assume that you expect a single number for every case where all individuals would agree, or nearly so; meaning, that some might say more than half if they consider themselves part of the minority that solved it correctly, others less.   Thusly, if we presume that individuals who were confused by your question answered incorrectly, then they probably do not consider their own answers to be correct; thus, it could be possible to get an accurate assessment of everyone else by taking the answer and assuming everyone except me falls into this category.  Assuming all other things equal, therefore,  I am estimating 25-30%; though with all that I said above, I will admit I don't know how you intend to analyze these numbers.  You didn't mention whether or not you intended to use them in any way other than to gather information about my perception, which is why I feel comfortable"
58,1b,BM,1,0.45,0,2.9,Banana costs $0.45. The magazine therefore must be priced at $2.45. This comes to a total of $2.90.,1,10,1,10,10 cents,1,Confidently correct! 100%.,1,100 percent,0.85,"Hm. Well if it were an unrelated group, say on the street or something...I'd think maybe like half right again. But in class here at Georgia Tech where everyone has taken calculus or even linear algebra already - yeah I'll bet maybe 85%.",0.75,I'm assuming probably at least half but I really don't know. Probably over 75%.
59,1b,BM,0,2,0,0,"To calculate the answer, we can set the price of the banana equal to B. That makes the cost of the magazine B+$2 since it's two dollars pricier. When we add them both up, our total price is now B+(B+$2), or twice the cost of a single banana plus two dollars, and we know it's equivalent to $2.90 in all. Now if we rearrange and isolate our banana variable on one side we end up with B = $(2.90-($2+B)), then solve for B by setting B to the opposite side as shown here: (2*B)+(2) = 2.9. We proceed with our algebra and subtract two from both sides so that B ends up on the left alone again; 2*B=0.9 and divide B out once more until its value remains; thus we arrive at B = $(0.",1,0.1,1,10,"It doesn't say that there are only one pencil and eraser. They could have many of them at that price or be selling them as a bundle deal where normally an eraser would be more expensive on its own. Without further details, we don't know. But if we go off what it says exactly then the answer would be that the eraser is $0.10, as 1 dollar for a pencil plus 10 cents for an eraser adds up to their given amount.",0.95,I am 95% sure based on calculations and interpretation.,0.85,"I am about 85% sure. While I do feel that my interpretation of their question was the most reasonable conclusion, I acknowledge the fact that without further information, my response contains some level of assumption. So while I do stand by my interpretation and believe it was likely intended as such, it would still leave a margin of doubt due to a lack of complete data regarding other possible factors which might affect the pricing scenario they provided.",0.85,"80% - 85%. I think most individuals will use simple subtraction here because they tend not to overanalyze easy questions and focus instead on getting through them quickly. That said, I suspect about one in ten won't calculate accurately or else misunderstands the instructions.",0.5,I believe 45% - 50% of people answered correctly based upon typical interpretations of problems.
60,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
61,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.9,90%
62,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.8,80%
63,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.6,60%,0.9,90%
64,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
65,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.85,85
66,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.6,60%,0.9,90%
67,2a,BM,0,0.4,0,0.4,.40 cents,1,0.1,1,0.1,.10 cents,0.5,50,0.7,70,0.6,60,0.8,80
68,2a,BM,0,50,0,50,50 cents,0,,0,,Ten cents,1,100 percent,1,100%,0.1,10%,0.8,80%
69,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,1,100%,0.75,75%,0.8,80%
70,2a,BM,1,0.45,1,0.45,"$0.45, because the magazine costs $2.45 and that’s $2 more expensive than the banana, which would be $0.45 cheaper (so, $0.45).",1,0.1,0,1.1,"The eraser costs $0.10 cents because the pencil already costs $1, so adding them up together totals at $1.10",0.8,I am 80% confident.,0.9,I am 90% confident.,0.4,I think 40% will answer it right.,0.6,I believe that 60% will answer it correctly.
71,2a,BM,0,0.9,0,0.9,Banana costs .90,1,0.1,1,0.1,Eraser costs .10,0.7,70%. It’s just basic logic!,,I feel almost certain about my answer!,0.65,65% or so. People tend to make mistakes when solving mathematical equations.,0.8,"I’d say about 80%, maybe even more because the math involved is straightforward."
72,2a,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,0.75,75,1,100,0.3,30,0.6,60
73,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.5,50%,0.8,80%
74,2a,BM,1,0.45,0,1.45,"$.45, because $1.90 for magazine - $1.45 for banana.",1,0.1,0,1.1,"$.10, because $1 + .10 = $1.10",0.7,70,1,100,0.2,20,0.5,50
75,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
76,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
77,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,1,100%,0.75,75%,0.8,80%
78,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.9,90
79,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,1,100%,0.7,70%,0.95,95%
80,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.9,90,0.8,80
81,2a,BM,1,0.45,0,2.45,"Banana costs $0.45, Magazine costs $2.45.",1,0.1,1,0.1,Eraser costs $0.10.,1,100%.,1,100%.,0.6,60%.,0.9,90%.
82,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.5,50,0.9,90
83,2a,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,1,100%,1,100%,0.5,50%,0.5,50%
84,2a,BM,1,0.45,1,0.45,$.45 (correct),1,0.1,1,0.1,$.10 (incorrect),0.9,90%,0.8,80%,0.6,60%,0.7,70%
85,2a,BM,1,0.45,0,2.45,The banana costs $0.45. I arrived at that conclusion by subtracting $0.45 from the price of the magazine ($2.45).,0,1,0,1,"It seems like there might be an issue with the numbers you gave me for the total amount spent. If the eraser were free, then the total would only be $1. However, if the pencil cost $0.50 instead of $1, then everything would add up properly. As written, the math is inconsistent.",1,100%.,,"Since the numbers provided don’t work, I cannot say that I am certain about anything regarding this problem.",0.3,"Based on my personal observations, I’d say that approximately 30% of all people solve it right.",0.5,"Considering the fact that some participants may ignore the apparent mistake in the figures, while others will realize their error and thus avoid falling into any traps laid out by these problems, I think roughly half of them should get it right. So maybe around 50%."
86,2a,BM,1,0.45,1,0.45,$0.45 (entered after a period of thought),1,0.1,1,0.1,$0.10 (immediate answer),0.7,70%,1,100%,0.6,60%,0.9,90%
87,2a,BM,0,0.5,0,2.4,".50 cents, so the magazine is $2.40",1,0.1,1,0.1,.10 cents,0.99,99%,1,100%,0.6,60%,0.98,98%
88,2a,BM,0,-2,0,70,"I would solve this problem by first getting the difference between the two things, then solving for one variable. In other words, the equation would look like B = M -2; but since the total sum is known, another equation can be added to this one which states that the magazine costs twice as much as the banana plus fifty cents (since the entirety was $2.90). The second equation would look something like M = 2B + .50. Given this system of equations, it would then follow a standard algebraic procedure involving substitution or elimination until B can be found, and hence the value of the banana can also be discovered. Based on my calculations, the banana costs about 70 cents.",0,,0,,"At first glance, these two questions are seemingly very similar but in practice the eraser one has no viable answer if using a typical mathematical model to find said response. The pencil’s price was provided for us, unlike the previous banana problem, but unfortunately there is no equation to create which will solve the mystery of the elusive eraser costing an undisclosed sum. Although you can still form equations as shown earlier, without any additional constraints—either variables given values based off prior knowledge about prices or through another relationship stated between the items besides subtraction (which here there was) —an algebraic procedure such as substitution cannot occur. If a specific variable was given to me and asked what value X took on, that might provide some way forward; otherwise however, a definitive numerical answer does not appear attainable from information offered in this problem, hence why my confidence in responding correctly was lower.",0.01,"I feel about ninety percent sure in my solution. My confidence stems from the fact that I understand mathematical reasoning very well. Although the equation appeared to me initially complex and convoluted, I knew with certainty there was some systematic approach to discovering the answer, and this method enabled me to derive my answer with relative ease. However, the question did involve more steps than most basic math questions typically do, and therefore my initial uneasiness might have had something to do with being uncomfortable doing mathematics ‘by hand’. That is, we live in an age where everything is done for us—the calculator tells us whether an answer is right, or excel can quickly determine trends based off numbers—but in solving the banana problem, all those conveniences were taken away; consequently, even though I understood the math perfectly fine, I had to reacquaint myself with doing problems manually and that is why my percentage is ninety rather than 95/1",,"I would say only about thirty percent sure this time around. There is more ambiguity since solving with methods known do not apply and no logical conclusions may be made regarding cost of erasers, making me far less confident overall compared to when answering previously posed question resembling ‘Bananas’.",,"I believe probably sixty percent answered this question correctly, while forty percent may not be confident in their solution and so responded incorrectly, or alternatively made an error because of mental fatigue or calculation difficulties when doing it manually.",,"For the pencil and eraser problem, perhaps twenty five to forty percent responded accurately depending largely upon whether they recognized lack of sufficient constraints limiting feasible outcomes, whereas rest of participants either simply gave up due perceived complexity, or incorrectly assumed certain conditions must have been satisfied silently so attempted working out an equation(s)."
89,2a,BM,1,0.45,1,0.45,"$.45 (I know, the answer may look weird at first sight)",1,0.1,1,0.1,$.10 (same logic as before),0.8,"80%, I guess this isn't that difficult for most people but I don't have that great experience doing math on my mind",1,"100%, same logic used on the last question",0.95,"95% - This one seemed easy, although I got fooled many times by this kind of question",0.7,"70%, although the majority has some idea about this kind of problem, there are always people who believe the second object must have more than the difference between total price and first object. It happened with me at least twice."
90,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
91,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.95,95%
92,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
93,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.95,95%
94,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.5,50%
95,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.75,75%
96,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.3,30,0.9,90
97,2b,PE,1,0.05,0,1.05,"Eraser: $0.05, Pencil: $1.05",1,0.9,1,0.9,$0.90,0.65,65%,0.95,95%,0.45,45%,0.75,75%
98,2b,PE,1,0.05,0,1.05,Eraser = $.05; Pencil = $1.05,1,90,1,0.9,90 cents or $.90,1,100%,1,100%,0.5,50%,0.75,75%
99,2b,PE,1,0.05,0,1.05,"Eraser costs $.05, pencil costs $1.05.",1,90,1,90,90 cents.,0.9,90%.,1,100%.,-0.7,"I don't know... maybe around 60-70%.  It seems like a harder question, so less people will get it right.",0.75,"75%, but only because some people might give wrong answers by mistake."
100,2b,PE,1,5,1,5,The eraser costs 5 cents,1,90,1,90,90 cents,1,100%,1,100%,,About half the people will solve it correctly.,0.9,I think more than 90% of people will solve that correctly
101,2b,PE,0,1.1,0,50,"Oh, wow. That changes everything. The difference between the total cost of $1.10 and the price of one item ($1) must mean that the eraser costs only ten cents, because otherwise I was thrown for a loop. I need to rethink that previous problem too now! Maybe they’re trying to trip us up here by making two separate questions out of one problem. Or am I missing something else? Hmmm. Well anyway, if my new calculation is right, then I would estimate that perhaps only about half the population (50%) will figure out this second question without needing additional information or prompting from someone else, given how counterintuitive it seems at first glance, but again that’s just an educated guess on my part based on past experience with similar types of logic puzzles.",1,0.9,1,0.9,0.90,0.8,"Well, I was caught off guard initially by the wording of the second question but after recalculating I believe my answer is correct so I feel more secure than before, although still not as much as I did when answering the first question since this one was trickier to solve. Let me see...I guess I'd put it around 80%, which leaves room for error due to uncertainty regarding potential flaws in my reasoning process even though everything appears logically sound at the moment.",1,"I am 100% sure about my answer because it is simply adding two numbers which I just answered correctly so if they can do arithmetic they would get the same answer, but there may be more questions that might cause me to hesitate or change my answer based on their complexity or format.",0.67,"Given its deceptive nature, probably less than half (40%) will get it right immediately without outside help or making any assumptions beyond what has been explicitly stated in the problem itself. However, if people are given enough time to ponder it carefully and think deeply about their strategy, then perhaps up to two thirds (67%) might eventually arrive at the correct conclusion, although there would likely be considerable variation depending on individual differences such as prior knowledge, mental abilities, motivation level, etc.",0.9,"Since it’s simple arithmetic, I think most people would answer this question correctly, so maybe like 95%. But since some people have been known to make silly mistakes when computing something as easy as subtracting numbers or performing division, sometimes even intelligent ones who know the basic concepts, perhaps it would be slightly less, say 90%. And also, sometimes the way these problems are presented can throw someone off."
102,2b,PE,0,1,0,0.1,So the pencil cost $1 and so the Eraser must be $.10.,1,0.9,1,0.9,The Banana cost .90 cents.,1,100% because I can calculate it out in my mind.,1,100,-0.85,It should be close to the other one; around 80-85%.,0.7,"I would assume about 85%, since I feel like there’s only a few that get stuck on the misconception. But it could be as low as 70% based off people just being uncertain."
103,2b,PE,0,0.1,0,10,"Eraser cost .10, pencil cost $1.10 (so one dollar off the price would equal 10 cents).",1,90,0,0.3,"90 cents (because when 2 is subtracted from 290 it equals 29 cents, minus a ten cent coin for 70 cents that leaves .30)",0.74,74%.,0.85,85%.,0.66,66%.,0.34,34%.
